onset	duration	trial_type	Response	Stimulus	response_time
4.661	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
7.077	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
9.326	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
11.362	0.413	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
11.362	0.200	auditory oddball stimulus presentation	1.000	target	n/a
13.595	0.200	auditory standard stimulus presentation	0.000	standard	n/a
16.442	0.442	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
16.442	0.200	auditory oddball stimulus presentation	1.000	target	n/a
19.469	0.200	auditory standard stimulus presentation	0.000	standard	n/a
21.704	n/a	n/a	0.000	standard	n/a
24.350	0.200	auditory standard stimulus presentation	0.000	standard	n/a
27.180	0.200	auditory standard stimulus presentation	0.000	standard	n/a
30.027	0.200	auditory oddball stimulus presentation	1.000	target	n/a
30.027	0.416	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
32.277	0.200	auditory standard stimulus presentation	0.000	standard	n/a
35.321	0.200	auditory oddball stimulus presentation	1.000	target	n/a
35.321	0.551	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
37.969	0.200	auditory standard stimulus presentation	0.000	standard	n/a
40.617	0.405	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
40.617	0.200	auditory oddball stimulus presentation	1.000	target	n/a
43.463	0.200	auditory standard stimulus presentation	0.000	standard	n/a
45.910	0.200	auditory standard stimulus presentation	0.000	standard	n/a
48.956	0.200	auditory standard stimulus presentation	0.000	standard	n/a
50.991	0.200	auditory standard stimulus presentation	0.000	standard	n/a
53.010	0.200	auditory standard stimulus presentation	0.000	standard	n/a
55.442	0.200	auditory standard stimulus presentation	0.000	standard	n/a
58.090	0.200	auditory standard stimulus presentation	0.000	standard	n/a
60.339	0.505	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
60.339	0.200	auditory oddball stimulus presentation	1.000	target	n/a
62.788	0.200	auditory standard stimulus presentation	0.000	standard	n/a
65.816	0.200	auditory standard stimulus presentation	0.000	standard	n/a
68.860	0.200	auditory standard stimulus presentation	0.000	standard	n/a
71.310	0.200	auditory standard stimulus presentation	0.000	standard	n/a
73.346	0.200	auditory standard stimulus presentation	0.000	standard	n/a
75.380	0.444	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
75.380	0.200	auditory oddball stimulus presentation	1.000	target	n/a
77.614	0.200	auditory standard stimulus presentation	0.000	standard	n/a
79.648	0.200	auditory oddball stimulus presentation	1.000	target	n/a
79.648	0.661	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
82.082	0.200	auditory oddball stimulus presentation	1.000	target	n/a
82.082	0.686	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
84.116	0.200	auditory standard stimulus presentation	0.000	standard	n/a
86.747	0.200	auditory standard stimulus presentation	0.000	standard	n/a
88.982	0.200	auditory oddball stimulus presentation	1.000	target	n/a
88.982	0.390	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
91.612	0.200	auditory standard stimulus presentation	0.000	standard	n/a
93.845	0.200	auditory standard stimulus presentation	0.000	standard	n/a
96.873	0.200	auditory standard stimulus presentation	0.000	standard	n/a
98.909	0.200	auditory standard stimulus presentation	0.000	standard	n/a
101.953	0.200	auditory standard stimulus presentation	0.000	standard	n/a
104.601	0.200	auditory oddball stimulus presentation	1.000	target	n/a
104.601	0.427	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
107.231	0.200	auditory standard stimulus presentation	0.000	standard	n/a
110.260	0.200	auditory standard stimulus presentation	0.000	standard	n/a
113.305	0.200	auditory standard stimulus presentation	0.000	standard	n/a
115.554	0.200	auditory standard stimulus presentation	0.000	standard	n/a
117.805	0.200	auditory standard stimulus presentation	0.000	standard	n/a
119.840	0.200	auditory standard stimulus presentation	0.000	standard	n/a
121.875	0.200	auditory standard stimulus presentation	0.000	standard	n/a
124.705	0.385	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
124.705	0.200	auditory oddball stimulus presentation	1.000	target	n/a
126.756	0.200	auditory standard stimulus presentation	0.000	standard	n/a
128.809	0.200	auditory standard stimulus presentation	0.000	standard	n/a
131.638	0.200	auditory standard stimulus presentation	0.000	standard	n/a
134.682	0.200	auditory oddball stimulus presentation	1.000	target	n/a
134.682	0.376	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
137.511	0.200	auditory standard stimulus presentation	0.000	standard	n/a
139.944	0.200	auditory standard stimulus presentation	0.000	standard	n/a
142.177	0.200	auditory standard stimulus presentation	0.000	standard	n/a
145.206	0.200	auditory standard stimulus presentation	0.000	standard	n/a
148.250	0.200	auditory oddball stimulus presentation	1.000	target	n/a
148.250	0.380	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
151.294	0.200	auditory standard stimulus presentation	0.000	standard	n/a
153.743	0.200	auditory standard stimulus presentation	0.000	standard	n/a
156.374	0.200	auditory standard stimulus presentation	0.000	standard	n/a
159.419	0.200	auditory standard stimulus presentation	0.000	standard	n/a
162.067	0.200	auditory standard stimulus presentation	0.000	standard	n/a
164.698	0.200	auditory standard stimulus presentation	0.000	standard	n/a
167.345	0.200	auditory standard stimulus presentation	0.000	standard	n/a
169.794	0.200	auditory oddball stimulus presentation	1.000	target	n/a
169.794	0.468	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
171.829	0.200	auditory standard stimulus presentation	0.000	standard	n/a
174.063	0.200	auditory standard stimulus presentation	0.000	standard	n/a
176.097	0.422	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
176.097	0.200	auditory oddball stimulus presentation	1.000	target	n/a
178.332	0.458	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
178.332	0.200	auditory oddball stimulus presentation	1.000	target	n/a
180.814	0.200	auditory standard stimulus presentation	0.000	standard	n/a
183.064	0.200	auditory standard stimulus presentation	0.000	standard	n/a
185.513	0.200	auditory standard stimulus presentation	0.000	standard	n/a
188.161	0.200	auditory standard stimulus presentation	0.000	standard	n/a
190.394	0.200	auditory standard stimulus presentation	0.000	standard	n/a
193.224	0.200	auditory oddball stimulus presentation	1.000	target	n/a
193.224	0.391	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
195.275	0.200	auditory standard stimulus presentation	0.000	standard	n/a
197.725	0.200	auditory standard stimulus presentation	0.000	standard	n/a
200.753	0.200	auditory standard stimulus presentation	0.000	standard	n/a
203.599	0.200	auditory standard stimulus presentation	0.000	standard	n/a
206.030	0.200	auditory standard stimulus presentation	0.000	standard	n/a
208.264	0.392	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
208.264	0.200	auditory oddball stimulus presentation	1.000	target	n/a
211.309	0.200	auditory standard stimulus presentation	0.000	standard	n/a
213.939	0.200	auditory standard stimulus presentation	0.000	standard	n/a
216.785	0.200	auditory standard stimulus presentation	0.000	standard	n/a
219.218	0.200	auditory oddball stimulus presentation	1.000	target	n/a
219.218	0.467	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
222.246	0.200	auditory standard stimulus presentation	0.000	standard	n/a
224.894	0.200	auditory standard stimulus presentation	0.000	standard	n/a
