onset	duration	trial_type	Response	Stimulus	RT
5.16	0.2	visual standard stimulus presentation	n/a	n/a	n/a
7.179	0.2	visual standard stimulus presentation	n/a	n/a	n/a
9.992	0.52	behavioral response time following visual oddball stimulus onset	n/a	n/a	n/a
9.992	0.2	visual oddball stimulus presentation	n/a	n/a	n/a
12.59	0.2	visual oddball stimulus presentation	1.0	target	n/a
12.59	0.607	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
15.387	0.2	visual standard stimulus presentation	0.0	standard	n/a
18.382	0.2	visual standard stimulus presentation	0.0	standard	n/a
20.98	0.2	visual standard stimulus presentation	0.0	standard	n/a
23.776	0.2	visual standard stimulus presentation	0.0	standard	n/a
26.77	0.2	visual standard stimulus presentation	0.0	standard	n/a
29.369	0.2	visual standard stimulus presentation	0.0	standard	n/a
31.37	0.2	visual standard stimulus presentation	0.0	standard	n/a
33.968	0.411	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
33.968	0.2	visual oddball stimulus presentation	1.0	target	n/a
36.963	0.2	visual standard stimulus presentation	0.0	standard	n/a
39.362	0.2	visual standard stimulus presentation	0.0	standard	n/a
41.96	0.2	visual standard stimulus presentation	0.0	standard	n/a
44.558	0.2	visual standard stimulus presentation	0.0	standard	n/a
46.758	0.2	visual standard stimulus presentation	0.0	standard	n/a
49.554	0.2	visual standard stimulus presentation	0.0	standard	n/a
51.954	0.2	visual standard stimulus presentation	0.0	standard	n/a
54.552	0.2	visual standard stimulus presentation	0.0	standard	n/a
56.951	0.2	visual standard stimulus presentation	0.0	standard	n/a
59.151	0.2	visual standard stimulus presentation	0.0	standard	n/a
61.75	0.485	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
61.75	0.2	visual oddball stimulus presentation	1.0	target	n/a
64.348	0.2	visual oddball stimulus presentation	1.0	target	n/a
64.348	0.461	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
66.349	0.444	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
66.349	0.2	visual oddball stimulus presentation	1.0	target	n/a
68.351	0.375	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
68.351	0.2	visual oddball stimulus presentation	1.0	target	n/a
