name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch
Fp1	EEG	µV	electrode	200	0.5	50	60
Fp2	EEG	µV	electrode	200	0.5	50	60
F3 	EEG	µV	electrode	200	0.5	50	60
F4 	EEG	µV	electrode	200	0.5	50	60
C3 	EEG	µV	electrode	200	0.5	50	60
C4 	EEG	µV	electrode	200	0.5	50	60
P3 	EEG	µV	electrode	200	0.5	50	60
P4 	EEG	µV	electrode	200	0.5	50	60
O1 	EEG	µV	electrode	200	0.5	50	60
O2 	EEG	µV	electrode	200	0.5	50	60
F7 	EEG	µV	electrode	200	0.5	50	60
F8 	EEG	µV	electrode	200	0.5	50	60
T7 	EEG	µV	electrode	200	0.5	50	60
T8 	EEG	µV	electrode	200	0.5	50	60
P7 	EEG	µV	electrode	200	0.5	50	60
P8 	EEG	µV	electrode	200	0.5	50	60
Fz 	EEG	µV	electrode	200	0.5	50	60
Cz 	EEG	µV	electrode	200	0.5	50	60
Pz 	EEG	µV	electrode	200	0.5	50	60
F1 	EEG	µV	electrode	200	0.5	50	60
F2 	EEG	µV	electrode	200	0.5	50	60
P1 	EEG	µV	electrode	200	0.5	50	60
P2 	EEG	µV	electrode	200	0.5	50	60
AF3	EEG	µV	electrode	200	0.5	50	60
AF4	EEG	µV	electrode	200	0.5	50	60
P5 	EEG	µV	electrode	200	0.5	50	60
P6 	EEG	µV	electrode	200	0.5	50	60
FC5	EEG	µV	electrode	200	0.5	50	60
FC6	EEG	µV	electrode	200	0.5	50	60
C5 	EEG	µV	electrode	200	0.5	50	60
C6 	EEG	µV	electrode	200	0.5	50	60
TP7	EEG	µV	electrode	200	0.5	50	60
TP8	EEG	µV	electrode	200	0.5	50	60
PO5	EEG	µV	electrode	200	0.5	50	60
PO6	EEG	µV	electrode	200	0.5	50	60
FpZ	EEG	µV	electrode	200	0.5	50	60
FCZ	EEG	µV	electrode	200	0.5	50	60
CPZ	EEG	µV	electrode	200	0.5	50	60
POZ	EEG	µV	electrode	200	0.5	50	60
OZ 	EEG	µV	electrode	200	0.5	50	60
PO3	EEG	µV	electrode	200	0.5	50	60
PO4	EEG	µV	electrode	200	0.5	50	60
CP1	EEG	µV	electrode	200	0.5	50	60
CP2	EEG	µV	electrode	200	0.5	50	60
CP3	EEG	µV	electrode	200	0.5	50	60
CP4	EEG	µV	electrode	200	0.5	50	60
C1 	EEG	µV	electrode	200	0.5	50	60
C2 	EEG	µV	electrode	200	0.5	50	60
F6 	EEG	µV	electrode	200	0.5	50	60
F5 	EEG	µV	electrode	200	0.5	50	60
FC3	EEG	µV	electrode	200	0.5	50	60
FC4	EEG	µV	electrode	200	0.5	50	60
FC1	EEG	µV	electrode	200	0.5	50	60
FC2	EEG	µV	electrode	200	0.5	50	60
CP6	EEG	µV	electrode	200	0.5	50	60
CP5	EEG	µV	electrode	200	0.5	50	60
PO8	EEG	µV	electrode	200	0.5	50	60
PO7	EEG	µV	electrode	200	0.5	50	60
