onset	duration	trial_type	value	sample
0.005	0	discontinuity	2	1
0.005	0	eyes closed	65	1
9.585	0	discontinuity	2	1917
25.105	0	discontinuity	2	5021
571.755	0	eyes opened	66	114351
586.065	0	eyes closed	65	117213
612.355	0	eyes opened	66	122471
625.685	0	eyes closed	65	125137
662.005	0	eyes opened	66	132401
679.875	0	eyes closed	65	135975
705.935	0	eyes opened	66	141187
717.805	0	eyes closed	65	143561
739.905	0	eyes opened	66	147981
761.395	0	eyes closed	65	152279
784.465	0	eyes opened	66	156893
801.095	0	eyes closed	65	160219
826.895	0	eyes opened	66	165379
850.4	0	eyes closed	65	170080
903.965	0	eyes opened	66	180793
919.095	0	eyes closed	65	183819
927.395	0	eyes opened	66	185479
937.595	0	eyes closed	65	187519
956.925	0	hyperventilation 1	67	191385
1018.235	0	hyperventilation 2	68	203647
1081.785	0	hyperventilation 3	69	216357
1144.565	0	recuperation	70	228913
