onset	duration	trial_type	value	channels
0.2	1.25	New Segment	n/a	['EEG_Cz']
1.581949	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
61.657024	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz']
61.657024	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_M2']
61.7	308.1	New Segment	n/a	['EEG_Cz']
369.954215	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
399.97768	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz']
399.97768	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E2']
400.01	123.3	New Segment	n/a	['EEG_Cz']
523.47378	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
553.516907	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz']
553.516907	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_REF']
553.56	69.75	New Segment	n/a	['EEG_Cz']
623.43968	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
653.494713	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
653.494713	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E2']
653.53	6870.95	New Segment	n/a	['EEG_Cz']
706.657157	0.0	LIGHTS-OFF	n/a	['EEG_C3']
7759.11	1.075	New Segment	n/a	['EEG_Cz']
7760.66	21756.6	New Segment	n/a	['EEG_Cz']
29363.458517	0.0	LIGHTS-ON	n/a	['EEG_C3']
