onset	duration	trial_type	value	channels
1.83	2.2	New Segment	n/a	['EEG_Cz']
4.103	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
64.157	0.0	IMPEDANCE-PASSED	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz']
64.157	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_Oz']
64.21	494.3	New Segment	n/a	['EEG_Cz']
929.37	9.15	New Segment	n/a	['EEG_Cz']
938.656299	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
998.69823	0.0	IMPEDANCE-PASSED	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
998.69823	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_Fz']
998.74	29684.55	New Segment	n/a	['EEG_Cz']
1261.873369	0.0	LIGHTS-OFF	n/a	['EEG_C3']
30667.150788	0.0	LIGHTS-ON	n/a	['EEG_C3']
