onset	duration	trial_type	value	channels
2.27	2.2	New Segment	n/a	['EEG_Cz']
4.544234	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
5.1	59.2	New Segment	n/a	['EEG_Cz']
64.428749	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
83.463502	0.0	IMPEDANCE-PASSED	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
83.463502	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_M1']
83.5	1.85	New Segment	n/a	['EEG_Cz']
85.417682	0.0	IMPEDANCE-START	n/a	['EKG_', 'EMG.Tibialis_Leg.Right', 'EMG.Submental_Chin', 'EMG.Tibialis_Leg.Left', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
145.435209	0.0	IMPEDANCE-PASSED	n/a	['EKG_', 'EMG.Submental_Chin', 'EEG_REF', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_M2', 'EEG_Fz', 'EEG_Cz', 'EEG_Pz', 'EEG_Oz']
145.435209	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E1']
145.47	29049.65	New Segment	n/a	['EEG_Cz']
282.483222	0.0	LIGHTS-OFF	n/a	['EEG_C3']
29189.242529	0.039814	LIGHTS-ON	n/a	['EEG_Cz']
