onset	duration	event_sample	trial_type	event_value	stim_file
23.5536	0	25909	Famous	5	f097.bmp
26.6773	0	29345	Famous	6	f097.bmp
29.8845	0	32873	Scrambled	17	s067.bmp
33.1255	0	36438	Scrambled	17	s106.bmp
36.1491	0	39764	Scrambled	18	s106.bmp
39.49	0	43439	Unfamiliar	13	u015.bmp
42.6473	0	46912	Scrambled	17	s045.bmp
45.8209	0	50403	Scrambled	18	s045.bmp
48.8445	0	53729	Unfamiliar	13	u004.bmp
52.1027	0	57313	Famous	5	f061.bmp
55.26	0	60786	Famous	6	f061.bmp
58.35	0	64185	Scrambled	19	s067.bmp
61.4073	0	67548	Famous	5	f036.bmp
64.5982	0	71058	Scrambled	17	s066.bmp
67.8718	0	74659	Scrambled	18	s066.bmp
71.0964	0	78206	Unfamiliar	15	u015.bmp
74.1036	0	81514	Famous	5	f083.bmp
77.4109	0	85152	Famous	6	f083.bmp
80.5518	0	88607	Unfamiliar	13	u066.bmp
83.8755	0	92263	Unfamiliar	15	u004.bmp
87.05	0	95755	Unfamiliar	13	u139.bmp
90.14	0	99154	Scrambled	17	s140.bmp
93.3145	0	102646	Scrambled	18	s140.bmp
96.6218	0	106284	Famous	7	f036.bmp
99.8627	0	109849	Scrambled	17	s075.bmp
103.104	0	113414	Scrambled	18	s075.bmp
106.294	0	116923	Unfamiliar	13	u137.bmp
109.368	0	120305	Unfamiliar	14	u137.bmp
112.592	0	123851	Unfamiliar	13	u136.bmp
115.783	0	127361	Unfamiliar	15	u066.bmp
119.056	0	130962	Unfamiliar	13	u087.bmp
122.147	0	134362	Unfamiliar	14	u087.bmp
125.288	0	137817	Unfamiliar	15	u139.bmp
128.378	0	141216	Unfamiliar	13	u094.bmp
131.519	0	144671	Unfamiliar	13	u014.bmp
134.76	0	148236	Unfamiliar	13	u032.bmp
138.034	0	151837	Famous	5	f115.bmp
141.141	0	155255	Famous	6	f115.bmp
144.233	0	158656	Unfamiliar	15	u136.bmp
147.539	0	162293	Scrambled	17	s086.bmp
150.613	0	165674	Unfamiliar	13	u112.bmp
153.837	0	169221	Unfamiliar	14	u112.bmp
157.145	0	172859	Unfamiliar	15	u094.bmp
160.268	0	176295	Scrambled	17	s060.bmp
163.409	0	179750	Unfamiliar	15	u014.bmp
166.633	0	183296	Famous	5	f132.bmp
169.707	0	186678	Unfamiliar	15	u032.bmp
172.881	0	190169	Scrambled	17	s072.bmp
175.955	0	193550	Famous	5	f137.bmp
179.195	0	197115	Scrambled	19	s086.bmp
182.369	0	200606	Unfamiliar	13	u101.bmp
185.41	0	203951	Scrambled	17	s145.bmp
188.634	0	207497	Scrambled	18	s145.bmp
191.775	0	210952	Scrambled	19	s060.bmp
195.115	0	214627	Unfamiliar	13	u044.bmp
198.39	0	218229	Famous	7	f132.bmp
201.647	0	221812	Unfamiliar	13	u029.bmp
204.821	0	225303	Unfamiliar	14	u029.bmp
207.828	0	228611	Scrambled	19	s072.bmp
211.019	0	232121	Unfamiliar	13	u109.bmp
214.243	0	235667	Unfamiliar	14	u109.bmp
217.366	0	239103	Famous	7	f137.bmp
220.524	0	242576	Famous	5	f144.bmp
223.782	0	246160	Unfamiliar	15	u101.bmp
226.872	0	249559	Unfamiliar	13	u080.bmp
230.063	0	253069	Famous	5	f015.bmp
233.204	0	256524	Unfamiliar	15	u044.bmp
236.477	0	260125	Famous	5	f024.bmp
239.568	0	263525	Famous	6	f024.bmp
242.792	0	267071	Unfamiliar	13	u138.bmp
245.915	0	270507	Unfamiliar	14	u138.bmp
249.106	0	274017	Famous	5	f090.bmp
252.281	0	277509	Famous	7	f144.bmp
255.505	0	281055	Scrambled	17	s012.bmp
258.695	0	284565	Unfamiliar	15	u080.bmp
261.953	0	288148	Scrambled	17	s129.bmp
265.127	0	291640	Scrambled	18	s129.bmp
268.285	0	295113	Famous	7	f015.bmp
271.458	0	298604	Scrambled	17	s032.bmp
274.665	0	302132	Scrambled	18	s032.bmp
277.873	0	305660	Scrambled	17	s021.bmp
281.197	0	309317	Scrambled	18	s021.bmp
284.187	0	312606	Scrambled	17	s017.bmp
287.428	0	316171	Scrambled	18	s017.bmp
290.635	0	319699	Famous	7	f090.bmp
293.759	0	323135	Scrambled	17	s131.bmp
297.051	0	326756	Scrambled	18	s131.bmp
300.291	0	330320	Scrambled	19	s012.bmp
303.633	0	333996	Famous	5	f025.bmp
306.906	0	337597	Famous	6	f025.bmp
310.097	0	341107	Scrambled	17	s043.bmp
313.238	0	344562	Scrambled	17	s083.bmp
316.378	0	348016	Scrambled	17	s004.bmp
319.485	0	351434	Scrambled	17	s107.bmp
322.493	0	354742	Scrambled	18	s107.bmp
325.583	0	358141	Famous	5	f091.bmp
328.874	0	361761	Unfamiliar	13	u088.bmp
332.015	0	365216	Unfamiliar	14	u088.bmp
335.205	0	368726	Scrambled	19	s043.bmp
338.496	0	372346	Famous	5	f128.bmp
341.536	0	375690	Famous	6	f128.bmp
344.744	0	379218	Scrambled	19	s083.bmp
347.985	0	382783	Unfamiliar	13	u042.bmp
351.309	0	386440	Unfamiliar	14	u042.bmp
354.433	0	389876	Scrambled	19	s004.bmp
357.606	0	393367	Unfamiliar	13	u083.bmp
360.781	0	396859	Famous	5	f103.bmp
363.905	0	400295	Famous	7	f091.bmp
366.945	0	403640	Unfamiliar	13	u100.bmp
370.235	0	407259	Unfamiliar	14	u100.bmp
373.476	0	410824	Scrambled	17	s029.bmp
376.534	0	414187	Scrambled	18	s029.bmp
379.709	0	417680	Scrambled	17	s057.bmp
382.848	0	421133	Famous	5	f120.bmp
386.105	0	424716	Famous	6	f120.bmp
389.163	0	428079	Unfamiliar	15	u083.bmp
392.336	0	431570	Scrambled	17	s113.bmp
395.627	0	435190	Famous	7	f103.bmp
398.668	0	438535	Unfamiliar	13	u107.bmp
401.842	0	442026	Famous	5	f116.bmp
404.999	0	445499	Famous	5	f107.bmp
408.19	0	449009	Scrambled	19	s057.bmp
411.28	0	452408	Famous	5	f016.bmp
414.355	0	455790	Unfamiliar	13	u133.bmp
417.445	0	459189	Unfamiliar	14	u133.bmp
420.619	0	462681	Scrambled	19	s113.bmp
423.926	0	466319	Famous	5	f063.bmp
427.184	0	469902	Famous	6	f063.bmp
430.275	0	473302	Unfamiliar	15	u107.bmp
433.348	0	476683	Famous	5	f135.bmp
436.522	0	480174	Famous	6	f135.bmp
439.645	0	483610	Famous	7	f116.bmp
442.936	0	487230	Famous	5	f046.bmp
446.127	0	490740	Famous	6	f046.bmp
449.318	0	494250	Famous	7	f107.bmp
452.659	0	497925	Scrambled	17	s006.bmp
455.916	0	501508	Famous	7	f016.bmp
459.024	0	504926	Scrambled	17	s122.bmp
462.215	0	508436	Scrambled	18	s122.bmp
465.489	0	512038	Unfamiliar	13	u081.bmp
468.563	0	515419	Famous	5	f139.bmp
471.72	0	518892	Unfamiliar	13	u061.bmp
474.911	0	522402	Famous	5	f029.bmp
478.151	0	525966	Scrambled	19	s006.bmp
481.242	0	529366	Famous	5	f034.bmp
484.549	0	533004	Famous	6	f034.bmp
