name	x	y	z
EEG001	-0.0418776	-0.0730527	0.0383787
EEG002	-0.0030298	0.104775	0.0325695
EEG003	0.0411797	-0.0719688	0.0329672
EEG004	-0.0513975	0.077831	0.0320283
EEG005	-0.033738	0.093866	0.0569448
EEG006	2.7813e-05	0.099432	0.0691379
EEG007	0.0318326	0.0948944	0.05927
EEG008	0.0472956	0.0809532	0.0312925
EEG009	-0.0609984	0.0591364	0.0332633
EEG010	-0.0553344	0.0679864	0.0561008
EEG011	-0.0438827	0.0740632	0.0736744
EEG012	-0.0232026	0.0779238	0.0885189
EEG013	0.00110034	0.0792628	0.093031
EEG014	0.0244623	0.0727361	0.0911238
EEG015	0.0431299	0.0708746	0.076597
EEG016	0.0546324	0.0653023	0.0556997
EEG017	0.0609679	0.0553203	0.0323535
EEG018	-0.0671073	0.0255944	0.0120382
EEG019	-0.0689221	0.0336584	0.0372498
EEG020	-0.0651204	0.0414822	0.0641485
EEG021	-0.0503407	0.0465905	0.0887988
EEG022	-0.0226607	0.0482702	0.110771
EEG023	0.00733067	0.0490128	0.115467
EEG024	0.0283655	0.0429832	0.106841
EEG025	0.0504215	0.0399934	0.0903528
EEG026	0.063943	0.0359857	0.0646813
EEG027	0.0683276	0.0303662	0.0385211
EEG028	0.062971	0.0257822	0.00762419
EEG029	-0.0698528	0.0071626	0.015793
EEG030	-0.0726914	0.00539541	0.043971
EEG031	-0.0672604	0.0127218	0.0749452
EEG032	-0.0514026	0.0162958	0.0988211
EEG033	-0.0254265	0.0189362	0.114925
EEG034	0.00199066	0.0142514	0.12402
EEG035	0.0294195	0.0135785	0.116255
EEG036	0.0523535	0.0099861	0.100146
EEG037	0.067462	0.00706807	0.0743376
EEG038	0.0711071	0.00104044	0.0436427
EEG039	0.0629884	0.00742188	0.010139
EEG040	-0.0672796	-0.0310661	0.0229043
EEG041	-0.0709278	-0.0231517	0.0519196
EEG042	-0.0656562	-0.016523	0.0832891
EEG043	-0.0503495	-0.0121876	0.106269
EEG044	-0.028681	-0.0118581	0.122203
EEG045	0.00276867	-0.0177037	0.127331
EEG046	0.0309513	-0.016862	0.120556
EEG047	0.0523824	-0.0195384	0.103894
EEG048	0.0670786	-0.0215987	0.0798003
EEG049	0.0673323	-0.029568	0.0492463
EEG050	0.0670637	-0.0342934	0.0195781
EEG051	-0.0594693	-0.0539836	0.0324277
EEG052	-0.062455	-0.0466186	0.0632275
EEG053	-0.0566975	-0.0444731	0.0860301
EEG054	-0.0439865	-0.0435243	0.104479
EEG055	-0.0227605	-0.0404503	0.118517
EEG056	0.00160731	-0.0462044	0.116666
EEG057	0.0277898	-0.0440198	0.112678
EEG058	0.0446416	-0.0463053	0.10008
EEG059	0.0571613	-0.0483064	0.0784748
EEG060	0.0606126	-0.0491884	0.056481
EEG065	0.0545984	-0.0537325	0.0273568
EEG066	-0.0463941	-0.0672311	0.0686189
EEG067	-0.0278722	-0.0634985	0.0944884
EEG068	-0.000631796	-0.0672732	0.0974609
EEG069	0.0303451	-0.0669412	0.0894315
EEG070	0.0430451	-0.0702209	0.0645582
EEG071	-0.0270796	-0.0782226	0.0718346
EEG072	-0.000618594	-0.0801254	0.0688291
EEG073	0.0251731	-0.0793233	0.068045
EEG074	-0.00252488	-0.0856908	0.0365249
