name	x	y	z
EEG001	-0.03755	-0.067984	0.017852
EEG002	-0.00525939	0.0982355	0.0468066
EEG003	0.043911	-0.0660387	0.0143164
EEG004	-0.0529112	0.0730045	0.0411862
EEG005	-0.0342465	0.082378	0.0673728
EEG006	-0.00172449	0.087097	0.0803606
EEG007	0.0294739	0.0848521	0.0715099
EEG008	0.0481799	0.0790926	0.0431396
EEG009	-0.063162	0.0550461	0.0432998
EEG010	-0.0556752	0.0594164	0.0649816
EEG011	-0.0433266	0.062443	0.0831109
EEG012	-0.022905	0.0631254	0.0985842
EEG013	-0.000451211	0.06621	0.101696
EEG014	0.0249778	0.0591696	0.0998351
EEG015	0.0426843	0.0600083	0.0870373
EEG016	0.0548878	0.0605547	0.0664777
EEG017	0.0615623	0.0542924	0.0419562
EEG018	-0.0647515	0.0252854	0.0123649
EEG019	-0.0659918	0.0290125	0.0387506
EEG020	-0.0615529	0.0323613	0.0673329
EEG021	-0.044364	0.0335522	0.0937222
EEG022	-0.0167304	0.0308793	0.11559
EEG023	0.000582781	0.0264859	0.119081
EEG024	0.030491	0.0248881	0.112689
EEG025	0.0529695	0.0292275	0.0955764
EEG026	0.0670895	0.0307159	0.0698721
EEG027	0.0722248	0.0295458	0.0432007
EEG028	0.0716856	0.0301325	0.00832532
EEG029	-0.0731276	0.00929868	0.0159559
EEG030	-0.0730414	0.00131294	0.041502
EEG031	-0.0694861	0.00151533	0.0750121
EEG032	-0.054109	-0.00182062	0.103346
EEG033	-0.0273681	-0.00319457	0.120606
EEG034	0.00333099	-0.00706634	0.126147
EEG035	0.0315202	-0.0059996	0.119597
EEG036	0.0581289	-0.00248694	0.101778
EEG037	0.0733797	0.00100359	0.0731991
EEG038	0.0758096	0.00133651	0.0402615
EEG039	0.0690874	0.0146258	0.0111453
EEG040	-0.064212	-0.031806	0.0106844
EEG041	-0.067991	-0.0268148	0.0437295
EEG042	-0.0660652	-0.0288034	0.0765189
EEG043	-0.0518575	-0.0293736	0.102152
EEG044	-0.0233618	-0.0322337	0.120128
EEG045	0.00548967	-0.0378243	0.121715
EEG046	0.032413	-0.0374182	0.11416
EEG047	0.0566332	-0.0333346	0.0969216
EEG048	0.0702251	-0.0283594	0.0725202
EEG049	0.070469	-0.028954	0.0387508
EEG050	0.0661042	-0.0265884	0.00937604
EEG051	-0.0520306	-0.050645	0.0165092
EEG052	-0.0567785	-0.049964	0.0478863
EEG053	-0.053064	-0.0521879	0.071101
EEG054	-0.0385346	-0.0570764	0.0898513
EEG055	-0.0142917	-0.0574193	0.101839
EEG056	0.00554435	-0.0625943	0.102479
EEG057	0.0288826	-0.0581524	0.100914
EEG058	0.0462657	-0.0576289	0.0861885
EEG059	0.0602041	-0.0524858	0.0646631
EEG060	0.0623914	-0.0493504	0.0420205
EEG065	0.0582728	-0.0484022	0.0107074
EEG066	-0.0402322	-0.068555	0.0485087
EEG067	-0.0234035	-0.0735255	0.0734247
EEG068	0.00421394	-0.0778458	0.0745174
EEG069	0.0347217	-0.0744556	0.0682638
EEG070	0.0479742	-0.0691119	0.0448901
EEG071	-0.0197068	-0.0807488	0.0488058
EEG072	0.00381297	-0.0839898	0.0440794
EEG073	0.0318388	-0.0806278	0.0454202
EEG074	0.00345336	-0.0806652	0.0122207
