name	type	units
MEG0113	MISC	n/a
MEG0112	MISC	n/a
MEG0111	MISC	n/a
MEG0122	MISC	n/a
MEG0123	MISC	n/a
MEG0121	MISC	n/a
MEG0132	MISC	n/a
MEG0133	MISC	n/a
MEG0131	MISC	n/a
MEG0143	MISC	n/a
MEG0142	MISC	n/a
MEG0141	MISC	n/a
MEG0213	MISC	n/a
MEG0212	MISC	n/a
MEG0211	MISC	n/a
MEG0222	MISC	n/a
MEG0223	MISC	n/a
MEG0221	MISC	n/a
MEG0232	MISC	n/a
MEG0233	MISC	n/a
MEG0231	MISC	n/a
MEG0243	MISC	n/a
MEG0242	MISC	n/a
MEG0241	MISC	n/a
MEG0313	MISC	n/a
MEG0312	MISC	n/a
MEG0311	MISC	n/a
MEG0322	MISC	n/a
MEG0323	MISC	n/a
MEG0321	MISC	n/a
MEG0333	MISC	n/a
MEG0332	MISC	n/a
MEG0331	MISC	n/a
MEG0343	MISC	n/a
MEG0342	MISC	n/a
MEG0341	MISC	n/a
MEG0413	MISC	n/a
MEG0412	MISC	n/a
MEG0411	MISC	n/a
MEG0422	MISC	n/a
MEG0423	MISC	n/a
MEG0421	MISC	n/a
MEG0432	MISC	n/a
MEG0433	MISC	n/a
MEG0431	MISC	n/a
MEG0443	MISC	n/a
MEG0442	MISC	n/a
MEG0441	MISC	n/a
MEG0513	MISC	n/a
MEG0512	MISC	n/a
MEG0511	MISC	n/a
MEG0523	MISC	n/a
MEG0522	MISC	n/a
MEG0521	MISC	n/a
MEG0532	MISC	n/a
MEG0533	MISC	n/a
MEG0531	MISC	n/a
MEG0542	MISC	n/a
MEG0543	MISC	n/a
MEG0541	MISC	n/a
MEG0613	MISC	n/a
MEG0612	MISC	n/a
MEG0611	MISC	n/a
MEG0622	MISC	n/a
MEG0623	MISC	n/a
MEG0621	MISC	n/a
MEG0633	MISC	n/a
MEG0632	MISC	n/a
MEG0631	MISC	n/a
MEG0642	MISC	n/a
MEG0643	MISC	n/a
MEG0641	MISC	n/a
MEG0713	MISC	n/a
MEG0712	MISC	n/a
MEG0711	MISC	n/a
MEG0723	MISC	n/a
MEG0722	MISC	n/a
MEG0721	MISC	n/a
MEG0733	MISC	n/a
MEG0732	MISC	n/a
MEG0731	MISC	n/a
MEG0743	MISC	n/a
MEG0742	MISC	n/a
MEG0741	MISC	n/a
MEG0813	MISC	n/a
MEG0812	MISC	n/a
MEG0811	MISC	n/a
MEG0822	MISC	n/a
MEG0823	MISC	n/a
MEG0821	MISC	n/a
MEG0913	MISC	n/a
MEG0912	MISC	n/a
MEG0911	MISC	n/a
MEG0923	MISC	n/a
MEG0922	MISC	n/a
MEG0921	MISC	n/a
MEG0932	MISC	n/a
MEG0933	MISC	n/a
MEG0931	MISC	n/a
MEG0942	MISC	n/a
MEG0943	MISC	n/a
MEG0941	MISC	n/a
MEG1013	MISC	n/a
MEG1012	MISC	n/a
MEG1011	MISC	n/a
MEG1023	MISC	n/a
MEG1022	MISC	n/a
MEG1021	MISC	n/a
MEG1032	MISC	n/a
MEG1033	MISC	n/a
MEG1031	MISC	n/a
MEG1043	MISC	n/a
MEG1042	MISC	n/a
MEG1041	MISC	n/a
MEG1112	MISC	n/a
MEG1113	MISC	n/a
