response_time	button_press	stim_file
1.812	1	u020.bmp
1.523	2	u059.bmp
1.358	1	u047.bmp
1.152	3	f004.bmp
2.011	3	f072.bmp
1.721	1	u081.bmp
1.188	3	f133.bmp
0.957	3	f129.bmp
1.136	1	u021.bmp
0.939	3	u004.bmp
1.871	3	f033.bmp
0.923	3	f078.bmp
1.599	1	f042.bmp
1.095	3	u088.bmp
4.868	1	u040.bmp
2.874	2	u096.bmp
2.419	2	u002.bmp
3.865	2	u097.bmp
2.313	2	u062.bmp
1.763	2	u022.bmp
4.788	1	f019.bmp
2.277	2	u140.bmp
2.791	2	u030.bmp
3.325	2	u017.bmp
1.804	1	u092.bmp
1.683	3	f068.bmp
1.976	2	u016.bmp
2.111	2	u085.bmp
2.218	3	f142.bmp
1.647	3	f056.bmp
2.053	3	f035.bmp
1.93	1	u147.bmp
2.02	3	f065.bmp
1.819	3	f134.bmp
6.832	1	f122.bmp
4.243	3	f116.bmp
1.835	3	f086.bmp
1.506	1	u144.bmp
2.013	1	f005.bmp
4.731	3	f058.bmp
1.999	2	u090.bmp
3.31	2	u038.bmp
1.23	1	u056.bmp
1.573	1	u087.bmp
2.517	1	u139.bmp
1.99	3	f114.bmp
2.157	2	u084.bmp
1.333	2	u032.bmp
1.352	1	u071.bmp
1.379	2	u003.bmp
3.868	3	f143.bmp
1.812	1	u007.bmp
3.563	2	u121.bmp
1.44	1	u029.bmp
1.598	1	u069.bmp
7.365	3	f127.bmp
1.603	3	f083.bmp
1.971	1	u042.bmp
5.395	3	f077.bmp
1.107	3	f146.bmp
1.424	3	f125.bmp
2.199	1	u060.bmp
1.845	2	u105.bmp
1.259	1	f097.bmp
3.385	1	f011.bmp
1.477	3	f051.bmp
7.681	2	u137.bmp
3.001	2	f027.bmp
2.31	1	f006.bmp
1.632	3	f067.bmp
8.358	2	f024.bmp
1.889	1	u086.bmp
1.573	1	u078.bmp
1.933	3	f130.bmp
2.623	3	f040.bmp
1.764	1	f112.bmp
1.109	1	f028.bmp
7.128	1	f108.bmp
2.047	3	f082.bmp
1.604	1	u126.bmp
1.7	1	u065.bmp
1.503	3	f007.bmp
2.476	3	f018.bmp
1.678	1	f120.bmp
2.291	1	u114.bmp
3.477	1	u073.bmp
1.078	1	f102.bmp
1.003	1	u049.bmp
1.675	1	f105.bmp
1.928	2	u129.bmp
4.537	3	f139.bmp
1.206	3	f039.bmp
1.046	1	u082.bmp
0.973	1	u064.bmp
1.583	2	u053.bmp
1.384	1	f071.bmp
3.649	2	f093.bmp
3.642	2	f037.bmp
1.58	1	u135.bmp
4.612	1	u068.bmp
4.708	1	u061.bmp
5.249	2	u050.bmp
7.031	1	u015.bmp
1.65	1	f118.bmp
5.848	1	u044.bmp
1.636	2	f023.bmp
1.083	1	u134.bmp
3.497	1	u028.bmp
1.584	1	f150.bmp
1.4	1	f135.bmp
3.993	1	u107.bmp
1.131	1	f052.bmp
3.799	2	u045.bmp
5.49	3	f034.bmp
2.222	1	f115.bmp
0.884	1	f104.bmp
1.73	2	u075.bmp
1.524	1	f080.bmp
9.814	1	u110.bmp
1.044	1	f087.bmp
2.043	1	u124.bmp
1.408	2	u070.bmp
1.432	3	f050.bmp
1.711	1	u019.bmp
1.314	1	f140.bmp
6.822	3	f017.bmp
1.882	1	u048.bmp
1.462	1	f045.bmp
1.835	2	u100.bmp
1.761	2	u079.bmp
1.625	1	u001.bmp
2.84	1	f084.bmp
1.123	1	u150.bmp
4.415	2	u133.bmp
1.272	3	f148.bmp
1.389	3	f088.bmp
3.301	1	f095.bmp
1.518	1	f089.bmp
0.913	1	u033.bmp
3.95	3	f060.bmp
3.995	3	f048.bmp
1.589	2	u127.bmp
4.604	1	u102.bmp
3.014	3	u145.bmp
5.002	1	u043.bmp
1.65	1	f075.bmp
1.392	2	f020.bmp
1.432	1	f110.bmp
2.663	1	f030.bmp
1.154	1	u094.bmp
2.117	2	u066.bmp
1.551	1	u089.bmp
9.2	3	f085.bmp
1.392	3	u054.bmp
6.656	1	f031.bmp
6.635	1	u010.bmp
1.206	1	u036.bmp
3.238	1	f010.bmp
1.937	3	f003.bmp
1.475	3	f113.bmp
7.959	3	f057.bmp
10.811	3	f026.bmp
3.27	1	f002.bmp
2.504	2	u112.bmp
1.29	3	f029.bmp
1.279	1	u063.bmp
1.268	1	u013.bmp
2.674	3	f049.bmp
1.26	3	f008.bmp
4.425	1	f041.bmp
1.714	3	f069.bmp
2.357	3	f053.bmp
1.469	1	f061.bmp
3.811	3	f038.bmp
1.597	3	f066.bmp
1.613	1	f062.bmp
2.492	3	f025.bmp
1.166	1	f121.bmp
1.593	3	f101.bmp
1.937	3	u125.bmp
4.402	3	f119.bmp
3.715	3	f009.bmp
2.002	1	u108.bmp
5.249	1	f145.bmp
1.103	1	u011.bmp
1.1	1	f103.bmp
2.193	1	f014.bmp
0.991	1	u083.bmp
1.657	1	u057.bmp
7.734	1	f149.bmp
0.956	1	u101.bmp
2.182	1	u116.bmp
1.149	1	u149.bmp
0.88	1	f100.bmp
1.878	1	u080.bmp
6.258	1	f081.bmp
1.206	1	u093.bmp
2.566	1	u132.bmp
0.877	1	u018.bmp
10.851	3	f109.bmp
14.492	1	u138.bmp
2.957	3	f022.bmp
1.355	1	u136.bmp
7.669	3	f015.bmp
2.349	1	u039.bmp
1.245	1	u014.bmp
4.764	2	u037.bmp
1.214	1	u098.bmp
1.038	1	f074.bmp
0.853	1	u008.bmp
1.627	3	f090.bmp
1.338	3	f079.bmp
2.924	1	u041.bmp
1.436	1	u142.bmp
1.563	1	u106.bmp
1.38	1	u012.bmp
1.814	1	f012.bmp
1.572	3	f001.bmp
1.765	3	f124.bmp
1.006	1	f036.bmp
1.607	3	f123.bmp
3.846	1	f092.bmp
0.767	1	f094.bmp
1.826	1	u052.bmp
2.383	1	f059.bmp
1.718	1	u109.bmp
1.473	3	f021.bmp
0.998	1	u131.bmp
2.439	1	u104.bmp
1.227	1	u067.bmp
3.275	2	f128.bmp
1.988	3	f063.bmp
0.996	1	u025.bmp
0.813	1	u035.bmp
0.766	1	u123.bmp
1.209	1	f091.bmp
1.657	2	u103.bmp
0.958	1	f132.bmp
3.656	2	u099.bmp
1.282	1	f055.bmp
1.695	1	f013.bmp
0.883	1	u077.bmp
2.025	1	f141.bmp
2.839	3	f106.bmp
1.01	3	f138.bmp
1.587	1	f099.bmp
0.972	1	u076.bmp
0.918	1	f043.bmp
1.707	1	u024.bmp
1.646	3	f131.bmp
0.924	1	u119.bmp
1.175	1	u072.bmp
0.816	1	u055.bmp
0.961	1	f098.bmp
0.748	1	f073.bmp
0.816	1	f111.bmp
1.137	1	u128.bmp
1.044	1	u148.bmp
0.963	1	u051.bmp
1.671	1	u046.bmp
0.884	1	u111.bmp
1.338	3	f137.bmp
1.021	1	u130.bmp
2.156	3	f144.bmp
0.789	1	u113.bmp
1.149	1	u117.bmp
1.12	1	u146.bmp
2.732	3	f147.bmp
0.7	1	u006.bmp
1.234	1	f070.bmp
1.777	1	u026.bmp
1.082	1	u115.bmp
2.96	2	u023.bmp
8.75	1	u005.bmp
1.425	1	f054.bmp
3.824	1	f136.bmp
1.073	1	u095.bmp
1.159	1	f126.bmp
1.049	1	f046.bmp
1.232	1	u122.bmp
1.328	1	u058.bmp
1.843	1	f032.bmp
1.368	3	f096.bmp
1.018	1	u031.bmp
4.379	3	f064.bmp
0.805	1	u009.bmp
1.614	2	u118.bmp
1.222	3	f107.bmp
0.909	1	u091.bmp
6.798	1	f044.bmp
0.963	1	u074.bmp
1.31	1	u027.bmp
0.754	1	f016.bmp
0.773	1	u143.bmp
1.599	1	u141.bmp
0.799	1	u120.bmp
0.809	1	u034.bmp
2.098	3	f047.bmp
