name	x	y	z
EEG001	-4.99	-6.78	3.15
EEG002	0.21	11.07	3.11
EEG003	3.85	-6.68	3.55
EEG004	-4.87	8.69	2.71
EEG005	-2.96	10.43	5.27
EEG006	0.18	10.92	6.23
EEG007	3.47	10.48	5.48
EEG008	5.37	8.84	3.18
EEG009	-5.92	6.56	3.09
EEG010	-5.52	7.75	5.26
EEG011	-4.50	8.34	7.22
EEG012	-2.33	8.84	8.82
EEG013	-0.00	9.16	9.42
EEG014	2.24	8.47	9.46
EEG015	4.60	8.22	7.87
EEG016	5.93	7.54	6.07
EEG017	6.46	6.44	3.68
EEG018	-7.43	3.31	0.85
EEG019	-6.57	4.16	3.50
EEG020	-6.41	5.25	6.42
EEG021	-5.25	5.74	8.98
EEG022	-2.98	6.08	10.71
EEG023	-0.15	5.93	11.57
EEG024	2.77	5.53	11.14
EEG025	5.28	5.38	9.62
EEG026	6.94	4.73	7.06
EEG027	7.30	3.63	4.39
EEG028	6.94	3.48	1.19
EEG029	-6.94	1.46	1.05
EEG030	-7.30	1.49	4.29
EEG031	-7.06	2.46	7.41
EEG032	-5.99	2.87	10.14
EEG033	-3.32	3.08	12.15
EEG034	-0.36	2.82	12.95
EEG035	2.88	2.89	12.36
EEG036	5.25	2.39	10.88
EEG037	7.07	1.77	8.10
EEG038	7.52	0.82	4.70
EEG039	7.11	0.75	1.36
EEG040	-7.24	-2.69	1.91
EEG041	-7.30	-1.59	5.19
EEG042	-6.94	-0.71	8.25
EEG043	-5.80	-0.18	10.95
EEG044	-3.49	-0.05	12.75
EEG045	-0.45	-0.57	13.43
EEG046	2.63	-0.39	12.91
EEG047	5.15	-0.75	11.12
EEG048	6.49	-1.01	8.60
EEG049	6.82	-2.14	5.47
EEG050	6.85	-2.73	2.43
EEG051	-6.38	-4.53	2.72
EEG052	-6.67	-3.77	6.00
EEG053	-6.26	-3.43	8.34
EEG054	-5.00	-3.23	10.48
EEG055	-3.30	-3.12	11.88
EEG056	-0.46	-3.40	12.08
EEG057	2.15	-3.15	11.94
EEG058	3.88	-3.42	10.34
EEG059	5.06	-3.73	8.27
EEG060	5.68	-4.50	5.90
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.56	-4.76	3.04
EEG066	-5.50	-5.68	6.60
EEG067	-3.80	-5.53	9.31
EEG068	-0.59	-5.74	9.84
EEG069	2.41	-5.45	9.06
EEG070	3.79	-5.87	6.60
EEG071	-3.35	-6.99	7.06
EEG072	-0.53	-7.50	6.99
EEG073	1.70	-7.07	7.15
EEG074	-0.53	-8.16	3.37
STI101	n/a	n/a	n/a
