onset	duration	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
23.67309091	n/a	show_face_initial	famous_face	first_show	n/a	1	2	f141.bmp
24.52490909	n/a	right_press	n/a	n/a	n/a	1	4096	n/a
24.60490909	n/a	show_circle	n/a	n/a	n/a	1	0	circle.bmp
26.30490909	n/a	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.89581818	n/a	show_face	famous_face	immediate_repeat	1	2	6	f141.bmp
27.77854545	n/a	show_circle	n/a	n/a	n/a	2	0	circle.bmp
28.09127273	n/a	right_press	n/a	n/a	n/a	2	4096	n/a
29.47854545	n/a	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.00309091	n/a	show_face	famous_face	first_show	n/a	3	5	f014.bmp
30.82218182	n/a	left_press	n/a	n/a	n/a	3	256	n/a
30.89945455	n/a	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.59945455	n/a	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.07672727	n/a	show_face	unfamiliar_face	first_show	n/a	4	13	u149.bmp
33.87945455	n/a	right_press	n/a	n/a	n/a	4	4096	n/a
34.04763636	n/a	show_circle	n/a	n/a	n/a	4	0	circle.bmp
35.74763636	n/a	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.33490909	n/a	show_face	unfamiliar_face	immediate_repeat	1	5	14	u149.bmp
37.00945455	n/a	right_press	n/a	n/a	n/a	5	4096	n/a
37.174	n/a	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.874	n/a	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.39127273	n/a	show_face	scrambled_face	first_show	n/a	6	17	s094.bmp
40.05581818	n/a	left_press	n/a	n/a	n/a	6	256	n/a
40.39036364	n/a	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.09036364	n/a	show_cross	n/a	n/a	n/a	7	1	cross.bmp
42.68218182	n/a	show_face	unfamiliar_face	first_show	n/a	7	13	u093.bmp
43.51127273	n/a	right_press	n/a	n/a	n/a	7	4096	n/a
43.52490909	n/a	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.22490909	n/a	show_cross	n/a	n/a	n/a	8	1	cross.bmp
45.82309091	n/a	show_face	famous_face	first_show	n/a	8	5	f125.bmp
46.78218182	n/a	left_press	n/a	n/a	n/a	8	256	n/a
46.82581818	n/a	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.52581818	n/a	show_cross	n/a	n/a	n/a	9	1	cross.bmp
48.99672727	n/a	show_face	famous_face	first_show	n/a	9	5	f109.bmp
49.86945455	n/a	show_circle	n/a	n/a	n/a	9	0	circle.bmp
50.05036364	n/a	left_press	n/a	n/a	n/a	9	256	n/a
51.56945455	n/a	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.13763636	n/a	show_face	famous_face	delayed_repeat	7	10	7	f014.bmp
53.00854545	n/a	show_circle	n/a	n/a	n/a	10	0	circle.bmp
53.05672727	n/a	right_press	n/a	n/a	n/a	10	4096	n/a
54.70854545	n/a	show_cross	n/a	n/a	n/a	11	1	cross.bmp
55.32854545	n/a	show_face	famous_face	first_show	n/a	11	5	f010.bmp
56.07127273	n/a	left_press	n/a	n/a	n/a	11	256	n/a
56.14854545	n/a	show_circle	n/a	n/a	n/a	11	0	circle.bmp
57.84854545	n/a	show_cross	n/a	n/a	n/a	12	1	cross.bmp
58.50218182	n/a	show_face	scrambled_face	first_show	n/a	12	17	s042.bmp
59.38763636	n/a	show_circle	n/a	n/a	n/a	12	0	circle.bmp
59.43218182	n/a	left_press	n/a	n/a	n/a	12	256	n/a
61.08763636	n/a	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.57581818	n/a	show_face	scrambled_face	immediate_repeat	1	13	18	s042.bmp
62.50127273	n/a	show_circle	n/a	n/a	n/a	13	0	circle.bmp
62.58581818	n/a	left_press	n/a	n/a	n/a	13	256	n/a
64.20127273	n/a	show_cross	n/a	n/a	n/a	14	1	cross.bmp
64.70127273	n/a	show_face	scrambled_face	delayed_repeat	8	14	19	s094.bmp
65.65854545	n/a	show_circle	n/a	n/a	n/a	14	0	circle.bmp
65.72218182	n/a	right_press	n/a	n/a	n/a	14	4096	n/a
67.35854545	n/a	show_cross	n/a	n/a	n/a	15	1	cross.bmp
68.00763636	n/a	show_face	scrambled_face	first_show	n/a	15	17	s036.bmp
68.83127273	n/a	right_press	n/a	n/a	n/a	15	4096	n/a
69.00127273	n/a	show_circle	n/a	n/a	n/a	15	0	circle.bmp
70.70127273	n/a	show_cross	n/a	n/a	n/a	16	1	cross.bmp
71.23309091	n/a	show_face	scrambled_face	immediate_repeat	1	16	18	s036.bmp
72.15127273	n/a	left_press	n/a	n/a	n/a	16	256	n/a
72.22309091	n/a	show_circle	n/a	n/a	n/a	16	0	circle.bmp
73.92309091	n/a	show_cross	n/a	n/a	n/a	17	1	cross.bmp
74.50581818	n/a	show_face	unfamiliar_face	delayed_repeat	10	17	15	u093.bmp
75.50945455	n/a	show_circle	n/a	n/a	n/a	17	0	circle.bmp
75.51490909	n/a	left_press	n/a	n/a	n/a	17	256	n/a
77.20945455	n/a	show_cross	n/a	n/a	n/a	18	1	cross.bmp
77.79672727	n/a	show_face	famous_face	first_show	n/a	18	5	f043.bmp
78.70672727	n/a	show_circle	n/a	n/a	n/a	18	0	circle.bmp
78.82127273	n/a	left_press	n/a	n/a	n/a	18	256	n/a
80.40672727	n/a	show_cross	n/a	n/a	n/a	19	1	cross.bmp
81.054	n/a	show_face	famous_face	delayed_repeat	11	19	7	f125.bmp
81.89490909	n/a	show_circle	n/a	n/a	n/a	19	0	circle.bmp
81.90945455	n/a	left_press	n/a	n/a	n/a	19	256	n/a
83.59490909	n/a	show_cross	n/a	n/a	n/a	20	1	cross.bmp
84.19581818	n/a	show_face	scrambled_face	first_show	n/a	20	17	s060.bmp
85.16218182	n/a	show_circle	n/a	n/a	n/a	20	0	circle.bmp
85.25763636	n/a	right_press	n/a	n/a	n/a	20	4096	n/a
86.86218182	n/a	show_cross	n/a	n/a	n/a	21	1	cross.bmp
87.40218182	n/a	show_face	scrambled_face	immediate_repeat	1	21	18	s060.bmp
88.23945455	n/a	show_circle	n/a	n/a	n/a	21	0	circle.bmp
88.63309091	n/a	right_press	n/a	n/a	n/a	21	4096	n/a
89.93945455	n/a	show_cross	n/a	n/a	n/a	22	1	cross.bmp
90.44309091	n/a	show_face	famous_face	delayed_repeat	13	22	7	f109.bmp
91.14854545	n/a	left_press	n/a	n/a	n/a	22	256	n/a
91.46036364	n/a	show_circle	n/a	n/a	n/a	22	0	circle.bmp
93.16036364	n/a	show_cross	n/a	n/a	n/a	23	1	cross.bmp
93.63309091	n/a	show_face	scrambled_face	first_show	n/a	23	17	s116.bmp
94.34581818	n/a	left_press	n/a	n/a	n/a	23	256	n/a
94.554	n/a	show_circle	n/a	n/a	n/a	23	0	circle.bmp
96.254	n/a	show_cross	n/a	n/a	n/a	24	1	cross.bmp
96.70763636	n/a	show_face	scrambled_face	immediate_repeat	1	24	18	s116.bmp
97.24672727	n/a	right_press	n/a	n/a	n/a	24	4096	n/a
97.634	n/a	show_circle	n/a	n/a	n/a	24	0	circle.bmp
99.334	n/a	show_cross	n/a	n/a	n/a	25	1	cross.bmp
99.79763636	n/a	show_face	famous_face	delayed_repeat	14	25	7	f010.bmp
100.4803636	n/a	left_press	n/a	n/a	n/a	25	256	n/a
100.6721818	n/a	show_circle	n/a	n/a	n/a	25	0	circle.bmp
102.3721818	n/a	show_cross	n/a	n/a	n/a	26	1	cross.bmp
102.9049091	n/a	show_face	famous_face	first_show	n/a	26	5	f021.bmp
103.7594545	n/a	show_circle	n/a	n/a	n/a	26	0	circle.bmp
103.8067273	n/a	right_press	n/a	n/a	n/a	26	4096	n/a
105.4594545	n/a	show_cross	n/a	n/a	n/a	27	1	cross.bmp
105.9458182	n/a	show_face	scrambled_face	first_show	n/a	27	17	s113.bmp
106.8294545	n/a	show_circle	n/a	n/a	n/a	27	0	circle.bmp
107.0076364	n/a	left_press	n/a	n/a	n/a	27	256	n/a
108.5294545	n/a	show_cross	n/a	n/a	n/a	28	1	cross.bmp
109.1521818	n/a	show_face	scrambled_face	immediate_repeat	1	28	18	s113.bmp
110.0058182	n/a	show_circle	n/a	n/a	n/a	28	0	circle.bmp
110.0430909	n/a	left_press	n/a	n/a	n/a	28	256	n/a
111.7058182	n/a	show_cross	n/a	n/a	n/a	29	1	cross.bmp
112.1758182	n/a	show_face	scrambled_face	first_show	n/a	29	17	s012.bmp
113.074	n/a	show_circle	n/a	n/a	n/a	29	0	circle.bmp
113.3358182	n/a	left_press	n/a	n/a	n/a	29	256	n/a
114.774	n/a	show_cross	n/a	n/a	n/a	30	1	cross.bmp
115.3667273	n/a	show_face	famous_face	delayed_repeat	12	30	7	f043.bmp
116.2730909	n/a	show_circle	n/a	n/a	n/a	30	0	circle.bmp
116.7758182	n/a	right_press	n/a	n/a	n/a	30	4096	n/a
117.9730909	n/a	show_cross	n/a	n/a	n/a	31	1	cross.bmp
118.5576364	n/a	show_face	scrambled_face	first_show	n/a	31	17	s037.bmp
119.1885455	n/a	left_press	n/a	n/a	n/a	31	256	n/a
119.4885455	n/a	show_circle	n/a	n/a	n/a	31	0	circle.bmp
121.1885455	n/a	show_cross	n/a	n/a	n/a	32	1	cross.bmp
121.6476364	n/a	show_face	famous_face	first_show	n/a	32	5	f034.bmp
122.374	n/a	left_press	n/a	n/a	n/a	32	256	n/a
122.5312727	n/a	show_circle	n/a	n/a	n/a	32	0	circle.bmp
124.2312727	n/a	show_cross	n/a	n/a	n/a	33	1	cross.bmp
124.7385455	n/a	show_face	famous_face	immediate_repeat	1	33	6	f034.bmp
125.2858182	n/a	left_press	n/a	n/a	n/a	33	256	n/a
125.6976364	n/a	show_circle	n/a	n/a	n/a	33	0	circle.bmp
127.3976364	n/a	show_cross	n/a	n/a	n/a	34	1	cross.bmp
128.0458182	n/a	show_face	scrambled_face	first_show	n/a	34	17	s049.bmp
128.8858182	n/a	show_circle	n/a	n/a	n/a	34	0	circle.bmp
128.9612727	n/a	right_press	n/a	n/a	n/a	34	4096	n/a
130.5858182	n/a	show_cross	n/a	n/a	n/a	35	1	cross.bmp
131.1867273	n/a	show_face	scrambled_face	immediate_repeat	1	35	18	s049.bmp
131.9867273	n/a	left_press	n/a	n/a	n/a	35	256	n/a
132.0058182	n/a	show_circle	n/a	n/a	n/a	35	0	circle.bmp
133.7058182	n/a	show_cross	n/a	n/a	n/a	36	1	cross.bmp
134.3103636	n/a	show_face	famous_face	delayed_repeat	10	36	7	f021.bmp
135.1458182	n/a	show_circle	n/a	n/a	n/a	36	0	circle.bmp
135.364	n/a	left_press	n/a	n/a	n/a	36	256	n/a
136.8458182	n/a	show_cross	n/a	n/a	n/a	37	1	cross.bmp
137.4012727	n/a	show_face	scrambled_face	first_show	n/a	37	17	s089.bmp
138.3221818	n/a	right_press	n/a	n/a	n/a	37	4096	n/a
138.3430909	n/a	show_circle	n/a	n/a	n/a	37	0	circle.bmp
140.0430909	n/a	show_cross	n/a	n/a	n/a	38	1	cross.bmp
140.5749091	n/a	show_face	scrambled_face	immediate_repeat	1	38	18	s089.bmp
141.4203636	n/a	show_circle	n/a	n/a	n/a	38	0	circle.bmp
141.784	n/a	right_press	n/a	n/a	n/a	38	4096	n/a
143.1203636	n/a	show_cross	n/a	n/a	n/a	39	1	cross.bmp
143.6485455	n/a	show_face	famous_face	first_show	n/a	39	5	f060.bmp
144.5221818	n/a	show_circle	n/a	n/a	n/a	39	0	circle.bmp
144.6958182	n/a	left_press	n/a	n/a	n/a	39	256	n/a
146.2221818	n/a	show_cross	n/a	n/a	n/a	40	1	cross.bmp
146.7394545	n/a	show_face	famous_face	immediate_repeat	1	40	6	f060.bmp
147.324	n/a	right_press	n/a	n/a	n/a	40	4096	n/a
147.7021818	n/a	show_circle	n/a	n/a	n/a	40	0	circle.bmp
149.4021818	n/a	show_cross	n/a	n/a	n/a	41	1	cross.bmp
149.8630909	n/a	show_face	scrambled_face	delayed_repeat	12	41	19	s012.bmp
150.7458182	n/a	show_circle	n/a	n/a	n/a	41	0	circle.bmp
150.9221818	n/a	right_press	n/a	n/a	n/a	41	4096	n/a
152.4458182	n/a	show_cross	n/a	n/a	n/a	42	1	cross.bmp
152.954	n/a	show_face	famous_face	first_show	n/a	42	5	f129.bmp
153.7794545	n/a	show_circle	n/a	n/a	n/a	42	0	circle.bmp
153.9694545	n/a	left_press	n/a	n/a	n/a	42	256	n/a
155.4794545	n/a	show_cross	n/a	n/a	n/a	43	1	cross.bmp
155.994	n/a	show_face	scrambled_face	delayed_repeat	12	43	19	s037.bmp
156.8358182	n/a	show_circle	n/a	n/a	n/a	43	0	circle.bmp
156.8903636	n/a	right_press	n/a	n/a	n/a	43	4096	n/a
158.5358182	n/a	show_cross	n/a	n/a	n/a	44	1	cross.bmp
159.084	n/a	show_face	scrambled_face	first_show	n/a	44	17	s068.bmp
159.9730909	n/a	show_circle	n/a	n/a	n/a	44	0	circle.bmp
160.3776364	n/a	left_press	n/a	n/a	n/a	44	256	n/a
161.6730909	n/a	show_cross	n/a	n/a	n/a	45	1	cross.bmp
162.3094545	n/a	show_face	scrambled_face	immediate_repeat	1	45	18	s068.bmp
163.0530909	n/a	left_press	n/a	n/a	n/a	45	256	n/a
163.2394545	n/a	show_circle	n/a	n/a	n/a	45	0	circle.bmp
164.9394545	n/a	show_cross	n/a	n/a	n/a	46	1	cross.bmp
165.5494545	n/a	show_face	unfamiliar_face	first_show	n/a	46	13	u092.bmp
166.3530909	n/a	right_press	n/a	n/a	n/a	46	4096	n/a
166.4830909	n/a	show_circle	n/a	n/a	n/a	46	0	circle.bmp
168.1830909	n/a	show_cross	n/a	n/a	n/a	47	1	cross.bmp
168.7230909	n/a	show_face	famous_face	first_show	n/a	47	5	f062.bmp
169.6503636	n/a	show_circle	n/a	n/a	n/a	47	0	circle.bmp
169.8967273	n/a	right_press	n/a	n/a	n/a	47	4096	n/a
171.3503636	n/a	show_cross	n/a	n/a	n/a	48	1	cross.bmp
171.9976364	n/a	show_face	famous_face	first_show	n/a	48	5	f128.bmp
172.864	n/a	right_press	n/a	n/a	n/a	48	4096	n/a
172.9785455	n/a	show_circle	n/a	n/a	n/a	48	0	circle.bmp
174.6785455	n/a	show_cross	n/a	n/a	n/a	49	1	cross.bmp
175.2049091	n/a	show_face	scrambled_face	first_show	n/a	49	17	s111.bmp
176.0303636	n/a	show_circle	n/a	n/a	n/a	49	0	circle.bmp
177.1794545	n/a	right_press	n/a	n/a	n/a	49	4096	n/a
177.7303636	n/a	show_cross	n/a	n/a	n/a	50	1	cross.bmp
178.3458182	n/a	show_face	scrambled_face	immediate_repeat	1	50	18	s111.bmp
179.2012727	n/a	right_press	n/a	n/a	n/a	50	4096	n/a
179.3203636	n/a	show_circle	n/a	n/a	n/a	50	0	circle.bmp
