onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
0.004	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	3	n/a
25.696181818200003	n/a	6424.0455	show_face_initial	scrambled_face	first_show	1	n/a	17	s096.bmp
26.5616363636	n/a	6640.4091	show_circle	n/a	n/a	1	n/a	0	circle.bmp
28.2616363636	n/a	7065.4091	show_cross	n/a	n/a	2	n/a	1	cross.bmp
28.8870909091	n/a	7221.7727	show_face	famous_face	first_show	2	n/a	5	f148.bmp
29.771636363600003	n/a	7442.9091	right_press	n/a	n/a	2	n/a	4096	n/a
29.9052727273	n/a	7476.3182	show_circle	n/a	n/a	2	n/a	0	circle.bmp
31.6052727273	n/a	7901.3182	show_cross	n/a	n/a	3	n/a	1	cross.bmp
32.1943636364	n/a	8048.5909	show_face	famous_face	immediate_repeat	3	1	6	f148.bmp
32.7898181818	n/a	8197.4545	right_press	n/a	n/a	3	n/a	4096	n/a
33.0316363636	n/a	8257.9091	show_circle	n/a	n/a	3	n/a	0	circle.bmp
34.7316363636	n/a	8682.9091	show_cross	n/a	n/a	4	n/a	1	cross.bmp
35.1843636364	n/a	8796.0909	show_face	scrambled_face	first_show	4	n/a	17	s071.bmp
36.0289090909	n/a	9007.2273	show_circle	n/a	n/a	4	n/a	0	circle.bmp
36.1089090909	n/a	9027.2273	right_press	n/a	n/a	4	n/a	4096	n/a
37.7289090909	n/a	9432.2273	show_cross	n/a	n/a	5	n/a	1	cross.bmp
38.3589090909	n/a	9589.7273	show_face	scrambled_face	immediate_repeat	5	1	18	s071.bmp
38.8270909091	n/a	9706.7727	right_press	n/a	n/a	5	n/a	4096	n/a
39.3707272727	n/a	9842.6818	show_circle	n/a	n/a	5	n/a	0	circle.bmp
41.0707272727	n/a	10267.6818	show_cross	n/a	n/a	6	n/a	1	cross.bmp
41.6498181818	n/a	10412.4545	show_face	unfamiliar_face	first_show	6	n/a	13	u005.bmp
42.5307272727	n/a	10632.6818	show_circle	n/a	n/a	6	n/a	0	circle.bmp
44.2307272727	n/a	11057.6818	show_cross	n/a	n/a	7	n/a	1	cross.bmp
44.723454545500005	n/a	11180.8636	show_face	famous_face	first_show	7	n/a	5	f119.bmp
45.4770909091	n/a	11369.2727	right_press	n/a	n/a	7	n/a	4096	n/a
45.608	n/a	11402.0	show_circle	n/a	n/a	7	n/a	0	circle.bmp
47.308	n/a	11827.0	show_cross	n/a	n/a	8	n/a	1	cross.bmp
47.7970909091	n/a	11949.2727	show_face	famous_face	first_show	8	n/a	5	f145.bmp
48.390727272700005	n/a	12097.6818	right_press	n/a	n/a	8	n/a	4096	n/a
48.778	n/a	12194.5	show_circle	n/a	n/a	8	n/a	0	circle.bmp
50.478	n/a	12619.5	show_cross	n/a	n/a	9	n/a	1	cross.bmp
50.9707272727	n/a	12742.6818	show_face	scrambled_face	delayed_repeat	9	8	19	s096.bmp
51.9816363636	n/a	12995.4091	show_circle	n/a	n/a	9	n/a	0	circle.bmp
53.6816363636	n/a	13420.4091	show_cross	n/a	n/a	10	n/a	1	cross.bmp
54.2789090909	n/a	13569.7273	show_face	unfamiliar_face	first_show	10	n/a	13	u117.bmp
55.0334545455	n/a	13758.3636	right_press	n/a	n/a	10	n/a	4096	n/a
55.1334545455	n/a	13783.3636	show_circle	n/a	n/a	10	n/a	0	circle.bmp
56.8334545455	n/a	14208.3636	show_cross	n/a	n/a	11	n/a	1	cross.bmp
57.4025454545	n/a	14350.6364	show_face	unfamiliar_face	immediate_repeat	11	1	14	u117.bmp
58.11981818180001	n/a	14529.9545	right_press	n/a	n/a	11	n/a	4096	n/a
58.2443636364	n/a	14561.0909	show_circle	n/a	n/a	11	n/a	0	circle.bmp
59.944363636400006	n/a	14986.0909	show_cross	n/a	n/a	12	n/a	1	cross.bmp
60.5598181818	n/a	15139.9545	show_face	famous_face	first_show	12	n/a	5	f098.bmp
61.478	n/a	15369.5	show_circle	n/a	n/a	12	n/a	0	circle.bmp
63.178	n/a	15794.5	show_cross	n/a	n/a	13	n/a	1	cross.bmp
63.7843636364	n/a	15946.0909	show_face	scrambled_face	first_show	13	n/a	17	s008.bmp
64.4870909091	n/a	16121.7727	right_press	n/a	n/a	13	n/a	4096	n/a
64.7952727273	n/a	16198.8182	show_circle	n/a	n/a	13	n/a	0	circle.bmp
66.49527272729999	n/a	16623.8182	show_cross	n/a	n/a	14	n/a	1	cross.bmp
67.04163636359999	n/a	16760.4091	show_face	scrambled_face	immediate_repeat	14	1	18	s008.bmp
67.68072727270001	n/a	16920.1818	right_press	n/a	n/a	14	n/a	4096	n/a
67.9061818182	n/a	16976.5455	show_circle	n/a	n/a	14	n/a	0	circle.bmp
69.6061818182	n/a	17401.5455	show_cross	n/a	n/a	15	n/a	1	cross.bmp
70.2489090909	n/a	17562.2273	show_face	unfamiliar_face	delayed_repeat	15	9	15	u005.bmp
71.18163636359999	n/a	17795.4091	right_press	n/a	n/a	15	n/a	4096	n/a
71.1889090909	n/a	17797.2273	show_circle	n/a	n/a	15	n/a	0	circle.bmp
72.8889090909	n/a	18222.2273	show_cross	n/a	n/a	16	n/a	1	cross.bmp
73.4398181818	n/a	18359.9545	show_face	famous_face	first_show	16	n/a	5	f139.bmp
74.26163636359999	n/a	18565.4091	right_press	n/a	n/a	16	n/a	4096	n/a
74.31890909090001	n/a	18579.7273	show_circle	n/a	n/a	16	n/a	0	circle.bmp
76.0189090909	n/a	19004.7273	show_cross	n/a	n/a	17	n/a	1	cross.bmp
76.6470909091	n/a	19161.7727	show_face	famous_face	immediate_repeat	17	1	6	f139.bmp
77.30254545449999	n/a	19325.6364	right_press	n/a	n/a	17	n/a	4096	n/a
77.5889090909	n/a	19397.2273	show_circle	n/a	n/a	17	n/a	0	circle.bmp
79.2889090909	n/a	19822.2273	show_cross	n/a	n/a	18	n/a	1	cross.bmp
79.87072727270001	n/a	19967.6818	show_face	famous_face	delayed_repeat	18	11	7	f119.bmp
80.4789090909	n/a	20119.7273	right_press	n/a	n/a	18	n/a	4096	n/a
80.72618181819999	n/a	20181.5455	show_circle	n/a	n/a	18	n/a	0	circle.bmp
82.42618181819999	n/a	20606.5455	show_cross	n/a	n/a	19	n/a	1	cross.bmp
82.9116363636	n/a	20727.9091	show_face	scrambled_face	first_show	19	n/a	17	s001.bmp
83.4970909091	n/a	20874.2727	right_press	n/a	n/a	19	n/a	4096	n/a
83.7943636364	n/a	20948.5909	show_circle	n/a	n/a	19	n/a	0	circle.bmp
85.49436363640001	n/a	21373.5909	show_cross	n/a	n/a	20	n/a	1	cross.bmp
86.0852727273	n/a	21521.3182	show_face	scrambled_face	immediate_repeat	20	1	18	s001.bmp
86.9752727273	n/a	21743.8182	right_press	n/a	n/a	20	n/a	4096	n/a
87.1025454545	n/a	21775.6364	show_circle	n/a	n/a	20	n/a	0	circle.bmp
88.8025454545	n/a	22200.6364	show_cross	n/a	n/a	21	n/a	1	cross.bmp
89.3098181818	n/a	22327.4545	show_face	famous_face	delayed_repeat	21	13	7	f145.bmp
89.988	n/a	22497.0	right_press	n/a	n/a	21	n/a	4096	n/a
90.2452727273	n/a	22561.3182	show_circle	n/a	n/a	21	n/a	0	circle.bmp
91.9452727273	n/a	22986.3182	show_cross	n/a	n/a	22	n/a	1	cross.bmp
92.4161818182	n/a	23104.0455	show_face	famous_face	first_show	22	n/a	5	f028.bmp
93.0407272727	n/a	23260.1818	right_press	n/a	n/a	22	n/a	4096	n/a
