onset	duration	label	channels
n/a	n/a	chan_manual	["EEG009","EEG010","EEG011","EEG012","EEG044","EEG048","EEG049","EEG050","EEG051","EEG054","EEG065","EEG074","EEG097","EEG098","EEG127","EEG128"]
n/a	n/a	chan_ch_sd	["EEG065","EEG074"]
n/a	n/a	chan_low_r	["EEG044","EEG054"]
n/a	n/a	chan_bridge	["EEG009","EEG010","EEG011","EEG012","EEG048","EEG049","EEG050","EEG051","EEG097","EEG098","EEG127","EEG128"]
n/a	n/a	chan_rank	["EEG125"]
n/a	n/a	comp_manual	["ICA002","ICA021","ICA023","ICA024","ICA027","ICA034","ICA036","ICA041","ICA042","ICA043","ICA047","ICA048","ICA049","ICA051","ICA054","ICA056","ICA062","ICA063","ICA064","ICA065","ICA066","ICA067","ICA070","ICA071","ICA072","ICA075","ICA077","ICA078","ICA079","ICA080","ICA082","ICA083","ICA085","ICA086","ICA087","ICA089","ICA090","ICA091","ICA093","ICA094","ICA095","ICA096","ICA097","ICA098","ICA100","ICA101","ICA102","ICA103","ICA104","ICA105","ICA106","ICA108","ICA109","ICA110"]
n/a	n/a	comp_ic_rt	["ICA001","ICA003","ICA004","ICA005","ICA006","ICA007","ICA008","ICA009","ICA010","ICA011","ICA012","ICA013","ICA014","ICA015","ICA016","ICA017","ICA018","ICA019","ICA020","ICA021","ICA022","ICA025","ICA026","ICA027","ICA028","ICA029","ICA030","ICA031","ICA032","ICA033","ICA034","ICA035","ICA036","ICA037","ICA038","ICA039","ICA040","ICA041","ICA042","ICA043","ICA044","ICA045","ICA046","ICA047","ICA048","ICA049","ICA050","ICA051","ICA052","ICA053","ICA054","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA061","ICA062","ICA063","ICA064","ICA065","ICA066","ICA067","ICA068","ICA069","ICA070","ICA071","ICA072","ICA073","ICA074","ICA075","ICA076","ICA077","ICA078","ICA079","ICA080","ICA081","ICA082","ICA083","ICA084","ICA085","ICA086","ICA087","ICA088","ICA089","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA096","ICA097","ICA098","ICA099","ICA100","ICA101","ICA102","ICA103","ICA104","ICA105","ICA106","ICA107","ICA108","ICA109","ICA110","ICA111"]
n/a	n/a	comp_brain	["ICA001","ICA003","ICA004","ICA005","ICA006","ICA007","ICA008","ICA009","ICA010","ICA011","ICA016","ICA017","ICA018","ICA019","ICA020","ICA025","ICA031","ICA037","ICA053"]
n/a	n/a	comp_muscle	["ICA024"]
n/a	n/a	comp_eye	["ICA002"]
n/a	n/a	comp_chan_noise	["ICA021","ICA023","ICA027","ICA036","ICA041","ICA042","ICA043","ICA051","ICA054","ICA056","ICA062","ICA063","ICA064","ICA065","ICA067","ICA070","ICA072","ICA078","ICA079","ICA080","ICA082","ICA083","ICA085","ICA086","ICA089","ICA090","ICA091","ICA093","ICA094","ICA095","ICA096","ICA097","ICA100","ICA101","ICA103","ICA104","ICA105","ICA106","ICA108","ICA109","ICA110"]
n/a	n/a	comp_other	["ICA012","ICA013","ICA014","ICA015","ICA022","ICA026","ICA028","ICA029","ICA030","ICA032","ICA033","ICA034","ICA035","ICA038","ICA039","ICA040","ICA044","ICA045","ICA046","ICA047","ICA048","ICA049","ICA050","ICA052","ICA055","ICA057","ICA058","ICA059","ICA060","ICA061","ICA066","ICA068","ICA069","ICA071","ICA073","ICA074","ICA075","ICA076","ICA077","ICA081","ICA084","ICA087","ICA088","ICA092","ICA098","ICA099","ICA102","ICA107","ICA111"]
0.0039062	22.4375	out_task	n/a
21.4375	8.0039	in_leadup_fhbc_onset	n/a
22.4414	271.3203	in_task_fhbc_onset	n/a
293.7617	30.8438	out_task	n/a
323.5977	8.0078	in_leadup_fhbc_onset	n/a
324.6055	271.5859	in_task_fhbc_onset	n/a
596.1914	30.207	out_task	n/a
625.3906	8.0078	in_leadup_fhbc_onset	n/a
626.3984	268.957	in_task_fhbc_onset	n/a
895.3555	38.4453	out_task	n/a
932.793	8.0078	in_leadup_fhbc_onset	n/a
933.8008	269.8711	in_task_fhbc_onset	n/a
1203.6719	12.332	out_task	n/a
