onset	duration	label	channels
n/a	n/a	chan_manual	["EEG009","EEG010","EEG011","EEG012","EEG025","EEG026","EEG118","EEG127","EEG128"]
n/a	n/a	chan_bridge	["EEG009","EEG010","EEG011","EEG012","EEG025","EEG026","EEG118","EEG127","EEG128"]
n/a	n/a	chan_rank	["EEG008"]
n/a	n/a	comp_manual	["ICA002","ICA005","ICA009","ICA011","ICA025","ICA040","ICA043","ICA046","ICA053","ICA064","ICA074","ICA076","ICA078","ICA084","ICA085","ICA088","ICA092","ICA096","ICA097","ICA107","ICA111","ICA114","ICA115","ICA116","ICA117"]
n/a	n/a	comp_ic_rt	["ICA007","ICA008","ICA010","ICA012","ICA013","ICA014","ICA016","ICA017","ICA018","ICA019","ICA022","ICA023","ICA026","ICA028","ICA029","ICA030","ICA031","ICA032","ICA033","ICA034","ICA035","ICA036","ICA037","ICA038","ICA039","ICA041","ICA044","ICA045","ICA048","ICA049","ICA050","ICA051","ICA052","ICA053","ICA054","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA062","ICA063","ICA065","ICA066","ICA067","ICA068","ICA069","ICA070","ICA072","ICA073","ICA076","ICA078","ICA080","ICA081","ICA082","ICA083","ICA086","ICA087","ICA089","ICA094","ICA095","ICA098","ICA099","ICA100","ICA102","ICA103","ICA104","ICA105","ICA108","ICA109","ICA110","ICA112"]
n/a	n/a	comp_brain	["ICA001","ICA003","ICA004","ICA006","ICA007","ICA008","ICA010","ICA013","ICA014","ICA016","ICA017","ICA018","ICA022","ICA026","ICA028","ICA034","ICA035","ICA083"]
n/a	n/a	comp_eye	["ICA002"]
n/a	n/a	comp_heart	["ICA005","ICA009","ICA046"]
n/a	n/a	comp_chan_noise	["ICA025","ICA043","ICA053","ICA064","ICA074","ICA076","ICA078","ICA084","ICA085","ICA092","ICA096","ICA097","ICA107","ICA111","ICA114","ICA115","ICA116","ICA117"]
n/a	n/a	comp_other	["ICA011","ICA012","ICA015","ICA019","ICA020","ICA021","ICA023","ICA024","ICA027","ICA029","ICA030","ICA031","ICA032","ICA033","ICA036","ICA037","ICA038","ICA039","ICA040","ICA041","ICA042","ICA044","ICA045","ICA047","ICA048","ICA049","ICA050","ICA051","ICA052","ICA054","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA061","ICA062","ICA063","ICA065","ICA066","ICA067","ICA068","ICA069","ICA070","ICA071","ICA072","ICA073","ICA075","ICA077","ICA079","ICA080","ICA081","ICA082","ICA086","ICA087","ICA088","ICA089","ICA090","ICA091","ICA093","ICA094","ICA095","ICA098","ICA099","ICA100","ICA101","ICA102","ICA103","ICA104","ICA105","ICA106","ICA108","ICA109","ICA110","ICA112","ICA113","ICA118"]
