onset	duration	sample	trial_type	response_time	value	channels	HED
0.000000	2307.000000	n/a	n/a	n/a	chan_rank	116	Other-artifact, Artifact-does-not-interfere-recording
0.000000	2307.000000	n/a	n/a	n/a	chan_ch_sd	1,74	Other-artifact
0.000000	2307.000000	n/a	n/a	n/a	chan_manual	1,7,8,9,10,11,12,14,15,25,26,30,31,33,34,36,37,74,106,107,118,119,120,121,125,126,127,128	Other-artifact
0.000000	2307.000000	n/a	n/a	n/a	chan_bridge	7,8,9,10,11,12,14,15,25,26,30,31,33,34,36,37,106,107,118,119,120,121,125,126,127,128	Salt-bridge-artifact
0.001953	23.503900	n/a	n/a	n/a	out_task	n/a	Task-property, Temporal-marker, Organizational-property, Time-block
0.001953	30.503900	n/a	n/a	n/a	manual	n/a	Artifact, Time-block
1.000000	0.000000	n/a	n/a	n/a	e-255	n/a	Experiment-control, Recording
22.503900	8.002000	n/a	n/a	n/a	in_leadup_fhbc_fade	n/a	Onset, Task-property, Temporal-marker, Organizational-property, Time-block
23.505900	223.175800	n/a	n/a	n/a	in_task_fhbc_fade	n/a	Organizational-property, Time-block
26.502930	0.000000	n/a	n/a	n/a	checker-f2	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image
26.552734	0.000000	n/a	n/a	n/a	checker-f3	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image
26.602539	0.000000	n/a	n/a	n/a	checker-f4	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image
26.652344	0.000000	n/a	n/a	n/a	checker-f5	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image
26.702148	0.000000	n/a	n/a	n/a	checker-f6	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.051758	0.000000	n/a	n/a	n/a	house-upright-f1	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.119141	0.000000	n/a	n/a	n/a	house-upright-f2	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.185547	0.000000	n/a	n/a	n/a	house-upright-f3	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.251953	0.000000	n/a	n/a	n/a	house-upright-f4	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.318359	0.000000	n/a	n/a	n/a	house-upright-f5	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.384766	0.000000	n/a	n/a	n/a	house-upright-f6	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.868164	0.000000	n/a	n/a	n/a	face-inverted-f1	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
27.934570	0.000000	n/a	n/a	n/a	face-inverted-f2	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
28.000977	0.000000	n/a	n/a	n/a	face-inverted-f3	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
28.067383	0.000000	n/a	n/a	n/a	face-inverted-f4	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
28.133789	0.000000	n/a	n/a	n/a	face-inverted-f5	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
28.201172	0.000000	n/a	n/a	n/a	face-inverted-f6	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
28.666992	0.000000	n/a	n/a	n/a	house-inverted-f1	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
28.733398	0.000000	n/a	n/a	n/a	house-inverted-f2	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
28.799805	0.000000	n/a	n/a	n/a	house-inverted-f3	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
28.867188	0.000000	n/a	n/a	n/a	house-inverted-f4	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
28.933594	0.000000	n/a	n/a	n/a	house-inverted-f5	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.000000	0.000000	n/a	n/a	n/a	house-inverted-f6	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.465820	0.000000	n/a	n/a	n/a	face-upright-f1	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
29.549805	0.000000	n/a	n/a	n/a	face-upright-f2	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
29.632813	0.000000	n/a	n/a	n/a	face-upright-f3	n/a	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
