onset	duration	value
24.814453	0.0	face-inverted-f1
24.864258	0.0	face-inverted-f2
24.914063	0.0	face-inverted-f3
24.963867	0.0	face-inverted-f4
25.013672	0.0	face-inverted-f5
25.063477	0.0	face-inverted-f6
25.413086	0.0	checker-f1
25.479492	0.0	checker-f2
25.546875	0.0	checker-f3
25.613281	0.0	checker-f4
25.679688	0.0	checker-f5
25.746094	0.0	checker-f6
26.212891	0.0	house-inverted-f1
26.295898	0.0	house-inverted-f2
26.378906	0.0	house-inverted-f3
26.461914	0.0	house-inverted-f4
26.545898	0.0	house-inverted-f5
26.628906	0.0	house-inverted-f6
27.210938	0.0	house-upright-f1
27.27832	0.0	house-upright-f2
27.344727	0.0	house-upright-f3
27.411133	0.0	house-upright-f4
27.477539	0.0	house-upright-f5
27.543945	0.0	house-upright-f6
28.010742	0.0	face-upright-f1
28.077148	0.0	face-upright-f2
28.160156	0.0	face-upright-f3
28.226563	0.0	face-upright-f4
28.310547	0.0	face-upright-f5
28.393555	0.0	face-upright-f6
28.925781	0.0	face-inverted-f1
29.009766	0.0	face-inverted-f2
29.092773	0.0	face-inverted-f3
29.175781	0.0	face-inverted-f4
29.258789	0.0	face-inverted-f5
29.342773	0.0	face-inverted-f6
29.924805	0.0	checker-f1
29.992188	0.0	checker-f2
30.058594	0.0	checker-f3
30.125	0.0	checker-f4
30.191406	0.0	checker-f5
30.257813	0.0	checker-f6
30.724609	0.0	face-upright-f1
30.807617	0.0	face-upright-f2
30.890625	0.0	face-upright-f3
30.973633	0.0	face-upright-f4
31.057617	0.0	face-upright-f5
31.140625	0.0	face-upright-f6
31.723633	0.0	house-upright-f1
31.790039	0.0	house-upright-f2
31.856445	0.0	house-upright-f3
31.922852	0.0	house-upright-f4
31.989258	0.0	house-upright-f5
32.055664	0.0	house-upright-f6
32.522461	0.0	house-inverted-f1
32.588867	0.0	house-inverted-f2
32.655273	0.0	house-inverted-f3
32.72168	0.0	house-inverted-f4
32.789063	0.0	house-inverted-f5
32.855469	0.0	house-inverted-f6
33.321289	0.0	checker-f1
33.404297	0.0	checker-f2
33.488281	0.0	checker-f3
33.571289	0.0	checker-f4
33.654297	0.0	checker-f5
33.737305	0.0	checker-f6
34.320313	0.0	house-upright-f1
34.40332	0.0	house-upright-f2
34.486328	0.0	house-upright-f3
34.570313	0.0	house-upright-f4
34.65332	0.0	house-upright-f5
34.736328	0.0	house-upright-f6
35.319336	0.0	house-inverted-f1
35.402344	0.0	house-inverted-f2
35.485352	0.0	house-inverted-f3
35.569336	0.0	house-inverted-f4
35.652344	0.0	house-inverted-f5
35.735352	0.0	house-inverted-f6
36.318359	0.0	face-upright-f1
36.384766	0.0	face-upright-f2
36.451172	0.0	face-upright-f3
36.517578	0.0	face-upright-f4
36.584961	0.0	face-upright-f5
36.651367	0.0	face-upright-f6
37.117188	0.0	face-inverted-f1
37.183594	0.0	face-inverted-f2
37.25	0.0	face-inverted-f3
37.317383	0.0	face-inverted-f4
37.383789	0.0	face-inverted-f5
37.450195	0.0	face-inverted-f6
37.916016	0.0	checker-f1
37.983398	0.0	checker-f2
38.049805	0.0	checker-f3
38.116211	0.0	checker-f4
38.182617	0.0	checker-f5
38.249023	0.0	checker-f6
38.71582	0.0	face-inverted-f1
38.782227	0.0	face-inverted-f2
38.848633	0.0	face-inverted-f3
38.915039	0.0	face-inverted-f4
38.981445	0.0	face-inverted-f5
39.048828	0.0	face-inverted-f6
39.564453	0.0	face-upright-f1
39.647461	0.0	face-upright-f2
39.731445	0.0	face-upright-f3
39.814453	0.0	face-upright-f4
39.897461	0.0	face-upright-f5
39.980469	0.0	face-upright-f6
40.580078	0.0	house-upright-f1
40.629883	0.0	house-upright-f2
40.679688	0.0	house-upright-f3
40.730469	0.0	house-upright-f4
40.780273	0.0	house-upright-f5
40.830078	0.0	house-upright-f6
41.179688	0.0	house-inverted-f1
41.246094	0.0	house-inverted-f2
41.3125	0.0	house-inverted-f3
41.378906	0.0	house-inverted-f4
41.446289	0.0	house-inverted-f5
41.512695	0.0	house-inverted-f6
41.978516	0.0	face-upright-f1
42.044922	0.0	face-upright-f2
42.111328	0.0	face-upright-f3
42.178711	0.0	face-upright-f4
42.245117	0.0	face-upright-f5
42.311523	0.0	face-upright-f6
42.777344	0.0	house-inverted-f1
42.844727	0.0	house-inverted-f2
42.911133	0.0	house-inverted-f3
42.977539	0.0	house-inverted-f4
43.043945	0.0	house-inverted-f5
43.110352	0.0	house-inverted-f6
43.577148	0.0	face-inverted-f1
43.643555	0.0	face-inverted-f2
43.709961	0.0	face-inverted-f3
43.776367	0.0	face-inverted-f4
43.842773	0.0	face-inverted-f5
43.910156	0.0	face-inverted-f6
44.375977	0.0	checker-f1
44.458984	0.0	checker-f2
44.542969	0.0	checker-f3
44.625977	0.0	checker-f4
44.708984	0.0	checker-f5
44.791992	0.0	checker-f6
45.375	0.0	house-upright-f1
45.441406	0.0	house-upright-f2
45.507813	0.0	house-upright-f3
45.574219	0.0	house-upright-f4
45.641602	0.0	house-upright-f5
45.708008	0.0	house-upright-f6
46.173828	0.0	face-inverted-f1
46.240234	0.0	face-inverted-f2
46.307617	0.0	face-inverted-f3
46.374023	0.0	face-inverted-f4
46.44043	0.0	face-inverted-f5
46.506836	0.0	face-inverted-f6
46.973633	0.0	checker-f1
47.056641	0.0	checker-f2
47.139648	0.0	checker-f3
47.222656	0.0	checker-f4
47.305664	0.0	checker-f5
47.389648	0.0	checker-f6
47.97168	0.0	house-inverted-f1
48.039063	0.0	house-inverted-f2
48.105469	0.0	house-inverted-f3
48.171875	0.0	house-inverted-f4
48.238281	0.0	house-inverted-f5
48.304688	0.0	house-inverted-f6
48.771484	0.0	face-upright-f1
48.837891	0.0	face-upright-f2
48.904297	0.0	face-upright-f3
48.970703	0.0	face-upright-f4
49.037109	0.0	face-upright-f5
