name	type	units	status
A1	EEG	microV	good
A2	EEG	microV	good
A3	EEG	microV	good
A4	EEG	microV	good
A5	EEG	microV	good
A6	EEG	microV	good
A7	EEG	microV	good
A8	EEG	microV	good
A9	EEG	microV	good
A10	EEG	microV	good
A11	EEG	microV	good
A12	EEG	microV	good
A13	EEG	microV	good
A14	EEG	microV	good
A15	EEG	microV	good
A16	EEG	microV	good
A17	EEG	microV	good
A18	EEG	microV	good
A19	EEG	microV	good
A20	EEG	microV	good
A21	EEG	microV	good
A22	EEG	microV	good
A23	EEG	microV	good
A24	EEG	microV	good
A25	EEG	microV	good
A26	EEG	microV	good
A27	EEG	microV	good
A28	EEG	microV	good
A29	EEG	microV	good
A30	EEG	microV	good
A31	EEG	microV	good
A32	EEG	microV	good
B1	EEG	microV	good
B2	EEG	microV	good
B3	EEG	microV	good
B4	EEG	microV	good
B5	EEG	microV	good
B6	EEG	microV	good
B7	EEG	microV	good
B8	EEG	microV	good
B9	EEG	microV	good
B10	EEG	microV	good
B11	EEG	microV	good
B12	EEG	microV	good
B13	EEG	microV	good
B14	EEG	microV	good
B15	EEG	microV	good
B16	EEG	microV	good
B17	EEG	microV	good
B18	EEG	microV	good
B19	EEG	microV	good
B20	EEG	microV	good
B21	EEG	microV	good
B22	EEG	microV	good
B23	EEG	microV	good
B24	EEG	microV	good
B25	EEG	microV	good
B26	EEG	microV	good
B27	EEG	microV	good
B28	EEG	microV	good
B29	EEG	microV	good
B30	EEG	microV	good
B31	EEG	microV	good
B32	EEG	microV	good
C1	EEG	microV	good
C2	EEG	microV	good
C3	EEG	microV	good
C4	EEG	microV	good
C5	EEG	microV	good
C6	EEG	microV	good
C7	EEG	microV	good
C8	EEG	microV	good
C9	EEG	microV	good
C10	EEG	microV	good
C11	EEG	microV	good
C12	EEG	microV	good
C13	EEG	microV	good
C14	EEG	microV	good
C15	EEG	microV	good
C16	EEG	microV	good
C17	EEG	microV	good
C18	EEG	microV	good
C19	EEG	microV	good
C20	EEG	microV	good
C21	EEG	microV	good
C22	EEG	microV	good
C23	EEG	microV	good
C24	EEG	microV	good
C25	EEG	microV	good
C26	EEG	microV	good
C27	EEG	microV	good
C28	EEG	microV	good
C29	EEG	microV	good
C30	EEG	microV	good
C31	EEG	microV	good
C32	EEG	microV	good
D1	EEG	microV	good
D2	EEG	microV	good
D3	EEG	microV	good
D4	EEG	microV	good
D5	EEG	microV	good
D6	EEG	microV	good
D7	EEG	microV	good
D8	EEG	microV	good
D9	EEG	microV	good
D10	EEG	microV	good
D11	EEG	microV	good
D12	EEG	microV	good
D13	EEG	microV	good
D14	EEG	microV	good
D15	EEG	microV	good
D16	EEG	microV	good
D17	EEG	microV	good
D18	EEG	microV	good
D19	EEG	microV	good
D20	EEG	microV	good
D21	EEG	microV	good
D22	EEG	microV	good
D23	EEG	microV	good
D24	EEG	microV	good
D25	EEG	microV	good
D26	EEG	microV	good
D27	EEG	microV	good
D28	EEG	microV	good
D29	EEG	microV	good
D30	EEG	microV	good
D31	EEG	microV	good
D32	EEG	microV	good
