onset	duration	trial_type
11.734	0.000	checker-right
12.533	0.000	house-upright
13.332	0.000	face-upright
14.148	0.000	face-inverted
14.997	0.000	checker-left
15.508	0.000	press-left
15.796	0.000	house-inverted
16.596	0.000	house-inverted
17.478	0.000	face-inverted
18.243	0.000	face-upright
19.143	0.000	house-upright
19.941	0.000	checker-left
20.554	0.000	press-left
20.758	0.000	checker-right
21.159	0.000	press-right
21.739	0.000	face-upright
22.705	0.000	house-inverted
23.505	0.000	checker-right
23.975	0.000	press-right
24.503	0.000	checker-left
24.853	0.000	press-left
25.419	0.000	face-inverted
26.285	0.000	house-upright
27.200	0.000	checker-right
27.558	0.000	press-right
28.066	0.000	face-inverted
28.915	0.000	face-upright
29.715	0.000	checker-left
30.040	0.000	press-left
30.597	0.000	house-upright
31.513	0.000	house-inverted
32.411	0.000	checker-right
32.855	0.000	press-right
33.178	0.000	checker-left
33.521	0.000	press-left
34.010	0.000	face-inverted
35.009	0.000	house-upright
35.891	0.000	house-inverted
36.890	0.000	face-upright
37.672	0.000	house-inverted
38.472	0.000	face-inverted
39.454	0.000	house-upright
40.236	0.000	checker-left
40.597	0.000	press-left
41.219	0.000	face-upright
42.117	0.000	checker-right
42.483	0.000	press-right
43.083	0.000	house-upright
44.049	0.000	face-inverted
45.015	0.000	checker-right
45.410	0.000	press-right
45.913	0.000	house-inverted
46.696	0.000	checker-left
47.075	0.000	press-left
47.528	0.000	face-upright
48.494	0.000	face-upright
49.409	0.000	house-inverted
50.226	0.000	house-upright
51.141	0.000	face-inverted
51.957	0.000	checker-right
52.344	0.000	press-right
52.922	0.000	checker-left
53.362	0.000	press-left
53.688	0.000	checker-right
54.109	0.000	press-right
54.587	0.000	face-inverted
55.370	0.000	checker-left
55.896	0.000	press-left
56.302	0.000	house-upright
57.301	0.000	face-upright
58.300	0.000	house-inverted
59.199	0.000	house-upright
60.015	0.000	face-inverted
61.014	0.000	house-inverted
61.896	0.000	checker-left
62.324	0.000	press-left
62.828	0.000	face-upright
63.644	0.000	checker-right
64.010	0.000	press-right
64.410	0.000	face-upright
65.409	0.000	house-inverted
66.175	0.000	checker-right
66.645	0.000	press-right
67.073	0.000	house-upright
67.906	0.000	checker-left
68.279	0.000	press-left
68.755	0.000	face-inverted
69.521	0.000	checker-left
69.984	0.000	press-left
70.337	0.000	face-upright
71.285	0.000	house-upright
72.268	0.000	face-inverted
73.184	0.000	checker-right
73.617	0.000	press-right
73.966	0.000	house-inverted
74.832	0.000	house-inverted
75.598	0.000	face-inverted
76.597	0.000	face-upright
77.445	0.000	checker-left
77.866	0.000	press-left
78.444	0.000	checker-right
78.855	0.000	press-right
79.210	0.000	house-upright
80.060	0.000	house-inverted
80.958	0.000	face-upright
81.957	0.000	house-upright
82.790	0.000	checker-right
83.165	0.000	press-right
83.772	0.000	face-inverted
84.688	0.000	checker-left
85.052	0.000	press-left
85.670	0.000	face-inverted
86.502	0.000	face-upright
87.401	0.000	house-upright
88.268	0.000	checker-left
88.675	0.000	press-left
89.166	0.000	checker-right
89.573	0.000	press-right
89.932	0.000	house-inverted
90.864	0.000	face-upright
91.747	0.000	house-upright
92.513	0.000	checker-left
92.863	0.000	press-left
93.378	0.000	face-inverted
94.277	0.000	checker-right
94.640	0.000	press-right
95.243	0.000	house-inverted
96.025	0.000	house-upright
96.975	0.000	checker-right
97.344	0.000	press-left
97.840	0.000	face-upright
98.789	0.000	checker-left
99.181	0.000	press-left
99.688	0.000	house-inverted
100.504	0.000	face-inverted
101.470	0.000	house-inverted
102.468	0.000	face-inverted
103.450	0.000	checker-right
103.803	0.000	press-right
104.350	0.000	face-upright
105.282	0.000	house-upright
106.214	0.000	checker-left
106.538	0.000	press-left
107.146	0.000	checker-left
107.598	0.000	press-left
108.129	0.000	house-upright
109.044	0.000	face-upright
109.910	0.000	checker-right
110.332	0.000	press-right
110.709	0.000	face-inverted
111.642	0.000	house-inverted
112.624	0.000	face-upright
113.623	0.000	checker-left
114.057	0.000	press-left
114.438	0.000	house-upright
115.287	0.000	checker-right
115.712	0.000	press-right
116.220	0.000	house-inverted
117.136	0.000	face-inverted
118.018	0.000	checker-left
118.416	0.000	press-left
118.967	0.000	checker-right
119.496	0.000	press-right
119.816	0.000	face-inverted
120.682	0.000	face-upright
121.497	0.000	house-inverted
122.347	0.000	house-upright
123.212	0.000	checker-left
123.573	0.000	press-left
124.078	0.000	house-inverted
124.943	0.000	face-inverted
125.893	0.000	checker-right
126.309	0.000	press-right
126.742	0.000	house-upright
127.624	0.000	face-upright
128.523	0.000	house-inverted
129.289	0.000	house-upright
130.104	0.000	checker-right
130.547	0.000	press-right
131.004	0.000	checker-left
131.415	0.000	press-left
131.819	0.000	face-inverted
132.802	0.000	face-upright
133.801	0.000	checker-right
134.160	0.000	press-right
134.733	0.000	house-inverted
135.665	0.000	face-upright
136.598	0.000	house-upright
137.580	0.000	checker-left
138.015	0.000	press-left
138.462	0.000	face-inverted
139.378	0.000	face-upright
140.244	0.000	checker-right
140.578	0.000	press-right
141.010	0.000	house-upright
141.842	0.000	checker-left
142.314	0.000	press-left
142.808	0.000	house-inverted
143.656	0.000	face-inverted
144.589	0.000	checker-left
145.090	0.000	press-left
145.505	0.000	house-inverted
146.320	0.000	house-upright
147.086	0.000	face-upright
