onset	duration	trial_type
0.236	0.000	face-upright
1.002	0.000	face-inverted
1.918	0.000	house-upright
2.750	0.000	face-inverted
3.170	0.000	house-upright
4.002	0.000	face-inverted
4.951	0.000	house-inverted
5.950	0.000	checker-right
6.170	0.000	checker-left
6.580	0.000	press-left
7.002	0.000	face-inverted
7.784	0.000	checker-right
8.114	0.000	press-right
8.584	0.000	checker-left
8.973	0.000	press-left
9.053	0.000	face-upright
10.002	0.000	face-inverted
10.900	0.000	house-inverted
11.833	0.000	house-upright
12.070	0.000	face-upright
13.002	0.000	face-inverted
13.835	0.000	checker-right
14.202	0.000	press-right
14.784	0.000	house-upright
15.169	0.000	house-inverted
16.002	0.000	face-inverted
16.900	0.000	face-upright
17.866	0.000	house-upright
18.236	0.000	house-upright
19.002	0.000	face-inverted
19.784	0.000	checker-right
20.092	0.000	press-right
20.700	0.000	checker-left
21.069	0.000	checker-right
21.417	0.000	press-right
22.002	0.000	face-inverted
22.817	0.000	face-upright
23.600	0.000	checker-right
23.950	0.000	press-right
24.170	0.000	face-upright
25.002	0.000	face-inverted
25.801	0.000	house-inverted
26.684	0.000	house-inverted
27.203	0.000	checker-right
27.522	0.000	press-right
28.002	0.000	face-inverted
28.935	0.000	checker-left
29.229	0.000	press-left
29.750	0.000	face-upright
30.152	0.000	house-upright
31.002	0.000	face-inverted
31.801	0.000	checker-right
32.222	0.000	press-right
32.617	0.000	house-inverted
33.003	0.000	checker-left
33.370	0.000	press-left
34.002	0.000	face-inverted
34.817	0.000	house-upright
35.700	0.000	checker-right
36.087	0.000	checker-right
36.506	0.000	press-right
37.002	0.000	face-inverted
37.935	0.000	checker-left
38.253	0.000	press-left
38.817	0.000	face-upright
39.053	0.000	face-upright
40.002	0.000	face-inverted
40.900	0.000	checker-left
41.345	0.000	press-left
41.833	0.000	house-upright
42.070	0.000	face-upright
43.002	0.000	face-inverted
43.935	0.000	house-inverted
44.817	0.000	checker-left
45.219	0.000	house-inverted
46.002	0.000	face-inverted
46.801	0.000	checker-right
47.229	0.000	press-right
47.700	0.000	house-upright
48.153	0.000	checker-right
48.551	0.000	press-right
49.002	0.000	face-inverted
49.868	0.000	face-upright
50.700	0.000	house-inverted
51.087	0.000	checker-left
51.577	0.000	press-left
52.002	0.000	face-inverted
52.984	0.000	face-inverted
53.884	0.000	house-inverted
54.020	0.000	face-inverted
55.002	0.000	face-inverted
55.901	0.000	house-inverted
56.800	0.000	face-upright
57.120	0.000	house-inverted
58.002	0.000	face-inverted
58.784	0.000	house-upright
59.684	0.000	face-upright
60.170	0.000	face-upright
61.002	0.000	face-inverted
62.001	0.000	face-upright
62.900	0.000	checker-left
63.020	0.000	house-inverted
64.002	0.000	face-inverted
64.817	0.000	house-upright
65.783	0.000	checker-right
66.036	0.000	checker-left
66.454	0.000	press-left
67.002	0.000	face-inverted
67.852	0.000	house-inverted
68.833	0.000	house-upright
69.153	0.000	house-inverted
70.002	0.000	face-inverted
70.818	0.000	face-upright
71.817	0.000	house-upright
72.220	0.000	house-inverted
73.002	0.000	face-inverted
73.901	0.000	face-upright
74.700	0.000	checker-right
75.054	0.000	checker-left
75.440	0.000	press-left
76.002	0.000	face-inverted
76.984	0.000	checker-right
77.399	0.000	press-right
77.884	0.000	house-upright
78.220	0.000	house-upright
79.002	0.000	face-inverted
79.901	0.000	face-upright
80.767	0.000	checker-right
81.104	0.000	house-inverted
82.002	0.000	face-inverted
82.935	0.000	face-upright
83.750	0.000	checker-right
84.036	0.000	house-upright
85.002	0.000	face-inverted
85.868	0.000	checker-left
86.303	0.000	press-left
86.816	0.000	house-inverted
87.170	0.000	house-upright
88.002	0.000	face-inverted
88.785	0.000	checker-left
89.155	0.000	press-left
89.684	0.000	face-upright
90.069	0.000	checker-right
90.442	0.000	press-right
91.002	0.000	face-inverted
92.001	0.000	house-inverted
92.966	0.000	checker-right
93.104	0.000	checker-left
93.379	0.000	press-left
94.002	0.000	face-inverted
94.935	0.000	checker-left
95.357	0.000	press-left
95.950	0.000	house-upright
96.003	0.000	house-inverted
97.002	0.000	face-inverted
97.817	0.000	checker-left
98.286	0.000	press-left
98.617	0.000	house-inverted
99.037	0.000	house-inverted
100.002	0.000	face-inverted
100.951	0.000	face-upright
101.950	0.000	checker-left
102.020	0.000	house-inverted
103.002	0.000	face-inverted
103.951	0.000	checker-left
104.294	0.000	press-left
104.933	0.000	house-upright
105.153	0.000	checker-right
105.498	0.000	press-right
106.002	0.000	face-inverted
106.801	0.000	face-upright
107.567	0.000	checker-left
108.086	0.000	checker-right
108.509	0.000	press-right
109.002	0.000	face-inverted
109.817	0.000	house-upright
110.767	0.000	checker-right
111.187	0.000	checker-left
111.575	0.000	press-left
112.002	0.000	face-inverted
112.935	0.000	face-upright
113.800	0.000	house-upright
114.236	0.000	house-inverted
115.002	0.000	face-inverted
115.387	0.000	press-right
115.784	0.000	checker-left
116.174	0.000	press-left
116.550	0.000	checker-right
116.931	0.000	press-right
117.220	0.000	face-upright
118.002	0.000	face-inverted
118.768	0.000	house-upright
119.650	0.000	checker-right
120.070	0.000	house-inverted
121.002	0.000	face-inverted
121.868	0.000	house-inverted
122.634	0.000	house-upright
123.104	0.000	checker-right
123.448	0.000	press-right
124.002	0.000	face-inverted
124.868	0.000	house-inverted
125.650	0.000	face-upright
126.169	0.000	checker-left
126.588	0.000	press-left
127.002	0.000	face-inverted
127.983	0.000	house-upright
128.833	0.000	checker-left
129.020	0.000	house-inverted
130.002	0.000	face-inverted
130.884	0.000	checker-left
131.316	0.000	press-left
131.850	0.000	house-upright
132.136	0.000	checker-right
132.543	0.000	press-right
133.002	0.000	face-inverted
133.968	0.000	house-upright
134.833	0.000	checker-right
135.054	0.000	face-upright
136.002	0.000	face-inverted
136.901	0.000	house-inverted
137.783	0.000	house-upright
138.103	0.000	house-upright
139.002	0.000	face-inverted
139.968	0.000	checker-right
140.319	0.000	press-right
140.783	0.000	house-inverted
141.169	0.000	checker-left
141.484	0.000	press-left
142.002	0.000	face-inverted
142.817	0.000	checker-right
143.200	0.000	press-right
143.816	0.000	house-inverted
144.020	0.000	checker-right
144.386	0.000	press-right
145.002	0.000	face-inverted
145.868	0.000	house-inverted
146.718	0.000	house-upright
147.220	0.000	checker-right
147.576	0.000	press-right
148.002	0.000	face-inverted
148.852	0.000	house-inverted
149.634	0.000	checker-left
149.988	0.000	press-left
150.036	0.000	face-upright
151.002	0.000	face-inverted
