onset	duration	trial_type
0.053	0.000	face-inverted
1.002	0.000	house-inverted
2.001	0.000	checker-right
2.390	0.000	press-right
2.866	0.000	checker-left
3.153	0.000	face-upright
4.002	0.000	house-inverted
5.018	0.000	house-upright
5.866	0.000	face-upright
6.087	0.000	checker-left
6.476	0.000	press-left
7.002	0.000	house-inverted
7.885	0.000	house-upright
8.700	0.000	checker-right
9.104	0.000	face-inverted
10.002	0.000	house-inverted
10.935	0.000	house-upright
11.834	0.000	checker-right
12.020	0.000	checker-left
12.307	0.000	press-left
13.002	0.000	house-inverted
13.835	0.000	face-inverted
14.733	0.000	face-upright
15.020	0.000	face-upright
16.002	0.000	house-inverted
16.784	0.000	house-upright
17.634	0.000	checker-left
17.916	0.000	press-left
18.036	0.000	checker-left
18.318	0.000	press-left
19.002	0.000	house-inverted
19.768	0.000	checker-right
20.115	0.000	press-right
20.700	0.000	face-inverted
21.203	0.000	face-inverted
22.002	0.000	house-inverted
22.885	0.000	house-inverted
23.817	0.000	checker-right
24.119	0.000	house-inverted
25.002	0.000	house-inverted
25.935	0.000	checker-right
26.254	0.000	press-right
26.733	0.000	face-inverted
27.186	0.000	checker-right
27.606	0.000	press-right
28.002	0.000	house-inverted
28.784	0.000	checker-left
29.151	0.000	press-left
29.783	0.000	face-inverted
30.186	0.000	face-upright
31.002	0.000	house-inverted
31.884	0.000	house-inverted
32.767	0.000	checker-right
33.120	0.000	house-inverted
34.002	0.000	house-inverted
34.885	0.000	checker-right
35.304	0.000	press-right
35.800	0.000	face-inverted
36.203	0.000	house-upright
37.002	0.000	house-inverted
37.918	0.000	face-upright
38.867	0.000	face-inverted
39.069	0.000	face-inverted
40.002	0.000	house-inverted
40.885	0.000	checker-left
41.251	0.000	press-left
41.884	0.000	face-upright
42.021	0.000	face-upright
43.002	0.000	house-inverted
43.785	0.000	face-inverted
44.584	0.000	checker-right
45.170	0.000	face-upright
46.002	0.000	house-inverted
46.935	0.000	house-upright
47.900	0.000	checker-left
48.120	0.000	checker-left
48.433	0.000	press-left
49.002	0.000	house-inverted
49.818	0.000	house-upright
50.750	0.000	face-upright
51.103	0.000	face-inverted
52.002	0.000	house-inverted
52.900	0.000	face-upright
53.833	0.000	checker-right
54.020	0.000	checker-left
54.482	0.000	press-left
55.002	0.000	house-inverted
55.884	0.000	face-inverted
56.666	0.000	house-upright
57.137	0.000	house-upright
58.002	0.000	house-inverted
58.868	0.000	checker-right
59.259	0.000	press-right
59.867	0.000	checker-left
60.203	0.000	checker-left
60.639	0.000	press-left
61.002	0.000	house-inverted
61.984	0.000	face-inverted
62.800	0.000	house-upright
63.152	0.000	face-inverted
64.002	0.000	house-inverted
64.983	0.000	house-upright
65.750	0.000	checker-right
66.187	0.000	checker-right
66.588	0.000	press-right
67.002	0.000	house-inverted
67.851	0.000	face-inverted
68.667	0.000	face-upright
69.187	0.000	checker-left
69.593	0.000	press-left
70.002	0.000	house-inverted
70.784	0.000	face-inverted
71.684	0.000	face-upright
72.186	0.000	checker-right
72.606	0.000	press-right
73.002	0.000	house-inverted
73.950	0.000	face-upright
74.783	0.000	checker-left
75.203	0.000	house-upright
76.002	0.000	house-inverted
76.817	0.000	checker-left
77.230	0.000	press-left
77.684	0.000	house-inverted
78.136	0.000	checker-left
78.549	0.000	press-left
79.002	0.000	house-inverted
79.900	0.000	face-inverted
80.833	0.000	face-upright
81.054	0.000	checker-left
81.488	0.000	press-left
82.002	0.000	house-inverted
82.968	0.000	house-upright
83.750	0.000	face-upright
84.020	0.000	face-upright
85.002	0.000	house-inverted
85.984	0.000	checker-right
86.357	0.000	press-right
86.917	0.000	face-inverted
87.003	0.000	face-inverted
88.002	0.000	house-inverted
88.967	0.000	checker-right
89.461	0.000	press-right
89.750	0.000	house-upright
90.137	0.000	face-upright
91.002	0.000	house-inverted
92.001	0.000	face-inverted
92.816	0.000	checker-left
93.202	0.000	checker-left
93.671	0.000	press-left
94.002	0.000	house-inverted
94.900	0.000	face-upright
95.866	0.000	checker-right
96.219	0.000	house-upright
97.002	0.000	house-inverted
97.967	0.000	face-inverted
98.916	0.000	face-upright
99.119	0.000	house-upright
100.002	0.000	house-inverted
100.984	0.000	face-inverted
101.934	0.000	checker-left
102.069	0.000	checker-left
102.459	0.000	press-left
103.002	0.000	house-inverted
103.834	0.000	house-upright
104.783	0.000	face-upright
105.137	0.000	checker-left
105.651	0.000	press-left
106.002	0.000	house-inverted
106.834	0.000	checker-right
107.257	0.000	press-right
107.750	0.000	face-inverted
108.219	0.000	house-upright
109.002	0.000	house-inverted
109.768	0.000	face-inverted
110.152	0.000	press-right
110.550	0.000	checker-left
110.939	0.000	press-left
111.236	0.000	checker-right
111.617	0.000	press-right
112.002	0.000	house-inverted
112.785	0.000	house-upright
113.551	0.000	face-upright
114.103	0.000	checker-left
114.488	0.000	press-left
115.002	0.000	house-inverted
115.934	0.000	face-inverted
116.800	0.000	house-inverted
117.136	0.000	face-inverted
118.002	0.000	house-inverted
118.768	0.000	house-upright
119.667	0.000	face-upright
120.136	0.000	face-inverted
121.002	0.000	house-inverted
121.784	0.000	face-upright
122.767	0.000	house-upright
123.103	0.000	checker-right
123.511	0.000	press-right
124.002	0.000	house-inverted
124.917	0.000	face-upright
125.883	0.000	face-upright
126.069	0.000	face-upright
127.002	0.000	house-inverted
127.984	0.000	face-inverted
128.866	0.000	checker-left
129.053	0.000	checker-left
129.360	0.000	press-left
130.002	0.000	house-inverted
130.817	0.000	checker-right
131.197	0.000	press-right
131.633	0.000	checker-left
132.103	0.000	face-inverted
133.002	0.000	house-inverted
133.884	0.000	house-upright
134.783	0.000	face-inverted
135.187	0.000	checker-right
135.538	0.000	press-right
136.002	0.000	house-inverted
136.935	0.000	face-upright
137.767	0.000	checker-left
138.003	0.000	checker-right
138.386	0.000	press-right
139.002	0.000	house-inverted
139.885	0.000	checker-left
140.202	0.000	press-left
140.866	0.000	house-upright
141.136	0.000	face-inverted
142.002	0.000	house-inverted
142.852	0.000	house-upright
143.767	0.000	checker-right
144.152	0.000	face-inverted
145.002	0.000	house-inverted
145.784	0.000	checker-left
146.139	0.000	press-left
146.583	0.000	face-upright
147.411	0.000	press-right
148.002	0.000	house-inverted
148.951	0.000	house-upright
149.884	0.000	face-upright
150.037	0.000	checker-right
150.362	0.000	press-right
151.002	0.000	house-inverted
151.769	0.000	house-upright
152.700	0.000	face-inverted
153.136	0.000	checker-right
153.535	0.000	press-right
154.002	0.000	house-inverted
154.917	0.000	house-upright
155.783	0.000	face-upright
156.220	0.000	house-upright
157.002	0.000	house-inverted
157.768	0.000	checker-right
158.139	0.000	press-right
158.567	0.000	checker-left
158.875	0.000	press-left
159.137	0.000	face-upright
160.002	0.000	house-inverted
160.968	0.000	face-inverted
161.950	0.000	checker-right
162.170	0.000	house-upright
163.002	0.000	house-inverted
163.817	0.000	face-inverted
164.733	0.000	checker-right
165.170	0.000	checker-right
165.504	0.000	press-right
166.002	0.000	house-inverted
166.768	0.000	house-upright
167.634	0.000	face-inverted
168.120	0.000	checker-left
168.526	0.000	press-left
169.002	0.000	house-inverted
169.951	0.000	house-upright
170.950	0.000	checker-right
171.137	0.000	face-inverted
172.002	0.000	house-inverted
172.935	0.000	checker-right
173.264	0.000	press-right
173.784	0.000	checker-left
174.119	0.000	checker-left
174.442	0.000	press-left
175.002	0.000	house-inverted
175.968	0.000	house-upright
176.934	0.000	checker-right
177.202	0.000	checker-right
177.591	0.000	press-right
178.002	0.000	house-inverted
178.884	0.000	face-upright
179.733	0.000	face-inverted
180.203	0.000	house-upright
181.002	0.000	house-inverted
181.984	0.000	checker-right
182.325	0.000	press-right
182.817	0.000	face-inverted
183.020	0.000	checker-right
183.404	0.000	press-right
184.002	0.000	house-inverted
184.801	0.000	house-inverted
185.750	0.000	face-upright
186.203	0.000	house-inverted
187.002	0.000	house-inverted
187.951	0.000	face-upright
188.850	0.000	checker-right
189.020	0.000	face-inverted
190.002	0.000	house-inverted
191.018	0.000	face-upright
191.983	0.000	house-inverted
192.036	0.000	face-upright
193.002	0.000	house-inverted
193.851	0.000	face-inverted
194.767	0.000	checker-right
195.187	0.000	checker-left
195.558	0.000	press-left
196.002	0.000	house-inverted
196.918	0.000	house-upright
197.816	0.000	checker-left
198.203	0.000	face-upright
199.002	0.000	house-inverted
200.018	0.000	face-inverted
201.000	0.000	checker-right
201.235	0.000	face-inverted
202.002	0.000	house-inverted
202.950	0.000	checker-right
203.336	0.000	press-right
203.783	0.000	checker-left
204.186	0.000	face-upright
205.002	0.000	house-inverted
205.834	0.000	face-inverted
206.600	0.000	house-upright
207.236	0.000	checker-right
207.601	0.000	press-right
208.002	0.000	house-inverted
208.867	0.000	checker-left
209.276	0.000	press-left
209.767	0.000	house-upright
210.003	0.000	face-upright
211.002	0.000	house-inverted
211.984	0.000	checker-right
212.343	0.000	press-right
212.783	0.000	house-upright
213.137	0.000	face-upright
214.002	0.000	house-inverted
214.885	0.000	face-upright
215.867	0.000	face-inverted
216.069	0.000	checker-right
216.456	0.000	press-right
217.002	0.000	house-inverted
217.968	0.000	face-inverted
218.783	0.000	checker-left
219.120	0.000	face-upright
220.002	0.000	house-inverted
220.852	0.000	face-inverted
221.750	0.000	checker-right
222.236	0.000	face-upright
223.002	0.000	house-inverted
223.984	0.000	house-upright
224.867	0.000	checker-right
225.219	0.000	checker-left
225.611	0.000	press-left
226.002	0.000	house-inverted
226.917	0.000	face-upright
227.700	0.000	house-upright
228.219	0.000	checker-left
228.530	0.000	press-left
229.002	0.000	house-inverted
229.784	0.000	house-upright
230.699	0.000	face-inverted
231.087	0.000	face-inverted
232.002	0.000	house-inverted
232.835	0.000	checker-right
233.154	0.000	press-right
233.700	0.000	house-upright
234.103	0.000	checker-left
234.449	0.000	press-left
235.002	0.000	house-inverted
235.917	0.000	checker-right
236.246	0.000	press-right
236.800	0.000	checker-left
237.103	0.000	face-upright
238.002	0.000	house-inverted
238.884	0.000	face-inverted
239.650	0.000	house-inverted
240.235	0.000	face-inverted
241.002	0.000	house-inverted
241.851	0.000	face-inverted
242.666	0.000	checker-right
243.036	0.000	face-upright
244.002	0.000	house-inverted
244.817	0.000	checker-right
245.167	0.000	press-right
245.649	0.000	face-upright
246.003	0.000	face-upright
247.002	0.000	house-inverted
247.868	0.000	face-inverted
248.700	0.000	checker-left
249.020	0.000	checker-right
249.417	0.000	press-right
250.002	0.000	house-inverted
250.768	0.000	house-upright
251.700	0.000	face-upright
252.236	0.000	checker-right
252.604	0.000	press-right
253.002	0.000	house-inverted
253.835	0.000	face-inverted
254.733	0.000	checker-left
255.203	0.000	checker-right
255.576	0.000	press-right
256.002	0.000	house-inverted
257.001	0.000	house-upright
257.816	0.000	face-upright
258.104	0.000	face-inverted
259.002	0.000	house-inverted
259.835	0.000	face-upright
260.816	0.000	house-upright
261.054	0.000	face-inverted
262.002	0.000	house-inverted
262.835	0.000	house-inverted
263.801	0.000	face-inverted
264.169	0.000	house-inverted
265.002	0.000	house-inverted
265.968	0.000	face-inverted
266.783	0.000	checker-left
267.170	0.000	checker-left
267.501	0.000	press-left
268.002	0.000	house-inverted
268.951	0.000	house-upright
269.950	0.000	face-inverted
270.219	0.000	checker-right
270.597	0.000	press-right
271.002	0.000	house-inverted
271.801	0.000	checker-left
272.172	0.000	press-left
272.750	0.000	face-upright
273.103	0.000	house-upright
274.002	0.000	house-inverted
274.934	0.000	house-upright
275.733	0.000	checker-right
276.086	0.000	checker-left
276.489	0.000	press-left
277.002	0.000	house-inverted
277.900	0.000	face-inverted
278.800	0.000	checker-right
279.351	0.000	press-right
280.002	0.000	house-inverted
280.851	0.000	house-upright
281.650	0.000	face-upright
282.069	0.000	face-inverted
283.002	0.000	house-inverted
283.801	0.000	house-upright
284.767	0.000	checker-left
285.054	0.000	house-upright
286.002	0.000	house-inverted
286.835	0.000	face-inverted
287.767	0.000	checker-right
288.414	0.000	press-left
289.002	0.000	house-inverted
289.900	0.000	checker-right
290.503	0.000	press-right
290.800	0.000	face-inverted
291.103	0.000	house-upright
292.002	0.000	house-inverted
293.001	0.000	checker-left
293.387	0.000	press-left
293.883	0.000	checker-right
294.203	0.000	face-inverted
295.002	0.000	house-inverted
295.901	0.000	face-upright
296.733	0.000	checker-right
297.137	0.000	checker-right
297.538	0.000	press-right
298.002	0.000	house-inverted
298.901	0.000	face-inverted
299.801	0.000	checker-left
300.220	0.000	house-upright
301.002	0.000	house-inverted
301.801	0.000	checker-right
302.222	0.000	press-right
302.650	0.000	house-upright
303.170	0.000	checker-left
303.578	0.000	press-left
304.002	0.000	house-inverted
304.951	0.000	face-inverted
305.884	0.000	checker-right
306.036	0.000	checker-left
306.433	0.000	press-left
307.002	0.000	house-inverted
307.951	0.000	face-upright
308.817	0.000	face-upright
309.203	0.000	face-upright
310.002	0.000	house-inverted
310.900	0.000	checker-right
311.300	0.000	press-right
311.667	0.000	face-inverted
312.069	0.000	face-upright
313.002	0.000	house-inverted
313.851	0.000	checker-left
314.266	0.000	press-left
314.684	0.000	face-inverted
315.137	0.000	house-upright
316.002	0.000	house-inverted
316.885	0.000	house-upright
317.883	0.000	face-inverted
318.153	0.000	checker-left
318.569	0.000	press-right
