onset	duration	trial_type
0.086	0.000	face-inverted
1.002	0.000	house-upright
1.834	0.000	face-inverted
2.783	0.000	house-inverted
3.086	0.000	checker-left
3.356	0.000	press-left
4.002	0.000	house-upright
4.951	0.000	face-upright
5.800	0.000	house-inverted
7.002	0.000	house-upright
7.851	0.000	face-upright
8.634	0.000	checker-left
9.119	0.000	house-inverted
10.002	0.000	house-upright
10.817	0.000	checker-right
11.196	0.000	press-right
11.783	0.000	face-upright
12.069	0.000	house-inverted
13.002	0.000	house-upright
13.901	0.000	checker-right
14.288	0.000	press-right
14.899	0.000	checker-left
15.053	0.000	checker-right
15.420	0.000	press-right
16.002	0.000	house-upright
16.950	0.000	checker-left
17.237	0.000	press-left
17.933	0.000	house-inverted
18.036	0.000	face-upright
19.002	0.000	house-upright
19.768	0.000	face-inverted
20.550	0.000	checker-right
20.857	0.000	press-right
21.220	0.000	house-inverted
22.002	0.000	house-upright
22.852	0.000	checker-left
23.134	0.000	press-left
23.817	0.000	house-inverted
24.170	0.000	checker-left
24.500	0.000	press-left
25.002	0.000	house-upright
25.852	0.000	face-upright
26.684	0.000	face-inverted
27.003	0.000	face-upright
28.002	0.000	house-upright
28.918	0.000	face-upright
29.933	0.000	house-upright
31.002	0.000	house-upright
31.852	0.000	face-inverted
32.650	0.000	checker-right
33.187	0.000	face-inverted
34.002	0.000	house-upright
34.885	0.000	checker-right
35.239	0.000	press-right
35.750	0.000	checker-left
36.153	0.000	face-upright
37.002	0.000	house-upright
37.801	0.000	house-inverted
38.717	0.000	face-upright
39.069	0.000	checker-left
39.514	0.000	press-left
40.002	0.000	house-upright
40.784	0.000	checker-right
41.148	0.000	press-right
41.717	0.000	checker-right
42.152	0.000	checker-right
42.755	0.000	press-right
43.002	0.000	house-upright
43.967	0.000	checker-left
44.471	0.000	press-left
44.800	0.000	face-upright
45.103	0.000	checker-right
45.530	0.000	press-right
46.002	0.000	house-upright
46.817	0.000	checker-right
47.215	0.000	press-right
47.666	0.000	face-inverted
48.069	0.000	house-inverted
49.002	0.000	house-upright
49.968	0.000	checker-left
50.280	0.000	press-left
50.850	0.000	house-inverted
51.186	0.000	house-inverted
52.002	0.000	house-upright
52.934	0.000	face-upright
53.800	0.000	checker-right
54.103	0.000	checker-left
54.778	0.000	press-left
55.002	0.000	house-upright
56.001	0.000	checker-left
56.464	0.000	press-left
56.983	0.000	house-inverted
57.220	0.000	face-inverted
58.002	0.000	house-upright
58.901	0.000	face-upright
59.733	0.000	checker-right
60.186	0.000	checker-right
60.621	0.000	press-right
61.002	0.000	house-upright
61.867	0.000	house-inverted
62.733	0.000	checker-right
63.187	0.000	face-inverted
64.002	0.000	house-upright
64.968	0.000	checker-right
65.424	0.000	press-right
65.817	0.000	face-upright
66.021	0.000	house-inverted
67.002	0.000	house-upright
67.769	0.000	checker-right
68.166	0.000	press-right
68.650	0.000	checker-left
68.993	0.000	press-left
69.003	0.000	face-upright
70.002	0.000	house-upright
70.917	0.000	house-upright
71.767	0.000	checker-left
72.087	0.000	house-upright
73.002	0.000	house-upright
73.852	0.000	checker-left
74.258	0.000	press-left
74.667	0.000	house-inverted
75.103	0.000	checker-right
75.518	0.000	press-right
76.002	0.000	house-upright
76.784	0.000	face-inverted
77.684	0.000	face-upright
78.103	0.000	checker-left
78.436	0.000	press-left
79.002	0.000	house-upright
79.801	0.000	house-inverted
80.616	0.000	checker-left
81.020	0.000	checker-right
81.372	0.000	press-right
82.002	0.000	house-upright
82.968	0.000	face-inverted
83.834	0.000	checker-left
84.036	0.000	house-inverted
85.002	0.000	house-upright
85.784	0.000	face-upright
86.584	0.000	checker-right
87.153	0.000	checker-right
87.595	0.000	press-right
88.002	0.000	house-upright
88.834	0.000	face-inverted
89.617	0.000	checker-left
89.987	0.000	press-left
90.219	0.000	checker-right
90.713	0.000	press-right
91.002	0.000	house-upright
91.817	0.000	face-upright
92.800	0.000	checker-left
93.409	0.000	press-left
94.002	0.000	house-upright
94.801	0.000	checker-right
95.146	0.000	press-right
95.601	0.000	face-upright
96.203	0.000	checker-right
96.500	0.000	press-right
97.002	0.000	house-upright
97.785	0.000	house-inverted
98.750	0.000	face-inverted
99.120	0.000	checker-right
99.455	0.000	press-right
100.002	0.000	house-upright
100.885	0.000	house-inverted
101.867	0.000	face-inverted
102.021	0.000	checker-left
