onset	duration	trial_type
0.203	0.000	house-upright
1.002	0.000	face-upright
1.818	0.000	face-inverted
2.667	0.000	checker-left
3.236	0.000	face-inverted
4.002	0.000	face-upright
4.901	0.000	house-upright
5.700	0.000	checker-left
6.021	0.000	checker-right
6.422	0.000	press-right
7.002	0.000	face-upright
7.968	0.000	house-inverted
8.768	0.000	checker-right
9.153	0.000	face-inverted
10.002	0.000	face-upright
10.802	0.000	checker-left
11.127	0.000	press-left
11.684	0.000	house-upright
12.003	0.000	house-inverted
13.002	0.000	face-upright
13.784	0.000	house-inverted
14.584	0.000	face-inverted
15.020	0.000	checker-left
15.380	0.000	press-left
16.002	0.000	face-upright
16.900	0.000	checker-right
17.267	0.000	press-right
17.866	0.000	house-upright
18.170	0.000	checker-left
18.549	0.000	press-left
19.002	0.000	face-upright
19.968	0.000	face-upright
20.883	0.000	house-inverted
21.036	0.000	face-upright
22.002	0.000	face-upright
22.917	0.000	house-inverted
23.733	0.000	house-upright
24.003	0.000	house-upright
25.002	0.000	face-upright
26.001	0.000	house-inverted
26.900	0.000	house-upright
27.069	0.000	checker-left
27.498	0.000	press-left
28.002	0.000	face-upright
28.817	0.000	checker-right
29.184	0.000	press-right
29.584	0.000	face-upright
30.235	0.000	checker-right
30.602	0.000	press-right
31.002	0.000	face-upright
32.001	0.000	house-inverted
32.767	0.000	checker-right
33.186	0.000	checker-left
33.649	0.000	press-left
34.002	0.000	face-upright
34.950	0.000	house-upright
35.933	0.000	face-inverted
36.003	0.000	face-inverted
37.002	0.000	face-upright
37.851	0.000	checker-left
38.271	0.000	press-left
38.850	0.000	checker-right
39.104	0.000	house-inverted
40.002	0.000	face-upright
41.001	0.000	house-upright
41.834	0.000	checker-right
42.170	0.000	face-inverted
43.002	0.000	face-upright
43.901	0.000	house-upright
44.768	0.000	checker-left
45.069	0.000	house-inverted
46.002	0.000	face-upright
46.885	0.000	house-upright
47.650	0.000	checker-left
48.001	0.000	press-left
48.137	0.000	checker-right
48.506	0.000	press-left
49.002	0.000	face-upright
49.951	0.000	checker-left
50.343	0.000	press-left
50.850	0.000	house-inverted
51.103	0.000	checker-right
51.455	0.000	press-right
52.002	0.000	face-upright
52.935	0.000	house-upright
53.866	0.000	checker-left
54.087	0.000	house-upright
55.002	0.000	face-upright
55.868	0.000	checker-right
56.290	0.000	press-right
56.667	0.000	face-inverted
57.020	0.000	house-inverted
58.002	0.000	face-upright
59.001	0.000	checker-left
59.435	0.000	press-left
59.816	0.000	house-upright
60.137	0.000	face-inverted
61.002	0.000	face-upright
61.817	0.000	house-inverted
62.667	0.000	house-upright
63.120	0.000	house-upright
64.002	0.000	face-upright
64.901	0.000	house-inverted
65.667	0.000	house-upright
66.020	0.000	face-inverted
67.002	0.000	face-upright
68.001	0.000	checker-right
68.360	0.000	press-right
68.934	0.000	house-inverted
69.070	0.000	house-inverted
70.002	0.000	face-upright
70.935	0.000	house-upright
71.917	0.000	checker-left
72.086	0.000	face-inverted
73.002	0.000	face-upright
73.868	0.000	checker-right
74.202	0.000	press-right
74.634	0.000	house-upright
75.236	0.000	house-upright
76.002	0.000	face-upright
77.018	0.000	checker-right
77.407	0.000	press-right
77.900	0.000	face-inverted
78.136	0.000	house-inverted
79.002	0.000	face-upright
79.968	0.000	house-upright
80.949	0.000	face-inverted
81.136	0.000	house-inverted
82.002	0.000	face-upright
82.851	0.000	checker-right
83.195	0.000	press-right
83.783	0.000	checker-left
84.136	0.000	house-upright
85.002	0.000	face-upright
85.834	0.000	checker-right
86.206	0.000	press-right
86.667	0.000	house-inverted
87.020	0.000	house-inverted
88.002	0.000	face-upright
88.935	0.000	checker-left
89.287	0.000	press-left
89.883	0.000	house-upright
90.087	0.000	checker-right
90.543	0.000	press-right
91.002	0.000	face-upright
91.868	0.000	house-upright
92.867	0.000	house-inverted
93.169	0.000	house-upright
94.002	0.000	face-upright
94.984	0.000	checker-right
95.468	0.000	press-right
95.833	0.000	face-inverted
96.119	0.000	house-inverted
97.002	0.000	face-upright
97.951	0.000	face-inverted
98.833	0.000	checker-right
99.396	0.000	press-right
100.002	0.000	face-upright
100.918	0.000	house-inverted
101.884	0.000	checker-right
102.220	0.000	house-upright
103.002	0.000	face-upright
103.801	0.000	checker-right
104.208	0.000	press-right
104.700	0.000	face-upright
105.103	0.000	checker-right
105.510	0.000	press-right
106.002	0.000	face-upright
106.984	0.000	house-inverted
107.850	0.000	face-inverted
108.069	0.000	checker-right
108.479	0.000	press-right
109.002	0.000	face-upright
109.817	0.000	house-inverted
110.601	0.000	checker-left
111.202	0.000	checker-left
111.577	0.000	press-left
112.002	0.000	face-upright
112.867	0.000	house-upright
113.783	0.000	face-inverted
114.220	0.000	checker-left
114.608	0.000	press-left
115.002	0.000	face-upright
115.901	0.000	face-upright
116.883	0.000	house-upright
117.103	0.000	face-upright
118.002	0.000	face-upright
118.983	0.000	house-upright
119.916	0.000	checker-right
120.103	0.000	house-inverted
121.002	0.000	face-upright
121.834	0.000	checker-right
122.261	0.000	press-right
122.667	0.000	checker-left
123.086	0.000	checker-left
123.604	0.000	press-left
124.002	0.000	face-upright
124.967	0.000	face-upright
125.767	0.000	house-inverted
126.037	0.000	face-upright
127.002	0.000	face-upright
127.802	0.000	house-inverted
