onset	duration	trial_type
1.002	0.000	e-255
26.505	0.000	checker-f2
26.555	0.000	checker-f3
26.604	0.000	checker-f4
26.654	0.000	checker-f5
26.704	0.000	checker-f6
27.054	0.000	house-upright-f1
27.121	0.000	house-upright-f2
27.188	0.000	house-upright-f3
27.254	0.000	house-upright-f4
27.320	0.000	house-upright-f5
27.387	0.000	house-upright-f6
27.870	0.000	face-inverted-f1
27.937	0.000	face-inverted-f2
28.003	0.000	face-inverted-f3
28.069	0.000	face-inverted-f4
28.136	0.000	face-inverted-f5
28.203	0.000	face-inverted-f6
28.669	0.000	house-inverted-f1
28.735	0.000	house-inverted-f2
28.802	0.000	house-inverted-f3
28.869	0.000	house-inverted-f4
28.936	0.000	house-inverted-f5
29.002	0.000	house-inverted-f6
29.468	0.000	face-upright-f1
29.552	0.000	face-upright-f2
29.635	0.000	face-upright-f3
29.718	0.000	face-upright-f4
29.801	0.000	face-upright-f5
29.884	0.000	face-upright-f6
30.483	0.000	house-inverted-f1
30.533	0.000	house-inverted-f2
30.583	0.000	house-inverted-f3
30.634	0.000	house-inverted-f4
30.684	0.000	house-inverted-f5
30.733	0.000	house-inverted-f6
31.100	0.000	face-inverted-f1
31.166	0.000	face-inverted-f2
31.232	0.000	face-inverted-f3
31.300	0.000	face-inverted-f4
31.366	0.000	face-inverted-f5
31.433	0.000	face-inverted-f6
31.898	0.000	house-upright-f1
31.982	0.000	house-upright-f2
32.065	0.000	house-upright-f3
32.148	0.000	house-upright-f4
32.231	0.000	house-upright-f5
32.314	0.000	house-upright-f6
32.897	0.000	checker-f1
32.980	0.000	checker-f2
33.064	0.000	checker-f3
33.147	0.000	checker-f4
33.230	0.000	checker-f5
33.313	0.000	checker-f6
33.896	0.000	face-upright-f1
33.963	0.000	face-upright-f2
34.029	0.000	face-upright-f3
34.097	0.000	face-upright-f4
34.163	0.000	face-upright-f5
34.229	0.000	face-upright-f6
34.695	0.000	checker-f1
34.763	0.000	checker-f2
34.829	0.000	checker-f3
34.896	0.000	checker-f4
34.962	0.000	checker-f5
35.028	0.000	checker-f6
35.528	0.000	house-upright-f1
35.595	0.000	house-upright-f2
35.661	0.000	house-upright-f3
35.728	0.000	house-upright-f4
35.795	0.000	house-upright-f5
35.861	0.000	house-upright-f6
36.327	0.000	house-inverted-f1
36.410	0.000	house-inverted-f2
36.494	0.000	house-inverted-f3
36.577	0.000	house-inverted-f4
36.660	0.000	house-inverted-f5
36.743	0.000	house-inverted-f6
37.376	0.000	face-inverted-f1
37.442	0.000	face-inverted-f2
37.509	0.000	face-inverted-f3
37.576	0.000	face-inverted-f4
37.643	0.000	face-inverted-f5
37.709	0.000	face-inverted-f6
38.175	0.000	face-upright-f1
38.242	0.000	face-upright-f2
38.309	0.000	face-upright-f3
38.375	0.000	face-upright-f4
38.441	0.000	face-upright-f5
38.508	0.000	face-upright-f6
38.975	0.000	house-upright-f1
39.041	0.000	house-upright-f2
39.107	0.000	house-upright-f3
39.174	0.000	house-upright-f4
39.240	0.000	house-upright-f5
39.308	0.000	house-upright-f6
39.773	0.000	face-upright-f1
39.840	0.000	face-upright-f2
39.906	0.000	face-upright-f3
39.974	0.000	face-upright-f4
40.040	0.000	face-upright-f5
40.106	0.000	face-upright-f6
40.572	0.000	face-inverted-f1
40.640	0.000	face-inverted-f2
40.706	0.000	face-inverted-f3
40.772	0.000	face-inverted-f4
40.839	0.000	face-inverted-f5
40.905	0.000	face-inverted-f6
41.372	0.000	checker-f1
41.438	0.000	checker-f2
41.505	0.000	checker-f3
41.571	0.000	checker-f4
41.638	0.000	checker-f5
41.705	0.000	checker-f6
42.171	0.000	house-inverted-f1
42.237	0.000	house-inverted-f2
42.304	0.000	house-inverted-f3
42.371	0.000	house-inverted-f4
42.438	0.000	house-inverted-f5
42.504	0.000	house-inverted-f6
42.970	0.000	checker-f1
43.036	0.000	checker-f2
43.104	0.000	checker-f3
43.170	0.000	checker-f4
43.236	0.000	checker-f5
43.303	0.000	checker-f6
43.803	0.000	house-inverted-f1
43.886	0.000	house-inverted-f2
43.969	0.000	house-inverted-f3
44.052	0.000	house-inverted-f4
44.136	0.000	house-inverted-f5
44.219	0.000	house-inverted-f6
44.802	0.000	face-upright-f1
44.868	0.000	face-upright-f2
44.935	0.000	face-upright-f3
45.001	0.000	face-upright-f4
45.067	0.000	face-upright-f5
45.135	0.000	face-upright-f6
45.634	0.000	face-inverted-f1
45.717	0.000	face-inverted-f2
45.800	0.000	face-inverted-f3
45.884	0.000	face-inverted-f4
45.967	0.000	face-inverted-f5
46.050	0.000	face-inverted-f6
46.633	0.000	house-upright-f1
46.716	0.000	house-upright-f2
46.799	0.000	house-upright-f3
46.883	0.000	house-upright-f4
46.966	0.000	house-upright-f5
47.049	0.000	house-upright-f6
47.632	0.000	house-upright-f1
47.715	0.000	house-upright-f2
47.798	0.000	house-upright-f3
47.881	0.000	house-upright-f4
47.965	0.000	house-upright-f5
48.048	0.000	house-upright-f6
48.631	0.000	checker-f1
48.697	0.000	checker-f2
48.764	0.000	checker-f3
48.830	0.000	checker-f4
48.896	0.000	checker-f5
48.964	0.000	checker-f6
49.446	0.000	face-upright-f1
49.529	0.000	face-upright-f2
49.612	0.000	face-upright-f3
49.696	0.000	face-upright-f4
49.779	0.000	face-upright-f5
49.862	0.000	face-upright-f6
50.445	0.000	house-inverted-f1
50.495	0.000	house-inverted-f2
50.545	0.000	house-inverted-f3
50.595	0.000	house-inverted-f4
50.645	0.000	house-inverted-f5
50.695	0.000	house-inverted-f6
51.045	0.000	face-inverted-f1
51.128	0.000	face-inverted-f2
51.211	0.000	face-inverted-f3
51.294	0.000	face-inverted-f4
51.378	0.000	face-inverted-f5
51.461	0.000	face-inverted-f6
52.043	0.000	face-inverted-f1
52.127	0.000	face-inverted-f2
52.210	0.000	face-inverted-f3
52.293	0.000	face-inverted-f4
52.376	0.000	face-inverted-f5
52.460	0.000	face-inverted-f6
53.042	0.000	face-upright-f1
53.126	0.000	face-upright-f2
53.209	0.000	face-upright-f3
53.292	0.000	face-upright-f4
53.375	0.000	face-upright-f5
53.459	0.000	face-upright-f6
54.041	0.000	house-inverted-f1
54.107	0.000	house-inverted-f2
54.175	0.000	house-inverted-f3
54.241	0.000	house-inverted-f4
54.308	0.000	house-inverted-f5
54.374	0.000	house-inverted-f6
54.841	0.000	house-upright-f1
54.924	0.000	house-upright-f2
55.007	0.000	house-upright-f3
55.090	0.000	house-upright-f4
55.173	0.000	house-upright-f5
55.257	0.000	house-upright-f6
55.839	0.000	checker-f1
55.906	0.000	checker-f2
55.973	0.000	checker-f3
56.039	0.000	checker-f4
56.105	0.000	checker-f5
56.172	0.000	checker-f6
56.639	0.000	face-upright-f1
56.722	0.000	face-upright-f2
56.805	0.000	face-upright-f3
56.888	0.000	face-upright-f4
56.972	0.000	face-upright-f5
57.055	0.000	face-upright-f6
57.638	0.000	house-inverted-f1
57.704	0.000	house-inverted-f2
57.771	0.000	house-inverted-f3
57.837	0.000	house-inverted-f4
57.903	0.000	house-inverted-f5
57.971	0.000	house-inverted-f6
58.470	0.000	face-inverted-f1
58.536	0.000	face-inverted-f2
58.603	0.000	face-inverted-f3
58.670	0.000	face-inverted-f4
58.736	0.000	face-inverted-f5
58.803	0.000	face-inverted-f6
59.269	0.000	checker-f1
59.335	0.000	checker-f2
59.402	0.000	checker-f3
59.469	0.000	checker-f4
59.535	0.000	checker-f5
59.602	0.000	checker-f6
60.102	0.000	house-upright-f1
60.168	0.000	house-upright-f2
60.234	0.000	house-upright-f3
60.301	0.000	house-upright-f4
60.367	0.000	house-upright-f5
60.435	0.000	house-upright-f6
60.900	0.000	house-inverted-f1
60.967	0.000	house-inverted-f2
61.033	0.000	house-inverted-f3
61.101	0.000	house-inverted-f4
61.167	0.000	house-inverted-f5
61.233	0.000	house-inverted-f6
61.716	0.000	face-inverted-f1
61.800	0.000	face-inverted-f2
61.883	0.000	face-inverted-f3
61.966	0.000	face-inverted-f4
62.049	0.000	face-inverted-f5
62.133	0.000	face-inverted-f6
62.715	0.000	checker-f1
62.781	0.000	checker-f2
62.849	0.000	checker-f3
62.915	0.000	checker-f4
62.981	0.000	checker-f5
63.048	0.000	checker-f6
63.515	0.000	face-upright-f1
63.581	0.000	face-upright-f2
63.647	0.000	face-upright-f3
63.714	0.000	face-upright-f4
63.780	0.000	face-upright-f5
63.848	0.000	face-upright-f6
64.363	0.000	house-upright-f1
64.430	0.000	house-upright-f2
64.496	0.000	house-upright-f3
64.563	0.000	house-upright-f4
64.630	0.000	house-upright-f5
64.696	0.000	house-upright-f6
65.162	0.000	checker-f1
65.229	0.000	checker-f2
65.296	0.000	checker-f3
65.362	0.000	checker-f4
65.429	0.000	checker-f5
65.495	0.000	checker-f6
66.012	0.000	face-inverted-f1
66.078	0.000	face-inverted-f2
66.145	0.000	face-inverted-f3
66.211	0.000	face-inverted-f4
66.278	0.000	face-inverted-f5
66.345	0.000	face-inverted-f6
66.811	0.000	face-upright-f1
66.877	0.000	face-upright-f2
66.943	0.000	face-upright-f3
67.011	0.000	face-upright-f4
67.077	0.000	face-upright-f5
67.144	0.000	face-upright-f6
67.609	0.000	house-upright-f1
67.677	0.000	house-upright-f2
67.743	0.000	house-upright-f3
67.810	0.000	house-upright-f4
67.876	0.000	house-upright-f5
67.942	0.000	house-upright-f6
68.409	0.000	house-inverted-f1
68.476	0.000	house-inverted-f2
68.542	0.000	house-inverted-f3
68.608	0.000	house-inverted-f4
68.675	0.000	house-inverted-f5
68.742	0.000	house-inverted-f6
69.208	0.000	house-upright-f1
69.274	0.000	house-upright-f2
69.341	0.000	house-upright-f3
69.408	0.000	house-upright-f4
69.475	0.000	house-upright-f5
69.541	0.000	house-upright-f6
70.007	0.000	house-inverted-f1
70.073	0.000	house-inverted-f2
70.141	0.000	house-inverted-f3
70.207	0.000	house-inverted-f4
70.273	0.000	house-inverted-f5
70.340	0.000	house-inverted-f6
70.807	0.000	face-upright-f1
70.890	0.000	face-upright-f2
70.973	0.000	face-upright-f3
71.056	0.000	face-upright-f4
71.140	0.000	face-upright-f5
71.223	0.000	face-upright-f6
71.805	0.000	face-inverted-f1
71.872	0.000	face-inverted-f2
71.938	0.000	face-inverted-f3
72.005	0.000	face-inverted-f4
72.071	0.000	face-inverted-f5
72.138	0.000	face-inverted-f6
72.604	0.000	checker-f1
72.688	0.000	checker-f2
72.771	0.000	checker-f3
72.854	0.000	checker-f4
72.938	0.000	checker-f5
73.021	0.000	checker-f6
73.604	0.000	face-upright-f1
73.670	0.000	face-upright-f2
73.736	0.000	face-upright-f3
73.803	0.000	face-upright-f4
73.869	0.000	face-upright-f5
73.937	0.000	face-upright-f6
74.436	0.000	face-inverted-f1
74.502	0.000	face-inverted-f2
74.568	0.000	face-inverted-f3
74.636	0.000	face-inverted-f4
74.702	0.000	face-inverted-f5
74.769	0.000	face-inverted-f6
75.234	0.000	checker-f1
75.318	0.000	checker-f2
75.401	0.000	checker-f3
75.484	0.000	checker-f4
75.567	0.000	checker-f5
75.651	0.000	checker-f6
76.233	0.000	house-inverted-f1
76.317	0.000	house-inverted-f2
76.400	0.000	house-inverted-f3
76.483	0.000	house-inverted-f4
76.566	0.000	house-inverted-f5
76.649	0.000	house-inverted-f6
77.232	0.000	house-upright-f1
77.315	0.000	house-upright-f2
77.399	0.000	house-upright-f3
77.482	0.000	house-upright-f4
77.565	0.000	house-upright-f5
77.648	0.000	house-upright-f6
78.231	0.000	house-inverted-f1
78.298	0.000	house-inverted-f2
78.364	0.000	house-inverted-f3
78.432	0.000	house-inverted-f4
78.498	0.000	house-inverted-f5
78.564	0.000	house-inverted-f6
79.063	0.000	face-upright-f1
79.131	0.000	face-upright-f2
79.197	0.000	face-upright-f3
79.264	0.000	face-upright-f4
79.330	0.000	face-upright-f5
79.396	0.000	face-upright-f6
79.863	0.000	face-inverted-f1
79.946	0.000	face-inverted-f2
80.029	0.000	face-inverted-f3
80.112	0.000	face-inverted-f4
80.196	0.000	face-inverted-f5
80.279	0.000	face-inverted-f6
80.862	0.000	checker-f1
80.945	0.000	checker-f2
81.028	0.000	checker-f3
81.111	0.000	checker-f4
81.195	0.000	checker-f5
81.278	0.000	checker-f6
81.861	0.000	house-upright-f1
81.911	0.000	house-upright-f2
81.961	0.000	house-upright-f3
82.011	0.000	house-upright-f4
82.061	0.000	house-upright-f5
82.110	0.000	house-upright-f6
82.460	0.000	house-inverted-f1
82.543	0.000	house-inverted-f2
82.627	0.000	house-inverted-f3
82.710	0.000	house-inverted-f4
82.793	0.000	house-inverted-f5
82.876	0.000	house-inverted-f6
83.459	0.000	face-upright-f1
83.525	0.000	face-upright-f2
83.593	0.000	face-upright-f3
83.659	0.000	face-upright-f4
83.726	0.000	face-upright-f5
83.792	0.000	face-upright-f6
84.258	0.000	face-inverted-f1
84.325	0.000	face-inverted-f2
84.392	0.000	face-inverted-f3
84.458	0.000	face-inverted-f4
84.524	0.000	face-inverted-f5
84.591	0.000	face-inverted-f6
85.058	0.000	house-upright-f1
85.141	0.000	house-upright-f2
85.224	0.000	house-upright-f3
85.307	0.000	house-upright-f4
85.391	0.000	house-upright-f5
85.474	0.000	house-upright-f6
86.057	0.000	checker-f1
86.123	0.000	checker-f2
86.189	0.000	checker-f3
86.256	0.000	checker-f4
86.322	0.000	checker-f5
86.390	0.000	checker-f6
86.855	0.000	checker-f1
86.938	0.000	checker-f2
87.021	0.000	checker-f3
87.105	0.000	checker-f4
87.188	0.000	checker-f5
87.271	0.000	checker-f6
87.854	0.000	house-upright-f1
87.938	0.000	house-upright-f2
88.021	0.000	house-upright-f3
88.104	0.000	house-upright-f4
88.188	0.000	house-upright-f5
88.271	0.000	house-upright-f6
88.854	0.000	house-inverted-f1
88.920	0.000	house-inverted-f2
88.986	0.000	house-inverted-f3
89.053	0.000	house-inverted-f4
89.119	0.000	house-inverted-f5
89.187	0.000	house-inverted-f6
89.652	0.000	face-inverted-f1
89.719	0.000	face-inverted-f2
89.785	0.000	face-inverted-f3
89.853	0.000	face-inverted-f4
89.919	0.000	face-inverted-f5
89.985	0.000	face-inverted-f6
90.451	0.000	face-upright-f1
90.535	0.000	face-upright-f2
90.618	0.000	face-upright-f3
90.701	0.000	face-upright-f4
90.784	0.000	face-upright-f5
90.868	0.000	face-upright-f6
91.450	0.000	face-inverted-f1
91.517	0.000	face-inverted-f2
91.584	0.000	face-inverted-f3
91.650	0.000	face-inverted-f4
91.717	0.000	face-inverted-f5
91.783	0.000	face-inverted-f6
92.249	0.000	checker-f1
92.316	0.000	checker-f2
92.383	0.000	checker-f3
