name	x	y	z	type	material
A1	-1.006	-37.840	100.639	active/cap	Ag/AgCl
A2	-1.111	-60.642	94.018	active/cap	Ag/AgCl
A3	-32.965	-62.740	86.127	active/cap	Ag/AgCl
A4	-22.273	-84.017	73.721	active/cap	Ag/AgCl
A5	-30.998	-98.532	51.986	active/cap	Ag/AgCl
A6	-30.519	-109.838	30.218	active/cap	Ag/AgCl
A7	-30.398	-114.762	6.084	active/cap	Ag/AgCl
A8	-27.706	-114.256	-17.825	active/cap	Ag/AgCl
A9	-27.027	-109.345	-41.059	active/cap	Ag/AgCl
A10	-23.994	-104.691	-62.931	active/cap	Ag/AgCl
A11	0.294	-109.412	-60.907	active/cap	Ag/AgCl
A12	-0.405	-113.539	-40.386	active/cap	Ag/AgCl
A13	-0.295	-118.695	-17.482	active/cap	Ag/AgCl
A14	-0.540	-120.029	3.576	active/cap	Ag/AgCl
A15	-0.669	-116.589	25.388	active/cap	Ag/AgCl
A16	-0.853	-108.139	46.025	active/cap	Ag/AgCl
A17	-0.643	-95.169	65.691	active/cap	Ag/AgCl
A18	-1.014	-79.785	81.874	active/cap	Ag/AgCl
A19	31.489	-61.292	88.379	active/cap	Ag/AgCl
A20	20.786	-85.035	73.923	active/cap	Ag/AgCl
A21	29.109	-99.423	53.042	active/cap	Ag/AgCl
A22	28.986	-110.731	31.058	active/cap	Ag/AgCl
A23	28.576	-115.474	7.847	active/cap	Ag/AgCl
A24	28.026	-114.417	-18.752	active/cap	Ag/AgCl
A25	25.236	-110.395	-41.643	active/cap	Ag/AgCl
A26	25.338	-105.708	-63.140	active/cap	Ag/AgCl
A27	48.115	-91.140	-64.506	active/cap	Ag/AgCl
A28	49.928	-97.655	-42.889	active/cap	Ag/AgCl
A29	52.898	-100.937	-17.721	active/cap	Ag/AgCl
A30	52.773	-101.340	7.124	active/cap	Ag/AgCl
A31	53.189	-96.358	30.181	active/cap	Ag/AgCl
A32	54.486	-85.133	52.270	active/cap	Ag/AgCl
B1	66.849	-81.829	25.162	active/cap	Ag/AgCl
B2	69.651	-83.544	-0.147	active/cap	Ag/AgCl
B3	71.369	-80.520	-24.920	active/cap	Ag/AgCl
B4	68.189	-75.068	-46.251	active/cap	Ag/AgCl
B5	64.559	-69.617	-68.695	active/cap	Ag/AgCl
