onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
25.3443636364	n/a	6336.0909	show_face	unfamiliar_face	first_show	13	u082.bmp
26.3389090909	n/a	6584.7273	show_circle	n/a	n/a	0	circle.bmp
28.0389090909	n/a	7009.7273	show_cross	n/a	n/a	n/a	cross.bmp
28.6189090909	n/a	7154.7273	show_face	famous_face	first_show	5	f088.bmp
29.3434545455	n/a	7335.8636	right_press	n/a	n/a	4096	n/a
29.4843636364	n/a	7371.0909	show_circle	n/a	n/a	0	circle.bmp
31.1843636364	n/a	7796.0909	show_cross	n/a	n/a	n/a	cross.bmp
31.6752727273	n/a	7918.8182	show_face	famous_face	first_show	5	f022.bmp
32.5189090909	n/a	8129.7273	right_press	n/a	n/a	4096	n/a
32.6152727273	n/a	8153.8182	show_circle	n/a	n/a	0	circle.bmp
34.3152727273	n/a	8578.8182	show_cross	n/a	n/a	n/a	cross.bmp
34.8998181818	n/a	8724.9545	show_face	unfamiliar_face	first_show	13	u011.bmp
35.8570909091	n/a	8964.2727	show_circle	n/a	n/a	0	circle.bmp
37.5570909091	n/a	9389.2727	show_cross	n/a	n/a	n/a	cross.bmp
38.0734545455	n/a	9518.3636	show_face	unfamiliar_face	first_show	13	u074.bmp
38.8970909091	n/a	9724.2727	show_circle	n/a	n/a	0	circle.bmp
40.5970909091	n/a	10149.2727	show_cross	n/a	n/a	n/a	cross.bmp
41.1143636364	n/a	10278.5909	show_face	unfamiliar_face	immediate_repeat	14	u074.bmp
41.9407272727	n/a	10485.1818	show_circle	n/a	n/a	0	circle.bmp
43.6407272727	n/a	10910.1818	show_cross	n/a	n/a	n/a	cross.bmp
44.1207272727	n/a	11030.1818	show_face	unfamiliar_face	first_show	13	u046.bmp
44.9389090909	n/a	11234.7273	show_circle	n/a	n/a	0	circle.bmp
46.6389090909	n/a	11659.7273	show_cross	n/a	n/a	n/a	cross.bmp
