onset	duration	sample	event_type	face_type	repetition_type	trial	trial_lag	trigger	stim_file
0.004	n/a	1.0	setup	n/a	n/a	n/a	n/a	n/a	n/a
0.004	n/a	1.0	right_sym	n/a	n/a	n/a	n/a	n/a	n/a
24.791636363600002	n/a	6197.9091	show_face	unfamiliar_face	first_show	1	n/a	13	u025.bmp
25.343454545500002	n/a	6335.8636	left_press	n/a	n/a	1	n/a	256	n/a
25.7798181818	n/a	6444.9545	show_circle	n/a	n/a	1	n/a	0	circle.bmp
27.4798181818	n/a	6869.9545	show_cross	n/a	n/a	2	n/a	n/a	cross.bmp
27.9825454545	n/a	6995.6364	show_face	unfamiliar_face	immediate_repeat	2	1	14	u025.bmp
28.5261818182	n/a	7131.5455	left_press	n/a	n/a	2	n/a	256	n/a
28.896181818200002	n/a	7224.0455	show_circle	n/a	n/a	2	n/a	0	circle.bmp
30.5961818182	n/a	7649.0455	show_cross	n/a	n/a	3	n/a	n/a	cross.bmp
31.1734545455	n/a	7793.3636	show_face	scrambled_face	first_show	3	n/a	17	s146.bmp
31.768	n/a	7942.0	left_press	n/a	n/a	3	n/a	256	n/a
32.1525454545	n/a	8038.1364	show_circle	n/a	n/a	3	n/a	0	circle.bmp
33.852545454499996	n/a	8463.1364	show_cross	n/a	n/a	4	n/a	n/a	cross.bmp
34.363454545500005	n/a	8590.8636	show_face	scrambled_face	immediate_repeat	4	1	18	s146.bmp
34.796181818200004	n/a	8699.0455	left_press	n/a	n/a	4	n/a	256	n/a
35.2752727273	n/a	8818.8182	show_circle	n/a	n/a	4	n/a	0	circle.bmp
36.9752727273	n/a	9243.8182	show_cross	n/a	n/a	5	n/a	n/a	cross.bmp
37.4707272727	n/a	9367.6818	show_face	scrambled_face	first_show	5	n/a	17	s143.bmp
38.0307272727	n/a	9507.6818	right_press	n/a	n/a	5	n/a	4096	n/a
38.4870909091	n/a	9621.7727	show_circle	n/a	n/a	5	n/a	0	circle.bmp
40.1870909091	n/a	10046.7727	show_cross	n/a	n/a	6	n/a	n/a	cross.bmp
40.761636363600005	n/a	10190.4091	show_face	scrambled_face	immediate_repeat	6	1	18	s143.bmp
41.1507272727	n/a	10287.6818	right_press	n/a	n/a	6	n/a	4096	n/a
41.688909090900005	n/a	10422.2273	show_circle	n/a	n/a	6	n/a	0	circle.bmp
43.3889090909	n/a	10847.2273	show_cross	n/a	n/a	7	n/a	n/a	cross.bmp
44.0034545455	n/a	11000.8636	show_face	scrambled_face	first_show	7	n/a	17	s087.bmp
44.6343636364	n/a	11158.5909	left_press	n/a	n/a	7	n/a	256	n/a
44.8361818182	n/a	11209.0455	show_circle	n/a	n/a	7	n/a	0	circle.bmp
46.5361818182	n/a	11634.0455	show_cross	n/a	n/a	8	n/a	n/a	cross.bmp
46.9934545455	n/a	11748.3636	show_face	scrambled_face	first_show	8	n/a	17	s114.bmp
47.6734545455	n/a	11918.3636	left_press	n/a	n/a	8	n/a	256	n/a
47.998	n/a	11999.5	show_circle	n/a	n/a	8	n/a	0	circle.bmp
49.698	n/a	12424.5	show_cross	n/a	n/a	9	n/a	n/a	cross.bmp
50.3007272727	n/a	12575.1818	show_face	famous_face	first_show	9	n/a	5	f098.bmp
50.946181818199996	n/a	12736.5455	left_press	n/a	n/a	9	n/a	256	n/a
51.199818181800005	n/a	12799.9545	show_circle	n/a	n/a	9	n/a	0	circle.bmp
52.8998181818	n/a	13224.9545	show_cross	n/a	n/a	10	n/a	n/a	cross.bmp
53.475272727299995	n/a	13368.8182	show_face	scrambled_face	first_show	10	n/a	17	s090.bmp
54.0661818182	n/a	13516.5455	left_press	n/a	n/a	10	n/a	256	n/a
