onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	bci_prediction_valid	n_repeated	latency
16.9996666666667	n/a	right	83.3333333333	right_hand.png	n/a	n/a	1	1	left	1	0	-37.6
19.9996666666667	n/a	right	83.3333333333	right_hand.png	n/a	n/a	1	1	left	1	0	-37.6
20.083	0	right	83.3333333333	right_hand.png	2	100415	1	1	left	1	0	-37.6
22.2368666666667	n/a	right	83.3333333333	left_hand.png	n/a	n/a	1	2	right	1	0	-30.8
25.2368666666667	n/a	right	83.3333333333	left_hand.png	n/a	n/a	1	2	right	1	0	-30.8
25.3202	0	right	83.3333333333	left_hand.png	2	126601	1	2	right	1	0	-30.8
27.941733333332998	n/a	right	116.666666667	left_hand.png	n/a	n/a	1	3	right	1	0	-9.0
30.941733333332998	n/a	right	116.666666667	left_hand.png	n/a	n/a	1	3	right	1	0	-9.0
31.0584	0	right	116.666666667	left_hand.png	2	155292	1	3	right	1	0	-9.0
32.982866666667	n/a	right	133.33333333299998	right_hand.png	n/a	n/a	1	4	left	1	0	-23.6
35.982866666667	n/a	right	133.33333333299998	right_hand.png	n/a	n/a	1	4	left	1	0	-23.6
36.1162	0	right	133.33333333299998	right_hand.png	2	180581	1	4	left	1	0	-23.6
43.370266666667	n/a	right	133.33333333299998	right_hand.png	n/a	n/a	1	5	left	1	1	-17.4
46.370266666667	n/a	right	133.33333333299998	right_hand.png	n/a	n/a	1	5	left	1	1	-17.4
46.5036	0	right	133.33333333299998	right_hand.png	2	232518	1	5	left	1	1	-17.4
55.3624	n/a	right	100.0	left_hand.png	n/a	n/a	1	6	right	1	2	-21.0
58.3624	n/a	right	100.0	left_hand.png	n/a	n/a	1	6	right	1	2	-21.0
58.4624	0	right	100.0	left_hand.png	2	292312	1	6	right	1	2	-21.0
60.483000000000004	n/a	right	150.0	right_hand.png	n/a	n/a	1	7	left	1	2	-26.6
63.483000000000004	n/a	right	150.0	right_hand.png	n/a	n/a	1	7	left	1	2	-26.6
63.633	0	right	150.0	right_hand.png	2	318165	1	7	left	1	2	-26.6
65.63693333333329	n/a	right	66.6666666667	left_hand.png	n/a	n/a	1	8	right	1	2	-22.2
68.63693333333329	n/a	right	66.6666666667	left_hand.png	n/a	n/a	1	8	right	1	2	-22.2
68.7036	0	right	66.6666666667	left_hand.png	2	343518	1	8	right	1	2	-22.2
70.490933333333	n/a	right	116.666666667	left_hand.png	n/a	n/a	1	9	right	1	2	-11.0
73.490933333333	n/a	right	116.666666667	left_hand.png	n/a	n/a	1	9	right	1	2	-11.0
73.6076	0	right	116.666666667	left_hand.png	2	368038	1	9	right	1	2	-11.0
75.261066666667	n/a	right	133.33333333299998	left_hand.png	n/a	n/a	1	10	right	1	2	-4.2
78.261066666667	n/a	right	133.33333333299998	left_hand.png	n/a	n/a	1	10	right	1	2	-4.2
78.3944	0	right	133.33333333299998	left_hand.png	2	391972	1	10	right	1	2	-4.2
