onset	duration	trial_type	response_time	stim_file	value	sample	stage	trl	pred	pred_valid	n_invalid	latency
11	0	right	66.6666666667	right_hand.png	2	56290	1	1	left	1	0	-19.6
16	0	left	66.6666666667	right_hand.png	1	81142	1	2	left	1	0	-23.6
21	0	right	133.33333333299998	left_hand.png	2	105577	1	3	right	1	0	-21.0
25	0	left	100.0	left_hand.png	1	129430	1	4	right	1	0	-10.8
30	0	right	166.66666666700002	right_hand.png	2	153551	1	5	left	1	0	-15.8
35	0	left	33.3333333333	left_hand.png	1	176631	1	6	right	1	0	-23.8
40	0	right	150.0	right_hand.png	2	200067	1	7	left	1	0	-0.6
44	0	right	183.33333333299998	left_hand.png	2	224586	1	8	right	1	0	-14.8
49	0	left	116.666666667	left_hand.png	1	249020	1	9	right	1	0	-12.0
54	0	right	83.3333333333	right_hand.png	2	272287	1	10	left	1	0	-6.2
59	0	right	116.666666667	right_hand.png	2	295557	1	11	left	1	0	-26.6
63	0	left	100.0	left_hand.png	1	319656	1	12	right	1	0	-13.0
68	0	right	33.3333333333	left_hand.png	2	342842	1	13	right	1	0	-11.6
73	0	right	83.3333333333	right_hand.png	2	366360	1	14	left	1	0	-30.4
78	0	left	166.66666666700002	right_hand.png	1	391046	1	15	left	1	0	-26.8
82	0	right	33.3333333333	right_hand.png	2	413916	1	16	left	1	0	-16.8
87	0	right	16.6666666667	right_hand.png	2	436667	1	17	left	1	0	-37.4
96	0	left	150.0	left_hand.png	1	480865	1	18	right	1	1	-19.4
100	0	right	116.666666667	right_hand.png	2	504131	1	19	left	1	1	-39.0
105	0	right	150.0	right_hand.png	2	528484	1	20	left	1	1	-18.2
110	0	left	66.6666666667	left_hand.png	1	552002	1	21	right	1	1	-13.2
115	0	left	150.0	right_hand.png	1	575436	1	22	left	1	1	-17.2
119	0	left	100.0	right_hand.png	1	598890	1	23	left	1	1	-46.8
124	0	right	83.3333333333	right_hand.png	2	622055	1	24	left	1	1	-20.6
129	0	left	66.6666666667	right_hand.png	1	645073	1	25	left	1	1	-16.2
133	0	right	100.0	left_hand.png	2	668255	1	26	right	1	1	6.6
138	0	left	16.6666666667	left_hand.png	1	691023	1	27	right	1	1	-15.8
142	0	right	16.6666666667	left_hand.png	2	713790	1	28	right	1	1	-12.4
147	0	right	116.666666667	right_hand.png	2	737060	1	29	left	1	1	-7.2
152	0	left	66.6666666667	left_hand.png	1	760077	1	30	right	1	1	-28.2
156	0	right	50.0	left_hand.png	2	783342	1	31	right	1	1	3.6
161	0	right	83.3333333333	right_hand.png	2	806465	1	32	left	1	1	-3.4
166	0	right	116.666666667	left_hand.png	2	830233	1	33	right	1	1	-5.0
170	0	right	116.666666667	right_hand.png	2	853480	1	34	left	1	1	-2.0
175	0	right	150.0	right_hand.png	2	876915	1	35	left	1	1	0.2
180	0	left	133.33333333299998	left_hand.png	1	900286	1	36	right	1	1	-12.4
184	0	left	33.3333333333	right_hand.png	1	923117	1	37	left	1	1	-21.8
193	0	left	166.66666666700002	right_hand.png	1	969652	1	38	left	1	2	-36.0
198	0	right	50.0	right_hand.png	2	992606	1	39	left	1	2	-18.8
203	0	right	50.0	left_hand.png	2	1015522	1	40	right	1	2	6.0
207	0	right	150.0	right_hand.png	2	1038957	1	41	left	1	2	2.0
212	0	right	100.0	left_hand.png	2	1062140	1	42	right	1	2	-24.8
217	0	right	150.0	left_hand.png	2	1085576	1	43	right	1	2	-27.2
221	0	left	116.666666667	right_hand.png	1	1108843	1	44	left	1	2	4.2
226	0	left	150.0	left_hand.png	1	1132278	1	45	right	1	2	1.0
231	0	left	183.33333333299998	left_hand.png	1	1155880	1	46	right	1	2	-33.6
235	0	left	150.0	right_hand.png	1	1179314	1	47	left	1	2	-10.0
240	0	left	83.3333333333	left_hand.png	1	1202416	1	48	right	1	2	-7.6
245	0	left	50.0	right_hand.png	1	1225354	1	49	left	1	2	-27.6
249	0	left	100.0	left_hand.png	1	1248554	1	50	right	1	2	-8.4
258	0	right	166.66666666700002	right_hand.png	2	1293670	1	51	left	1	3	-16.8
263	0	right	183.33333333299998	left_hand.png	2	1317270	1	52	right	1	3	-4.4
268	0	left	83.3333333333	right_hand.png	1	1340354	1	53	left	1	3	-13.2
272	0	right	83.3333333333	left_hand.png	2	1363454	1	54	right	1	3	-2.2
281	0	right	100.0	left_hand.png	2	1409990	1	55	right	1	4	-2.6
286	0	left	133.33333333299998	left_hand.png	1	1433339	1	56	right	1	4	-24.6
291	0	right	66.6666666667	left_hand.png	2	1456360	1	57	right	1	4	-20.8
295	0	right	133.33333333299998	right_hand.png	2	1479710	1	58	left	1	4	-6.0
300	0	right	116.666666667	right_hand.png	2	1503645	1	59	left	1	4	-31.4
305	0	left	50.0	right_hand.png	1	1528080	1	60	left	1	4	-28.8
310	0	right	66.6666666667	left_hand.png	2	1551098	1	61	right	1	4	-24.4
314	0	left	83.3333333333	right_hand.png	1	1574197	1	62	left	1	4	-18.8
319	0	left	116.666666667	right_hand.png	1	1598299	1	63	left	1	4	-18.2
324	0	right	100.0	right_hand.png	2	1622006	1	64	left	1	4	2.0
329	0	right	133.33333333299998	right_hand.png	2	1645439	1	65	left	1	4	0.2
333	0	right	133.33333333299998	right_hand.png	2	1668771	1	66	left	1	4	-7.0
338	0	left	16.6666666667	left_hand.png	1	1691541	1	67	right	1	4	-4.2
343	0	left	166.66666666700002	left_hand.png	1	1715306	1	68	right	1	4	-21.2
347	0	right	33.3333333333	right_hand.png	2	1738157	1	69	left	1	4	-33.4
352	0	right	50.0	right_hand.png	2	1761111	1	70	left	1	4	-17.4
357	0	right	83.3333333333	right_hand.png	2	1785796	1	71	left	1	4	-13.6
361	0	left	100.0	right_hand.png	1	1808960	1	72	left	1	4	-4.2
366	0	left	100.0	left_hand.png	1	1832165	1	73	right	1	4	-18.4
371	0	right	183.33333333299998	left_hand.png	2	1855766	1	74	right	1	4	-4.4
375	0	right	150.0	right_hand.png	2	1879201	1	75	left	1	4	-6.6
380	0	right	166.66666666700002	right_hand.png	2	1902719	1	76	left	1	4	-3.8
385	0	right	100.0	left_hand.png	2	1925890	1	77	right	1	4	-26.0
389	0	right	100.0	left_hand.png	2	1949073	1	78	right	1	4	-3.4
394	0	left	83.3333333333	left_hand.png	1	1972179	1	79	right	1	4	-42.2
399	0	right	150.0	left_hand.png	2	1995624	1	80	right	1	4	-20.8
408	0	right	116.666666667	left_hand.png	2	2040585	1	81	right	1	5	-1.8
412	0	right	83.3333333333	right_hand.png	2	2063795	1	82	left	1	5	-10.2
417	0	left	50.0	right_hand.png	1	2086693	1	83	left	1	5	-25.8
422	0	right	100.0	left_hand.png	2	2111377	1	84	right	1	5	-29.0
426	0	left	50.0	right_hand.png	1	2134313	1	85	left	1	5	-8.2
431	0	right	116.666666667	right_hand.png	2	2157581	1	86	left	1	5	-2.6
440	0	right	116.666666667	left_hand.png	2	2201685	1	87	right	1	6	-42.6
449	0	right	116.666666667	right_hand.png	2	2245982	1	88	left	1	7	-8.0
453	0	right	166.66666666700002	left_hand.png	2	2269499	1	89	right	1	7	-6.4
458	0	right	166.66666666700002	left_hand.png	2	2293018	1	90	right	1	7	-15.2
463	0	right	133.33333333299998	right_hand.png	2	2316369	1	91	left	1	7	-16.2
468	0	left	133.33333333299998	right_hand.png	1	2341804	1	92	left	1	7	-8.8
473	0	left	150.0	left_hand.png	1	2365240	1	93	right	1	7	-6.4
477	0	left	116.666666667	right_hand.png	1	2389007	1	94	left	1	7	-3.0
482	0	right	116.666666667	right_hand.png	2	2413860	1	95	left	1	7	-32.8
487	0	left	100.0	right_hand.png	1	2437032	1	96	left	1	7	-19.4
492	0	left	133.33333333299998	left_hand.png	1	2460381	1	97	right	1	7	-18.6
497	0	right	116.666666667	right_hand.png	2	2485733	1	98	left	1	7	-11.4
501	0	right	150.0	right_hand.png	2	2509182	1	99	left	1	7	-25.2
506	0	right	100.0	left_hand.png	2	2532367	1	100	right	1	7	-19.4
627	0	right	50.0	right_hand.png	2	3135329	2	1	left	1	0	-19.4
634	0	left	50.0	right_hand.png	1	3171337	2	2	left	1	0	-27.4
638	0	right	83.3333333333	left_hand.png	2	3194438	2	3	right	1	0	-39.6
643	0	left	133.33333333299998	left_hand.png	1	3217871	2	4	right	1	0	-15.8
652	0	right	50.0	right_hand.png	2	3261239	2	5	left	1	1	14.6
656	0	right	50.0	right_hand.png	2	3284840	2	6	left	1	1	4.8
661	0	right	166.66666666700002	left_hand.png	2	3308379	2	7	right	1	1	-18.2
666	0	left	50.0	right_hand.png	1	3331291	2	8	left	1	1	-4.0
670	0	right	66.6666666667	left_hand.png	2	3354478	2	9	right	1	1	-29.4
675	0	right	83.3333333333	right_hand.png	2	3377579	2	10	left	1	1	-8.6
680	0	right	100.0	left_hand.png	2	3400763	2	11	right	1	1	-11.8
684	0	left	83.3333333333	right_hand.png	1	3423864	2	12	left	1	1	-24.0
689	0	left	66.6666666667	left_hand.png	1	3446882	2	13	right	1	1	-19.6
694	0	left	50.0	left_hand.png	1	3471318	2	14	right	1	1	-17.2
699	0	right	33.3333333333	left_hand.png	2	3495169	2	15	right	1	1	-25.8
703	0	right	16.6666666667	left_hand.png	2	3517956	2	16	right	1	1	-51.0
708	0	right	100.0	right_hand.png	2	3541119	2	17	left	1	1	-25.4
713	0	right	66.6666666667	left_hand.png	2	3565139	2	18	right	1	1	-16.6
717	0	right	150.0	right_hand.png	2	3588573	2	19	left	1	1	7.0
722	0	left	116.666666667	right_hand.png	1	3611841	2	20	left	1	1	-13.0
727	0	right	116.666666667	left_hand.png	2	3635110	2	21	right	1	1	-7.6
731	0	left	83.3333333333	left_hand.png	1	3658230	2	22	right	1	1	-14.8
736	0	right	166.66666666700002	left_hand.png	2	3681728	2	23	right	1	1	-11.0
740	0	left	83.3333333333	left_hand.png	1	3704828	2	24	right	1	1	0.8
745	0	right	116.666666667	left_hand.png	2	3728097	2	25	right	1	1	-19.4
750	0	right	116.666666667	left_hand.png	2	3751365	2	26	right	1	1	-13.8
754	0	left	66.6666666667	left_hand.png	1	3774382	2	27	right	1	1	-34.8
759	0	left	83.3333333333	left_hand.png	1	3797482	2	28	right	1	1	-26.6
764	0	left	166.66666666700002	left_hand.png	1	3820999	2	29	right	1	1	-14.2
768	0	left	16.6666666667	left_hand.png	1	3843769	2	30	right	1	1	-3.4
