onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
6.8952	0	1	right	2.0	34476.0	3.761866666667	6.761866666667	133.33333333299998	6.963533333333333	left_hand.png	raised-right/match-true	1	right	-17.2	1
16.5818	0	2	right	2.0	82909.0	13.465133333333	16.465133333333	116.666666667	16.650133333333336	right_hand.png	raised-right/match-false	1	left	-31.2	2
21.9526	0	3	left	1.0	109763.0	18.819266666667	21.819266666667	133.33333333299998	22.020933333333335	left_hand.png	raised-left/match-false	1	right	-47.4	2
26.9398	0	4	left	1.0	134699.0	23.823133333333	26.823133333333	116.666666667	27.008133333333337	left_hand.png	raised-left/match-false	1	right	-42.6	2
31.7806	0	5	right	2.0	158903.0	28.613933333333	31.613933333333	166.66666666700002	31.848933333333335	left_hand.png	raised-right/match-true	1	right	-19.4	2
36.764	0	6	right	2.0	183820.0	33.630666666667004	36.630666666667004	133.33333333299998	36.83233333333333	left_hand.png	raised-right/match-true	1	right	-36.4	2
41.9716	0	7	left	1.0	209858.0	38.838266666667	41.838266666667	133.33333333299998	42.03993333333333	left_hand.png	raised-left/match-false	1	right	-72.8	2
46.7382	0	8	left	1.0	233691.0	43.6382	46.6382	100.0	46.80653333333333	left_hand.png	raised-left/match-false	1	right	-28.6	2
51.5626	0	9	left	1.0	257813.0	48.495933333333305	51.495933333333305	66.6666666667	51.63093333333333	right_hand.png	raised-left/match-true	1	left	-63.8	2
56.533	0	10	left	1.0	282665.0	53.383	56.383	150.0	56.60133333333333	left_hand.png	raised-left/match-false	1	right	-40.8	2
61.2824	0	11	right	2.0	306412.0	58.165733333333	61.165733333333	116.666666667	61.35073333333333	left_hand.png	raised-right/match-true	1	right	-35.2	2
70.4064	0	12	left	1.0	352032.0	67.239733333333	70.239733333333	166.66666666700002	70.47473333333335	left_hand.png	raised-left/match-false	1	right	-40.4	3
75.3102	0	13	right	2.0	376551.0	72.2268666666667	75.2268666666667	83.3333333333	75.37853333333334	right_hand.png	raised-right/match-false	1	left	-54.6	3
81.7316	0	14	right	2.0	408658.0	78.6816	81.6816	50.0	81.79993333333334	right_hand.png	raised-right/match-false	1	left	-28.8	3
86.5522	0	15	left	1.0	432761.0	83.5355333333333	86.5355333333333	16.6666666667	86.62053333333334	right_hand.png	raised-left/match-true	1	left	-32.6	3
91.7722	0	16	left	1.0	458861.0	88.62219999999999	91.62219999999999	150.0	91.84053333333334	left_hand.png	raised-left/match-false	1	right	-55.8	3
99.2786	0	17	right	2.0	496393.0	96.2286	99.2286	50.0	99.34693333333334	right_hand.png	raised-right/match-false	1	left	-35.8	3
104.3492	0	18	right	2.0	521746.0	101.2492	104.2492	100.0	104.41753333333334	right_hand.png	raised-right/match-false	1	left	-37.6	3
109.4698	0	19	right	2.0	547349.0	106.353133333333	109.353133333333	116.666666667	109.53813333333335	left_hand.png	raised-right/match-true	1	right	-63.8	3
114.757	0	20	left	1.0	573785.0	111.623666666667	114.623666666667	133.33333333299998	114.82533333333335	left_hand.png	raised-left/match-false	1	right	-51.8	3
119.6606	0	21	right	2.0	598303.0	116.6272666666667	119.6272666666667	33.3333333333	119.72893333333334	right_hand.png	raised-right/match-false	1	left	-65.8	3
129.9356	0	22	right	2.0	649678.0	126.90226666666669	129.9022666666667	33.3333333333	130.00393333333332	right_hand.png	raised-right/match-false	1	left	-24.0	3
135.0894	0	23	right	2.0	675447.0	131.956066666667	134.956066666667	133.33333333299998	135.15773333333334	right_hand.png	raised-right/match-false	1	left	-32.2	3
140.014	0	24	right	2.0	700070.0	136.9973333333333	139.9973333333333	16.6666666667	140.08233333333334	left_hand.png	raised-right/match-true	1	right	-41.6	3
144.981	0	25	right	2.0	724905.0	141.814333333333	144.814333333333	166.66666666700002	145.04933333333332	left_hand.png	raised-right/match-true	1	right	-27.8	3
150.739	0	26	left	1.0	753695.0	147.689	150.689	50.0	150.80733333333333	right_hand.png	raised-left/match-true	1	left	-46.4	3
155.4214	0	27	left	1.0	777107.0	152.2714	155.2714	150.0	155.48973333333333	left_hand.png	raised-left/match-false	1	right	-52.6	3
160.0586	0	28	left	1.0	800293.0	156.97526666666673	159.97526666666673	83.3333333333	160.12693333333334	left_hand.png	raised-left/match-false	1	right	-41.4	3
164.7958	0	29	right	2.0	823979.0	161.69580000000002	164.69580000000002	100.0	164.86413333333334	left_hand.png	raised-right/match-true	1	right	-42.6	3
169.6994	0	30	right	2.0	848497.0	166.5494	169.5494	150.0	169.76773333333333	left_hand.png	raised-right/match-true	1	right	-31.0	3
174.4532	0	31	left	1.0	872266.0	171.33653333333302	174.33653333333302	116.666666667	174.52153333333334	right_hand.png	raised-left/match-true	1	left	-23.2	3
179.1774	0	32	left	1.0	895887.0	175.994066666667	178.994066666667	183.333333333	179.24573333333333	right_hand.png	raised-left/match-true	1	left	-49.6	3
