participant_id	age	group
sub-Expert13	0	M	expert
sub-Novice13	0	M	novice
sub-Novice14	0	M	novice
sub-Novice15	0	M	novice
sub-Novice16	0	M	novice
sub-Novice17	0	M	novice
sub-Expert14	0	M	expert
sub-Expert15	0	F	expert
sub-Novice18	0	F	novice
sub-Expert16	0	M	expert
sub-Expert17	0	F	expert
sub-Novice19	0	F	novice
sub-Badsubject02	0	F	badsubject
sub-Expert18	0	M	expert
sub-Badsubject03	0	F	badsubject
sub-Expert19	0	M	expert
sub-Expert20	0	M	expert
sub-Expert21	0	M	expert
sub-Novice20	0	F	novice
sub-Expert22	0	M	expert
sub-Expert23	0	M	expert
sub-Expert24	0	M	expert
sub-Novice21	0	F	novice
sub-Novice22	0	F	novice
sub-Novice23	0	M	novice
sub-Novice24	0	F	novice
