onset	duration	trial_type	response_time	sample	value
103.7890625000	n/a	stimulus	n/a	26570	128
111.0195312500	n/a	response	n/a	28421	4
113.2773437500	n/a	response	n/a	28999	2
145.2812500000	n/a	stimulus	n/a	37192	128
147.9062500000	n/a	response	n/a	37864	2
150.1406250000	n/a	response	n/a	38436	2
152.3945312500	n/a	response	n/a	39013	2
228.3984375000	n/a	stimulus	n/a	58470	128
232.0195312500	n/a	response	n/a	59397	2
236.6054687500	n/a	response	n/a	60571	2
394.6132812500	n/a	stimulus	n/a	101021	128
397.2890625000	n/a	response	n/a	101706	2
399.4492187500	n/a	response	n/a	102259	4
401.7148437500	n/a	response	n/a	102839	2
469.7187500000	n/a	stimulus	n/a	120248	128
472.3671875000	n/a	response	n/a	120926	4
475.2382812500	n/a	response	n/a	121661	2
477.7148437500	n/a	response	n/a	122295	2
517.7187500000	n/a	stimulus	n/a	132536	128
520.3359375000	n/a	response	n/a	133206	2
522.4531250000	n/a	response	n/a	133748	4
524.6718750000	n/a	response	n/a	134316	2
607.6757812500	n/a	stimulus	n/a	155565	128
610.3906250000	n/a	response	n/a	156260	2
612.5429687500	n/a	response	n/a	156811	2
614.8554687500	n/a	response	n/a	157403	2
657.8593750000	n/a	stimulus	n/a	168412	128
661.1328125000	n/a	response	n/a	169250	2
663.2929687500	n/a	response	n/a	169803	2
665.5585937500	n/a	response	n/a	170383	2
774.5664062500	n/a	stimulus	n/a	198289	128
777.5000000000	n/a	response	n/a	199040	2
779.9375000000	n/a	response	n/a	199664	2
782.1132812500	n/a	response	n/a	200221	2
913.1250000000	n/a	stimulus	n/a	233760	128
918.9609375000	n/a	response	n/a	235254	2
921.1562500000	n/a	response	n/a	235816	2
982.1601562500	n/a	stimulus	n/a	251433	128
985.3554687500	n/a	response	n/a	252251	2
987.4726562500	n/a	response	n/a	252793	2
990.2617187500	n/a	response	n/a	253507	2
1124.2695312500	n/a	stimulus	n/a	287813	128
1127.2343750000	n/a	response	n/a	288572	4
1130.0664062500	n/a	response	n/a	289297	2
1133.3437500000	n/a	response	n/a	290136	2
1228.3515625000	n/a	stimulus	n/a	314458	128
1231.5859375000	n/a	response	n/a	315286	4
1234.1601562500	n/a	response	n/a	315945	2
1236.6484375000	n/a	response	n/a	316582	2
1334.6562500000	n/a	stimulus	n/a	341672	128
1337.3046875000	n/a	response	n/a	342350	2
1339.4335937500	n/a	response	n/a	342895	2
1341.7539062500	n/a	response	n/a	343489	2
1401.7578125000	n/a	stimulus	n/a	358850	128
1404.4335937500	n/a	response	n/a	359535	4
1406.5937500000	n/a	response	n/a	360088	2
1408.8398437500	n/a	response	n/a	360663	2
1452.8437500000	n/a	stimulus	n/a	371928	128
1455.4804687500	n/a	response	n/a	372603	2
1457.6015625000	n/a	response	n/a	373146	2
1459.7695312500	n/a	response	n/a	373701	2
1539.7773437500	n/a	stimulus	n/a	394183	128
1542.5000000000	n/a	response	n/a	394880	2
1544.6054687500	n/a	response	n/a	395419	2
1547.7617187500	n/a	response	n/a	396227	2
1590.7617187500	n/a	stimulus	n/a	407235	128
1593.5625000000	n/a	response	n/a	407952	4
1595.7265625000	n/a	response	n/a	408506	2
1597.9414062500	n/a	response	n/a	409073	2
1629.9414062500	n/a	stimulus	n/a	417265	128
1632.5820312500	n/a	response	n/a	417941	4
1634.7148437500	n/a	response	n/a	418487	2
1636.9414062500	n/a	response	n/a	419057	2
1690.9453125000	n/a	stimulus	n/a	432882	128
1693.6132812500	n/a	response	n/a	433565	2
1695.9726562500	n/a	response	n/a	434169	2
1698.3046875000	n/a	response	n/a	434766	2
1731.3046875000	n/a	stimulus	n/a	443214	128
1734.0312500000	n/a	response	n/a	443912	2
1736.1562500000	n/a	response	n/a	444456	2
1738.3632812500	n/a	response	n/a	445021	2
1829.3671875000	n/a	stimulus	n/a	468318	128
1832.0976562500	n/a	response	n/a	469017	4
1834.2773437500	n/a	response	n/a	469575	2
1836.5429687500	n/a	response	n/a	470155	2
