onset	duration	trial_type
136.125	0	        audio_probe
136.125	0	128
138.825	0	        Mind-wandering_response-1
138.871	0	2
141.025	0	        Meditation_response-1
141.039	0	2
143.226	0	        Tiredness_response-1
143.285	0	2
184.230	0	        audio_probe
184.270	0	128
188.830	0	        Mind-wandering_response-1
188.859	0	2
191.330	0	        Meditation_response-1
191.367	0	2
193.630	0	        Tiredness_response-1
193.684	0	2
215.633	0	        audio_probe
215.688	0	128
218.233	0	        Mind-wandering_response-1
218.316	0	2
220.333	0	        Meditation_response-1
220.457	0	2
222.933	0	        Tiredness_response-1
222.992	0	2
285.939	0	        audio_probe
285.992	0	128
288.625	0	2
288.639	0	        Mind-wandering_response-1
290.840	0	        Meditation_response-0
293.140	0	        Tiredness_response-1
293.168	0	2
365.147	0	        audio_probe
365.172	0	128
367.747	0	        Mind-wandering_response-1
367.809	0	2
370.247	0	        Meditation_response-2
370.324	0	4
372.647	0	        Tiredness_response-1
372.684	0	2
460.656	0	        audio_probe
460.688	0	128
463.746	0	2
463.756	0	        Mind-wandering_response-1
466.256	0	        Meditation_response-2
466.355	0	4
468.856	0	        Tiredness_response-1
468.906	0	2
596.869	0	        audio_probe
596.914	0	128
599.469	0	        Mind-wandering_response-1
599.516	0	2
601.569	0	        Meditation_response-1
601.648	0	2
603.869	0	        Tiredness_response-1
603.930	0	2
642.873	0	        audio_probe
642.930	0	128
645.473	0	        Mind-wandering_response-1
645.566	0	2
648.974	0	        Meditation_response-1
649.043	0	2
651.374	0	        Tiredness_response-1
651.445	0	2
717.449	0	128
717.480	0	        audio_probe
720.180	0	        Mind-wandering_response-1
720.219	0	2
722.780	0	        Meditation_response-0
725.074	0	2
725.081	0	        Tiredness_response-1
778.070	0	128
778.086	0	        audio_probe
780.586	0	        Mind-wandering_response-1
780.680	0	2
782.986	0	        Meditation_response-0
785.176	0	2
785.186	0	        Tiredness_response-1
944.184	0	128
944.201	0	        audio_probe
946.902	0	        Mind-wandering_response-1
946.941	0	2
949.602	0	        Meditation_response-1
949.668	0	2
952.002	0	        Tiredness_response-0
1006.007	0	        audio_probe
1006.027	0	128
1008.608	0	        Mind-wandering_response-2
1008.676	0	4
1011.008	0	        Meditation_response-1
1011.020	0	2
1013.308	0	        Tiredness_response-0
1065.313	0	        audio_probe
1065.336	0	128
1067.913	0	        Mind-wandering_response-2
1067.973	0	4
1070.613	0	        Meditation_response-1
1070.656	0	2
1073.914	0	        Tiredness_response-0
1126.919	0	        audio_probe
1126.953	0	128
1129.594	0	2
1129.619	0	        Mind-wandering_response-1
1131.707	0	2
1131.719	0	        Meditation_response-1
1134.019	0	        Tiredness_response-0
1274.031	0	128
1274.033	0	        audio_probe
1276.633	0	        Mind-wandering_response-2
1276.637	0	4
1278.833	0	        Meditation_response-1
1278.848	0	2
1281.033	0	        Tiredness_response-0
1339.039	0	        audio_probe
1339.062	0	128
1343.139	0	        Mind-wandering_response-2
1343.145	0	4
1345.339	0	        Meditation_response-1
1345.340	0	2
1348.240	0	        Tiredness_response-0
1448.249	0	        audio_probe
1448.281	0	128
1450.926	0	2
1450.949	0	        Mind-wandering_response-1
1453.650	0	        Meditation_response-1
1453.676	0	2
1455.850	0	        Tiredness_response-0
1587.910	0	128
1587.962	0	        audio_probe
1590.863	0	        Mind-wandering_response-2
1590.898	0	4
1593.027	0	2
1593.063	0	        Meditation_response-1
1595.263	0	        Tiredness_response-0
1680.223	0	128
1680.271	0	        audio_probe
1682.871	0	        Mind-wandering_response-1
1682.879	0	2
1684.971	0	        Meditation_response-1
1685.043	0	2
1687.272	0	        Tiredness_response-0
1821.284	0	        audio_probe
1821.285	0	128
1824.566	0	4
1824.585	0	        Mind-wandering_response-2
1826.985	0	        Meditation_response-1
1827.008	0	2
1829.485	0	        Tiredness_response-0
1934.495	0	        audio_probe
1934.523	0	128
1937.595	0	        Mind-wandering_response-1
1937.609	0	2
1939.727	0	2
1939.796	0	        Meditation_response-1
1942.396	0	        Tiredness_response-0
2069.406	0	128
2069.408	0	        audio_probe
2072.108	0	        Mind-wandering_response-1
2072.117	0	2
2074.289	0	2
2074.308	0	        Meditation_response-1
2076.809	0	        Tiredness_response-0
2140.315	0	        audio_probe
2140.328	0	128
2143.312	0	2
2143.315	0	        Mind-wandering_response-1
2145.615	0	        Meditation_response-2
2145.637	0	4
2147.915	0	        Tiredness_response-0
2174.871	0	128
2174.918	0	        audio_probe
2178.418	0	        Mind-wandering_response-1
2178.453	0	2
2180.617	0	4
2180.618	0	        Meditation_response-2
2182.819	0	        Tiredness_response-0
2198.820	0	        audio_probe
2198.824	0	128
2201.720	0	        Mind-wandering_response-1
2201.785	0	2
2203.921	0	        Meditation_response-2
2203.945	0	4
2206.221	0	        Tiredness_response-0
2234.258	0	128
2234.323	0	        audio_probe
2236.924	0	        Mind-wandering_response-2
2236.953	0	4
2239.094	0	2
2239.124	0	        Meditation_response-1
2241.324	0	        Tiredness_response-0
2321.312	0	128
2321.332	0	        audio_probe
2324.732	0	        Mind-wandering_response-0
2327.032	0	        Meditation_response-2
2327.062	0	4
2329.426	0	2
2329.432	0	        Tiredness_response-1
2366.430	0	128
2366.436	0	        audio_probe
2369.133	0	2
2369.136	0	        Mind-wandering_response-1
2371.336	0	        Meditation_response-1
2371.391	0	2
2374.437	0	        Tiredness_response-1
2374.512	0	2
2471.516	0	128
2471.546	0	        audio_probe
2475.446	0	        Mind-wandering_response-0
2478.347	0	        Meditation_response-1
2478.410	0	2
2482.347	0	        Tiredness_response-1
2482.348	0	2
2550.340	0	128
2550.353	0	        audio_probe
2552.954	0	        Mind-wandering_response-1
2552.969	0	2
2555.098	0	2
2555.154	0	        Meditation_response-1
2557.551	0	2
2557.554	0	        Tiredness_response-1
2608.535	0	128
2608.559	0	        audio_probe
2611.336	0	4
2611.359	0	        Mind-wandering_response-2
2613.523	0	2
2613.559	0	        Meditation_response-1
2615.660	0	        Tiredness_response-1
2615.695	0	2
2693.699	0	128
2693.767	0	        audio_probe
2696.667	0	        Mind-wandering_response-1
2696.723	0	2
2700.168	0	        Meditation_response-1
2700.227	0	2
2702.445	0	2
2702.468	0	        Tiredness_response-1
