onset	duration	trial_type
46.004	0	128
46.004	0	        audio_probe
48.804	0	        Mind-wandering_response-0
50.905	0	        Meditation_response-1
50.973	0	2
53.105	0	        Tiredness_response-0
78.148	0	254
183.199	0	128
183.221	0	        audio_probe
200.423	0	        Mind-wandering_response-1
200.469	0	2
218.425	0	        Meditation_response-0
279.233	0	        Tiredness_response-3
279.293	0	8
347.241	0	        audio_probe
347.285	0	128
349.841	0	        Mind-wandering_response-1
349.957	0	2
352.242	0	        Meditation_response-1
352.270	0	2
356.242	0	        Tiredness_response-0
426.251	0	        audio_probe
426.281	0	128
429.251	0	        Mind-wandering_response-2
429.301	0	4
431.851	0	        Meditation_response-1
431.914	0	2
434.652	0	        Tiredness_response-0
455.654	0	        audio_probe
455.676	0	128
458.255	0	        Mind-wandering_response-1
458.324	0	2
461.055	0	        Meditation_response-1
461.059	0	2
463.555	0	        Tiredness_response-0
519.562	0	        audio_probe
519.578	0	128
522.663	0	        Mind-wandering_response-2
522.695	0	4
525.055	0	2
525.063	0	        Meditation_response-1
527.363	0	        Tiredness_response-0
643.378	0	        audio_probe
643.395	0	128
648.363	0	2
648.378	0	        Mind-wandering_response-1
650.778	0	        Meditation_response-1
650.781	0	2
653.379	0	        Tiredness_response-0
799.397	0	        audio_probe
799.414	0	128
803.797	0	        Mind-wandering_response-2
803.816	0	4
806.090	0	2
806.098	0	        Meditation_response-1
808.198	0	        Tiredness_response-0
918.211	0	        audio_probe
918.254	0	128
922.112	0	        Mind-wandering_response-2
922.129	0	4
924.312	0	        Meditation_response-1
924.336	0	2
931.813	0	        Tiredness_response-0
1036.805	0	128
1036.826	0	        audio_probe
1040.226	0	        Mind-wandering_response-1
1040.285	0	2
1043.219	0	2
1043.227	0	        Meditation_response-1
1045.427	0	        Tiredness_response-0
1076.465	0	128
1076.531	0	        audio_probe
1081.023	0	2
1081.032	0	        Mind-wandering_response-1
1083.432	0	        Meditation_response-1
1083.449	0	2
1085.732	0	        Tiredness_response-0
1190.745	0	        audio_probe
1190.754	0	128
1194.245	0	        Mind-wandering_response-2
1194.297	0	4
1196.734	0	2
1196.746	0	        Meditation_response-1
1199.046	0	        Tiredness_response-0
1351.105	0	128
1351.165	0	        audio_probe
1355.565	0	        Mind-wandering_response-1
1355.582	0	2
1358.523	0	4
1358.566	0	        Meditation_response-2
1361.166	0	        Tiredness_response-0
1422.172	0	128
1422.174	0	        audio_probe
1427.266	0	2
1427.274	0	        Mind-wandering_response-1
1429.438	0	4
1429.474	0	        Meditation_response-2
1431.875	0	        Tiredness_response-0
1454.875	0	128
1454.878	0	        audio_probe
1457.778	0	        Mind-wandering_response-1
1457.809	0	2
1460.578	0	        Meditation_response-1
1460.590	0	2
1462.979	0	        Tiredness_response-0
1554.984	0	128
1554.990	0	        audio_probe
1557.809	0	4
1557.890	0	        Mind-wandering_response-2
1560.016	0	2
1560.091	0	        Meditation_response-1
1562.291	0	        Tiredness_response-0
1607.281	0	128
1607.296	0	        audio_probe
1610.977	0	4
1610.997	0	        Mind-wandering_response-2
1613.336	0	2
1613.397	0	        Meditation_response-1
1615.797	0	        Tiredness_response-0
1672.809	0	128
1672.904	0	        audio_probe
1675.777	0	4
1675.805	0	        Mind-wandering_response-2
1678.205	0	        Meditation_response-1
1678.211	0	2
1681.506	0	        Tiredness_response-0
