onset	duration	trial_type
138.945	0	128
138.945	0	        audio_probe
142.546	0	        Mind-wandering_response-1
142.605	0	2
146.646	0	        Meditation_response-2
146.664	0	4
149.446	0	        Tiredness_response-0
270.458	0	        audio_probe
270.527	0	128
274.158	0	        Mind-wandering_response-2
274.211	0	4
277.458	0	        Meditation_response-1
277.508	0	2
279.759	0	        Tiredness_response-0
309.762	0	        audio_probe
309.820	0	128
312.762	0	        Mind-wandering_response-1
312.816	0	2
315.362	0	        Meditation_response-2
315.371	0	4
317.562	0	        Tiredness_response-0
475.574	0	128
475.577	0	        audio_probe
478.178	0	        Mind-wandering_response-2
478.219	0	4
480.678	0	        Meditation_response-1
480.707	0	2
488.379	0	        Tiredness_response-0
618.391	0	        audio_probe
618.395	0	128
620.991	0	        Mind-wandering_response-2
621.051	0	4
623.091	0	        Meditation_response-1
623.164	0	2
632.792	0	        Tiredness_response-0
714.797	0	128
714.800	0	        audio_probe
718.000	0	        Mind-wandering_response-2
718.027	0	4
720.184	0	2
720.201	0	        Meditation_response-1
722.401	0	        Tiredness_response-0
778.387	0	128
778.406	0	        audio_probe
781.506	0	        Mind-wandering_response-2
781.590	0	4
783.807	0	        Meditation_response-1
783.840	0	2
788.307	0	        Tiredness_response-0
821.367	0	128
821.410	0	        audio_probe
824.367	0	2
824.410	0	        Mind-wandering_response-1
826.511	0	        Meditation_response-2
826.555	0	4
828.711	0	        Tiredness_response-0
931.809	0	128
931.821	0	        audio_probe
935.316	0	4
935.321	0	        Mind-wandering_response-2
937.421	0	        Meditation_response-1
937.438	0	2
939.821	0	        Tiredness_response-0
1030.812	0	128
1030.830	0	        audio_probe
1033.630	0	        Mind-wandering_response-1
1033.664	0	2
1035.816	0	4
1035.831	0	        Meditation_response-2
1038.031	0	        Tiredness_response-0
1135.040	0	        audio_probe
1135.055	0	128
1138.740	0	        Mind-wandering_response-2
1138.793	0	4
1142.041	0	        Meditation_response-2
1142.078	0	4
1144.541	0	        Tiredness_response-0
1285.621	0	128
1285.654	0	        audio_probe
1288.555	0	        Mind-wandering_response-2
1288.570	0	4
1291.455	0	        Meditation_response-2
1291.539	0	4
1293.855	0	        Tiredness_response-0
1447.855	0	128
1447.870	0	        audio_probe
1450.470	0	        Mind-wandering_response-2
1450.559	0	4
1453.070	0	        Meditation_response-1
1453.152	0	2
1455.370	0	        Tiredness_response-0
1562.371	0	128
1562.381	0	        audio_probe
1565.781	0	        Mind-wandering_response-1
1565.852	0	2
1571.582	0	        Meditation_response-1
1571.660	0	2
1573.782	0	        Tiredness_response-0
1676.879	0	128
1676.892	0	        audio_probe
1679.892	0	        Mind-wandering_response-2
1679.926	0	4
1682.078	0	4
1682.092	0	        Meditation_response-2
1684.292	0	        Tiredness_response-0
1813.305	0	        audio_probe
1813.312	0	128
1816.005	0	        Mind-wandering_response-2
1816.016	0	4
1818.605	0	        Meditation_response-1
1818.680	0	2
1821.705	0	        Tiredness_response-0
1847.762	0	128
1847.808	0	        audio_probe
1852.008	0	        Mind-wandering_response-2
1852.031	0	4
1854.289	0	2
1854.308	0	        Meditation_response-1
1857.509	0	        Tiredness_response-1
1857.512	0	2
2012.488	0	128
2012.523	0	        audio_probe
2015.924	0	        Mind-wandering_response-2
2015.926	0	4
2018.816	0	4
2018.824	0	        Meditation_response-2
2022.724	0	        Tiredness_response-1
2022.734	0	2
2039.726	0	        audio_probe
2039.734	0	128
2042.488	0	2
2042.526	0	        Mind-wandering_response-1
2044.980	0	4
2045.027	0	        Meditation_response-2
2048.027	0	        Tiredness_response-1
2048.055	0	2
2150.059	0	128
2150.137	0	        audio_probe
2154.237	0	        Mind-wandering_response-2
2154.254	0	4
2157.211	0	2
2157.237	0	        Meditation_response-1
2160.238	0	        Tiredness_response-1
2160.270	0	2
2273.248	0	        audio_probe
2273.277	0	128
2277.249	0	        Mind-wandering_response-2
2277.258	0	4
2279.422	0	4
2279.449	0	        Meditation_response-2
2282.137	0	2
2282.149	0	        Tiredness_response-1
2310.141	0	128
2310.152	0	        audio_probe
2312.752	0	        Mind-wandering_response-1
2312.805	0	2
2315.148	0	4
2315.152	0	        Meditation_response-2
2318.053	0	        Tiredness_response-1
2318.055	0	2
2457.066	0	        audio_probe
2457.066	0	128
2462.086	0	2
2462.166	0	        Mind-wandering_response-1
2465.567	0	        Meditation_response-2
2465.578	0	4
2468.656	0	4
2468.667	0	        Tiredness_response-2
2549.652	0	128
2549.675	0	        audio_probe
2552.352	0	2
2552.375	0	        Mind-wandering_response-1
2554.875	0	        Meditation_response-2
2554.926	0	4
2557.422	0	4
2557.475	0	        Tiredness_response-2
2688.422	0	128
2688.488	0	        audio_probe
2693.508	0	2
2693.588	0	        Mind-wandering_response-1
2696.689	0	        Meditation_response-2
2696.734	0	4
2698.926	0	4
2698.989	0	        Tiredness_response-2
