onset	duration	trial_type
184.859	0	128
184.859	0	        audio_probe
187.760	0	        Mind-wandering_response-0
189.960	0	        Meditation_response-2
190.000	0	4
192.360	0	        Tiredness_response-0
270.371	0	        audio_probe
270.406	0	128
273.472	0	        Mind-wandering_response-0
280.973	0	        Meditation_response-0
283.473	0	        Tiredness_response-0
402.484	0	128
402.489	0	        audio_probe
405.490	0	        Mind-wandering_response-1
405.555	0	2
409.690	0	        Meditation_response-1
409.777	0	2
412.291	0	        Tiredness_response-1
412.328	0	2
437.294	0	        audio_probe
437.332	0	128
440.995	0	        Mind-wandering_response-0
443.883	0	2
443.895	0	        Meditation_response-1
448.696	0	        Tiredness_response-0
524.706	0	        audio_probe
524.727	0	128
527.707	0	        Mind-wandering_response-1
527.719	0	2
530.007	0	        Meditation_response-1
530.027	0	2
532.607	0	        Tiredness_response-0
627.598	0	128
627.620	0	        audio_probe
630.221	0	        Mind-wandering_response-0
632.621	0	        Meditation_response-3
632.633	0	8
634.821	0	        Tiredness_response-0
766.840	0	        audio_probe
766.887	0	128
772.940	0	        Mind-wandering_response-1
772.957	0	2
775.341	0	        Meditation_response-1
775.352	0	2
777.816	0	2
777.841	0	        Tiredness_response-1
815.809	0	128
815.846	0	        audio_probe
819.347	0	        Mind-wandering_response-1
819.375	0	2
821.947	0	        Meditation_response-2
821.953	0	4
824.948	0	        Tiredness_response-0
908.959	0	        audio_probe
908.988	0	128
912.560	0	        Mind-wandering_response-1
912.598	0	2
914.760	0	        Meditation_response-0
917.060	0	        Tiredness_response-0
1028.062	0	128
1028.076	0	        audio_probe
1033.776	0	        Mind-wandering_response-1
1033.777	0	2
1036.177	0	        Meditation_response-0
1038.777	0	        Tiredness_response-0
1096.809	0	128
1096.885	0	        audio_probe
1101.086	0	        Mind-wandering_response-0
1103.286	0	        Meditation_response-2
1103.309	0	4
1105.535	0	2
1105.586	0	        Tiredness_response-1
1158.531	0	128
1158.594	0	        audio_probe
1161.758	0	4
1161.794	0	        Mind-wandering_response-2
1165.194	0	        Meditation_response-1
1165.215	0	2
1167.586	0	2
1167.595	0	        Tiredness_response-1
1234.590	0	128
1234.604	0	        audio_probe
1240.383	0	2
1240.405	0	        Mind-wandering_response-1
1243.005	0	        Meditation_response-0
1245.205	0	        Tiredness_response-0
1350.203	0	128
1350.220	0	        audio_probe
1352.920	0	        Mind-wandering_response-0
1355.121	0	        Meditation_response-1
1355.152	0	2
1357.421	0	        Tiredness_response-0
1441.363	0	128
1441.432	0	        audio_probe
1446.933	0	        Mind-wandering_response-0
1450.066	0	4
1450.134	0	        Meditation_response-2
