name	type	units	description	status
A1	EEG	uV	Fp1	Good
A2	EEG	uV	AF7	Good
A3	EEG	uV	AF3	Good
A4	EEG	uV	F1	Good
A5	EEG	uV	F3	Good
A6	EEG	uV	F5	Good
A7	EEG	uV	F7	Good
A8	EEG	uV	FT7	Good
A9	EEG	uV	FC5	Good
A10	EEG	uV	FC3	Good
A11	EEG	uV	FC1	Good
A12	EEG	uV	C1	Good
A13	EEG	uV	C3	Good
A14	EEG	uV	C5	Good
A15	EEG	uV	T7	Good
A16	EEG	uV	TP7	Good
A17	EEG	uV	CP5	Good
A18	EEG	uV	CP3	Good
A19	EEG	uV	CP1	Good
A20	EEG	uV	P1	Good
A21	EEG	uV	P3	Good
A22	EEG	uV	P5	Good
A23	EEG	uV	P7	Good
A24	EEG	uV	P9	Good
A25	EEG	uV	PO7	Good
A26	EEG	uV	PO3	Good
A27	EEG	uV	O1	Good
A28	EEG	uV	Iz	Good
A29	EEG	uV	Oz	Good
A30	EEG	uV	POz	Good
A31	EEG	uV	Pz	Good
A32	EEG	uV	CPz	Good
B1	EEG	uV	Fpz	Good
B2	EEG	uV	Fp2	Good
B3	EEG	uV	AF8	Good
B4	EEG	uV	AF4	Good
B5	EEG	uV	AFz	Good
B6	EEG	uV	Fz	Good
B7	EEG	uV	F2	Good
B8	EEG	uV	F4	Good
B9	EEG	uV	F6	Good
B10	EEG	uV	F8	Good
B11	EEG	uV	FT8	Good
B12	EEG	uV	FC6	Good
B13	EEG	uV	FC4	Good
B14	EEG	uV	FC2	Good
B15	EEG	uV	FCz	Good
B16	EEG	uV	Cz	Good
B17	EEG	uV	C2	Good
B18	EEG	uV	C4	Good
B19	EEG	uV	C6	Good
B20	EEG	uV	T8	Good
B21	EEG	uV	TP8	Good
B22	EEG	uV	CP6	Good
B23	EEG	uV	CP4	Good
B24	EEG	uV	CP2	Good
B25	EEG	uV	P2	Good
B26	EEG	uV	P4	Good
B27	EEG	uV	P6	Good
B28	EEG	uV	P8	Good
B29	EEG	uV	P10	Good
B30	EEG	uV	PO8	Good
B31	EEG	uV	PO4	Good
B32	EEG	uV	O2	Good
EXG1	EEG	uV	EXG1	Unused
EXG2	EEG	uV	EXG2	Unused
EXG3	EEG	uV	EXG3	Unused
EXG4	EEG	uV	EXG4	Unused
EXG5	EEG	uV	EXG5	Unused
EXG6	EEG	uV	EXG6	Unused
EXG7	EEG	uV	EXG7	Unused
EXG8	EEG	uV	EXG8	Unused
GSR1	GSR	uV	GSR1	Unused
GSR2	GSR	uV	GSR2	Unused
Erg1	Varied	uV	Erg1	Unused
Erg2	Varied	uV	Erg2	Unused
Resp	Respiration	uV	Resp	Unused
Plet	Plet	uV	Plet	Unused
Temp	Temperature	uV	Temp	Unused
