onset	duration	annotation_type	sleep_stage	original_label	scoring_standard	annotation_method	annotator_id	channel	confidence
0	30	sleep_stage	wake	W	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
0	30	sleep_stage	wake	W	aasm_5stage	automated	yasa_0_6_5	C3	0.94
30	30	sleep_stage	n1	S1	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
30	30	sleep_stage	wake	W	aasm_5stage	automated	yasa_0_6_5	C3	0.55
60	30	sleep_stage	n2	S2	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
60	30	sleep_stage	n2	N2	aasm_5stage	automated	yasa_0_6_5	C3	0.83
90	30	sleep_stage	n3	S3	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
90	30	sleep_stage	n3	N3	aasm_5stage	automated	yasa_0_6_5	C3	0.78
120	30	sleep_stage	n3	S4	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
120	30	sleep_stage	n3	N3	aasm_5stage	automated	yasa_0_6_5	C3	0.74
150	30	sleep_stage	rem	REM	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
150	30	sleep_stage	rem	REM	aasm_5stage	automated	yasa_0_6_5	C3	0.89
180	30	movement_artifact	n/a	M	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
180	30	sleep_stage	n1	N1	aasm_5stage	automated	yasa_0_6_5	C3	0.51
210	30	unscored	n/a	unknown	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
210	30	sleep_stage	n2	N2	aasm_5stage	automated	yasa_0_6_5	C3	0.58
240	30	sleep_stage	n2	S2	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
240	30	sleep_stage	n1	N1	aasm_5stage	automated	yasa_0_6_5	C3	0.48
270	30	sleep_stage	wake	W	rk_1968	manual_consensus	expert_consensus	C3|C4|EOG-L|EOG-R|Chin1	n/a
270	30	sleep_stage	wake	W	aasm_5stage	automated	yasa_0_6_5	C3	0.91
