name	type	units	target_muscle	signal_electrode	reference	group
EMG0	EMG	V	forearm muscles	EMG0	bipolar	left
EMG1	EMG	V	forearm muscles	EMG1	bipolar	left
EMG2	EMG	V	forearm muscles	EMG2	bipolar	left
EMG3	EMG	V	forearm muscles	EMG3	bipolar	left
EMG4	EMG	V	forearm muscles	EMG4	bipolar	left
EMG5	EMG	V	forearm muscles	EMG5	bipolar	left
EMG6	EMG	V	forearm muscles	EMG6	bipolar	left
EMG7	EMG	V	forearm muscles	EMG7	bipolar	left
EMG8	EMG	V	forearm muscles	EMG8	bipolar	left
EMG9	EMG	V	forearm muscles	EMG9	bipolar	left
EMG10	EMG	V	forearm muscles	EMG10	bipolar	left
EMG11	EMG	V	forearm muscles	EMG11	bipolar	left
EMG12	EMG	V	forearm muscles	EMG12	bipolar	left
EMG13	EMG	V	forearm muscles	EMG13	bipolar	left
EMG14	EMG	V	forearm muscles	EMG14	bipolar	left
EMG15	EMG	V	forearm muscles	EMG15	bipolar	left
EMG16	EMG	V	forearm muscles	EMG0	bipolar	right
EMG17	EMG	V	forearm muscles	EMG1	bipolar	right
EMG18	EMG	V	forearm muscles	EMG2	bipolar	right
EMG19	EMG	V	forearm muscles	EMG3	bipolar	right
EMG20	EMG	V	forearm muscles	EMG4	bipolar	right
EMG21	EMG	V	forearm muscles	EMG5	bipolar	right
EMG22	EMG	V	forearm muscles	EMG6	bipolar	right
EMG23	EMG	V	forearm muscles	EMG7	bipolar	right
EMG24	EMG	V	forearm muscles	EMG8	bipolar	right
EMG25	EMG	V	forearm muscles	EMG9	bipolar	right
EMG26	EMG	V	forearm muscles	EMG10	bipolar	right
EMG27	EMG	V	forearm muscles	EMG11	bipolar	right
EMG28	EMG	V	forearm muscles	EMG12	bipolar	right
EMG29	EMG	V	forearm muscles	EMG13	bipolar	right
EMG30	EMG	V	forearm muscles	EMG14	bipolar	right
EMG31	EMG	V	forearm muscles	EMG15	bipolar	right
