	name	x	y	z	coordinate_system	Group	ElectrodeMaterial	InterelectrodeDistance	ElectrodeSurfaceArea	ElectrodeManufacturer	ElectrodeManufacturerModelName	ElectrodeType
1	sEMG1	0.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
2	sEMG2	4.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
3	sEMG3	8.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
4	sEMG4	12.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
5	sEMG5	16.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
6	sEMG6	20.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
7	sEMG7	24.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
8	sEMG8	28.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
9	sEMG9	32.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
10	sEMG10	36.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
11	sEMG11	40.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
12	sEMG12	44.00	0.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
13	sEMG13	44.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
14	sEMG14	40.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
15	sEMG15	36.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
16	sEMG16	32.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
17	sEMG17	28.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
18	sEMG18	24.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
19	sEMG19	20.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
20	sEMG20	16.00	4.00	n/a	grid1	Grid1	gold	4	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
