name	type	units	reference_electrode	target_muscle	group	signal_electrode
EMG1	EMG	V	R1	vastus medialis	Grid1	E1
EMG2	EMG	V	R1	vastus medialis	Grid1	E2
EMG3	EMG	V	R1	vastus medialis	Grid1	E3
EMG4	EMG	V	R1	vastus medialis	Grid1	E4
EMG5	EMG	V	R1	vastus medialis	Grid1	E5
EMG6	EMG	V	R1	vastus medialis	Grid1	E6
EMG7	EMG	V	R1	vastus medialis	Grid1	E7
EMG8	EMG	V	R1	vastus medialis	Grid1	E8
EMG9	EMG	V	R1	vastus medialis	Grid1	E9
EMG10	EMG	V	R1	vastus medialis	Grid1	E10
EMG11	EMG	V	R1	vastus medialis	Grid1	E11
EMG12	EMG	V	R1	vastus medialis	Grid1	E12
EMG13	EMG	V	R1	vastus medialis	Grid1	E13
EMG14	EMG	V	R1	vastus medialis	Grid1	E14
EMG15	EMG	V	R1	vastus medialis	Grid1	E15
EMG16	EMG	V	R1	vastus medialis	Grid1	E16
EMG17	EMG	V	R1	vastus medialis	Grid1	E17
EMG18	EMG	V	R1	vastus medialis	Grid1	E18
EMG19	EMG	V	R1	vastus medialis	Grid1	E19
EMG20	EMG	V	R1	vastus medialis	Grid1	E20
EMG21	EMG	V	R1	vastus medialis	Grid1	E21
EMG22	EMG	V	R1	vastus medialis	Grid1	E22
EMG23	EMG	V	R1	vastus medialis	Grid1	E23
EMG24	EMG	V	R1	vastus medialis	Grid1	E24
EMG25	EMG	V	R1	vastus medialis	Grid1	E25
EMG26	EMG	V	R1	vastus medialis	Grid1	E26
EMG27	EMG	V	R1	vastus medialis	Grid1	E27
EMG28	EMG	V	R1	vastus medialis	Grid1	E28
EMG29	EMG	V	R1	vastus medialis	Grid1	E29
EMG30	EMG	V	R1	vastus medialis	Grid1	E30
EMG31	EMG	V	R1	vastus medialis	Grid1	E31
EMG32	EMG	V	R1	vastus medialis	Grid1	E32
EMG33	EMG	V	R1	vastus medialis	Grid1	E33
EMG34	EMG	V	R1	vastus medialis	Grid1	E34
EMG35	EMG	V	R1	vastus medialis	Grid1	E35
EMG36	EMG	V	R1	vastus medialis	Grid1	E36
EMG37	EMG	V	R1	vastus medialis	Grid1	E37
EMG38	EMG	V	R1	vastus medialis	Grid1	E38
EMG39	EMG	V	R1	vastus medialis	Grid1	E39
EMG40	EMG	V	R1	vastus medialis	Grid1	E40
EMG41	EMG	V	R1	vastus medialis	Grid1	E41
EMG42	EMG	V	R1	vastus medialis	Grid1	E42
EMG43	EMG	V	R1	vastus medialis	Grid1	E43
EMG44	EMG	V	R1	vastus medialis	Grid1	E44
EMG45	EMG	V	R1	vastus medialis	Grid1	E45
EMG46	EMG	V	R1	vastus medialis	Grid1	E46
EMG47	EMG	V	R1	vastus medialis	Grid1	E47
EMG48	EMG	V	R1	vastus medialis	Grid1	E48
EMG49	EMG	V	R1	vastus medialis	Grid1	E49
EMG50	EMG	V	R1	vastus medialis	Grid1	E50
EMG51	EMG	V	R1	vastus medialis	Grid1	E51
EMG52	EMG	V	R1	vastus medialis	Grid1	E52
EMG53	EMG	V	R1	vastus medialis	Grid1	E53
EMG54	EMG	V	R1	vastus medialis	Grid1	E54
EMG55	EMG	V	R1	vastus medialis	Grid1	E55
EMG56	EMG	V	R1	vastus medialis	Grid1	E56
EMG57	EMG	V	R1	vastus medialis	Grid1	E57
EMG58	EMG	V	R1	vastus medialis	Grid1	E58
EMG59	EMG	V	R1	vastus medialis	Grid1	E59
EMG60	EMG	V	R1	vastus medialis	Grid1	E60
EMG61	EMG	V	R1	vastus medialis	Grid1	E61
EMG62	EMG	V	R1	vastus medialis	Grid1	E62
EMG63	EMG	V	R1	vastus medialis	Grid1	E63
EMG64	EMG	V	R1	vastus medialis	Grid1	E64
EMG65	EMG	V	R2	vastus lateralis	Grid2	E65
EMG66	EMG	V	R2	vastus lateralis	Grid2	E66
EMG67	EMG	V	R2	vastus lateralis	Grid2	E67
EMG68	EMG	V	R2	vastus lateralis	Grid2	E68
EMG69	EMG	V	R2	vastus lateralis	Grid2	E69
EMG70	EMG	V	R2	vastus lateralis	Grid2	E70
EMG71	EMG	V	R2	vastus lateralis	Grid2	E71
EMG72	EMG	V	R2	vastus lateralis	Grid2	E72
EMG73	EMG	V	R2	vastus lateralis	Grid2	E73
EMG74	EMG	V	R2	vastus lateralis	Grid2	E74
EMG75	EMG	V	R2	vastus lateralis	Grid2	E75
EMG76	EMG	V	R2	vastus lateralis	Grid2	E76
EMG77	EMG	V	R2	vastus lateralis	Grid2	E77
EMG78	EMG	V	R2	vastus lateralis	Grid2	E78
EMG79	EMG	V	R2	vastus lateralis	Grid2	E79
EMG80	EMG	V	R2	vastus lateralis	Grid2	E80
EMG81	EMG	V	R2	vastus lateralis	Grid2	E81
EMG82	EMG	V	R2	vastus lateralis	Grid2	E82
EMG83	EMG	V	R2	vastus lateralis	Grid2	E83
EMG84	EMG	V	R2	vastus lateralis	Grid2	E84
EMG85	EMG	V	R2	vastus lateralis	Grid2	E85
EMG86	EMG	V	R2	vastus lateralis	Grid2	E86
EMG87	EMG	V	R2	vastus lateralis	Grid2	E87
EMG88	EMG	V	R2	vastus lateralis	Grid2	E88
EMG89	EMG	V	R2	vastus lateralis	Grid2	E89
EMG90	EMG	V	R2	vastus lateralis	Grid2	E90
EMG91	EMG	V	R2	vastus lateralis	Grid2	E91
EMG92	EMG	V	R2	vastus lateralis	Grid2	E92
EMG93	EMG	V	R2	vastus lateralis	Grid2	E93
EMG94	EMG	V	R2	vastus lateralis	Grid2	E94
EMG95	EMG	V	R2	vastus lateralis	Grid2	E95
EMG96	EMG	V	R2	vastus lateralis	Grid2	E96
EMG97	EMG	V	R2	vastus lateralis	Grid2	E97
EMG98	EMG	V	R2	vastus lateralis	Grid2	E98
EMG99	EMG	V	R2	vastus lateralis	Grid2	E99
EMG100	EMG	V	R2	vastus lateralis	Grid2	E100
EMG101	EMG	V	R2	vastus lateralis	Grid2	E101
EMG102	EMG	V	R2	vastus lateralis	Grid2	E102
EMG103	EMG	V	R2	vastus lateralis	Grid2	E103
EMG104	EMG	V	R2	vastus lateralis	Grid2	E104
EMG105	EMG	V	R2	vastus lateralis	Grid2	E105
EMG106	EMG	V	R2	vastus lateralis	Grid2	E106
EMG107	EMG	V	R2	vastus lateralis	Grid2	E107
EMG108	EMG	V	R2	vastus lateralis	Grid2	E108
EMG109	EMG	V	R2	vastus lateralis	Grid2	E109
EMG110	EMG	V	R2	vastus lateralis	Grid2	E110
EMG111	EMG	V	R2	vastus lateralis	Grid2	E111
EMG112	EMG	V	R2	vastus lateralis	Grid2	E112
EMG113	EMG	V	R2	vastus lateralis	Grid2	E113
EMG114	EMG	V	R2	vastus lateralis	Grid2	E114
EMG115	EMG	V	R2	vastus lateralis	Grid2	E115
EMG116	EMG	V	R2	vastus lateralis	Grid2	E116
EMG117	EMG	V	R2	vastus lateralis	Grid2	E117
EMG118	EMG	V	R2	vastus lateralis	Grid2	E118
EMG119	EMG	V	R2	vastus lateralis	Grid2	E119
EMG120	EMG	V	R2	vastus lateralis	Grid2	E120
EMG121	EMG	V	R2	vastus lateralis	Grid2	E121
EMG122	EMG	V	R2	vastus lateralis	Grid2	E122
EMG123	EMG	V	R2	vastus lateralis	Grid2	E123
EMG124	EMG	V	R2	vastus lateralis	Grid2	E124
EMG125	EMG	V	R2	vastus lateralis	Grid2	E125
EMG126	EMG	V	R2	vastus lateralis	Grid2	E126
EMG127	EMG	V	R2	vastus lateralis	Grid2	E127
EMG128	EMG	V	R2	vastus lateralis	Grid2	E128
