onset	duration	sample	event_description
10	300	102400	steady isometric torque (10 % MVC)
12	0.0001	122880	H-reflex
14	0.0001	143360	H-reflex
16	0.0001	163840	H-reflex
18	0.0001	184320	H-reflex
20	0.0001	204800	H-reflex
22	0.0001	225280	H-reflex
24	0.0001	245760	H-reflex
26	0.0001	266240	H-reflex
28	0.0001	286720	H-reflex
30	0.0001	307200	H-reflex
32	0.0001	327680	H-reflex
34	0.0001	348160	H-reflex
36	0.0001	368640	H-reflex
38	0.0001	389120	H-reflex
40	0.0001	409600	H-reflex
42	0.0001	430080	H-reflex
44	0.0001	450560	H-reflex
46	0.0001	471040	H-reflex
48	0.0001	491520	H-reflex
50	0.0001	512000	H-reflex
52	0.0001	532480	H-reflex
54	0.0001	552960	H-reflex
56	0.0001	573440	H-reflex
58	0.0001	593920	H-reflex
60	0.0001	614400	H-reflex
62	0.0001	634880	H-reflex
64	0.0001	655360	H-reflex
66	0.0001	675840	H-reflex
68	0.0001	696320	H-reflex
70	0.0001	716800	H-reflex
72	0.0001	737280	H-reflex
74	0.0001	757760	H-reflex
76	0.0001	778240	H-reflex
78	0.0001	798720	H-reflex
80	0.0001	819200	H-reflex
82	0.0001	839680	H-reflex
84	0.0001	860160	H-reflex
86	0.0001	880640	H-reflex
88	0.0001	901120	H-reflex
90	0.0001	921600	H-reflex
92	0.0001	942080	H-reflex
94	0.0001	962560	H-reflex
96	0.0001	983040	H-reflex
98	0.0001	1003520	H-reflex
100	0.0001	1024000	H-reflex
102	0.0001	1044480	H-reflex
104	0.0001	1064960	H-reflex
106	0.0001	1085440	H-reflex
108	0.0001	1105920	H-reflex
110	0.0001	1126400	H-reflex
112	0.0001	1146880	H-reflex
114	0.0001	1167360	H-reflex
116	0.0001	1187840	H-reflex
118	0.0001	1208320	H-reflex
120	0.0001	1228800	H-reflex
122	0.0001	1249280	H-reflex
124	0.0001	1269760	H-reflex
126	0.0001	1290240	H-reflex
128	0.0001	1310720	H-reflex
130	0.0001	1331200	H-reflex
132	0.0001	1351680	H-reflex
134	0.0001	1372160	H-reflex
136	0.0001	1392640	H-reflex
138	0.0001	1413120	H-reflex
140	0.0001	1433600	H-reflex
142	0.0001	1454080	H-reflex
144	0.0001	1474560	H-reflex
146	0.0001	1495040	H-reflex
148	0.0001	1515520	H-reflex
150	0.0001	1536000	H-reflex
152	0.0001	1556480	H-reflex
154	0.0001	1576960	H-reflex
156	0.0001	1597440	H-reflex
158	0.0001	1617920	H-reflex
160	0.0001	1638400	H-reflex
162	0.0001	1658880	H-reflex
164	0.0001	1679360	H-reflex
166	0.0001	1699840	H-reflex
168	0.0001	1720320	H-reflex
170	0.0001	1740800	H-reflex
172	0.0001	1761280	H-reflex
174	0.0001	1781760	H-reflex
176	0.0001	1802240	H-reflex
178	0.0001	1822720	H-reflex
180	0.0001	1843200	H-reflex
182	0.0001	1863680	H-reflex
184	0.0001	1884160	H-reflex
186	0.0001	1904640	H-reflex
188	0.0001	1925120	H-reflex
190	0.0001	1945600	H-reflex
192	0.0001	1966080	H-reflex
194	0.0001	1986560	H-reflex
196	0.0001	2007040	H-reflex
198	0.0001	2027520	H-reflex
200	0.0001	2048000	H-reflex
202	0.0001	2068480	H-reflex
204	0.0001	2088960	H-reflex
206	0.0001	2109440	H-reflex
208	0.0001	2129920	H-reflex
210	0.0001	2150400	H-reflex
212	0.0001	2170880	H-reflex
214	0.0001	2191360	H-reflex
216	0.0001	2211840	H-reflex
218	0.0001	2232320	H-reflex
220	0.0001	2252800	H-reflex
222	0.0001	2273280	H-reflex
224	0.0001	2293760	H-reflex
226	0.0001	2314240	H-reflex
228	0.0001	2334720	H-reflex
230	0.0001	2355200	H-reflex
232	0.0001	2375680	H-reflex
234	0.0001	2396160	H-reflex
236	0.0001	2416640	H-reflex
238	0.0001	2437120	H-reflex
240	0.0001	2457600	H-reflex
242	0.0001	2478080	H-reflex
244	0.0001	2498560	H-reflex
246	0.0001	2519040	H-reflex
248	0.0001	2539520	H-reflex
250	0.0001	2560000	H-reflex
252	0.0001	2580480	H-reflex
254	0.0001	2600960	H-reflex
256	0.0001	2621440	H-reflex
258	0.0001	2641920	H-reflex
260	0.0001	2662400	H-reflex
262	0.0001	2682880	H-reflex
264	0.0001	2703360	H-reflex
266	0.0001	2723840	H-reflex
268	0.0001	2744320	H-reflex
270	0.0001	2764800	H-reflex
272	0.0001	2785280	H-reflex
274	0.0001	2805760	H-reflex
276	0.0001	2826240	H-reflex
278	0.0001	2846720	H-reflex
280	0.0001	2867200	H-reflex
282	0.0001	2887680	H-reflex
284	0.0001	2908160	H-reflex
286	0.0001	2928640	H-reflex
288	0.0001	2949120	H-reflex
290	0.0001	2969600	H-reflex
