onset	duration	sample	value	sync_event
0	n/a	0	n/a	0
0.007462687	n/a	1	n/a	0
0.014925373	8	2	0	0
0.074626866	226	10	93	0
1.76119403	46	236	4	1
2.104477612	348	282	8	1
4.701492537	76	630	4	1
5.268656716	433	706	8	1
8.5	76	1139	4	1
9.067164179	434	1215	8	1
12.30597015	76	1649	4	1
12.87313433	413	1725	8	1
15.95522388	76	2138	4	1
16.52238806	360	2214	8	1
19.20895522	57	2574	4	1
19.63432836	353	2631	8	1
22.26865672	76	2984	4	1
22.8358209	353	3060	8	1
25.47014925	76	3413	4	1
26.03731343	434	3489	8	1
29.2761194	77	3923	4	1
29.85074627	433	4000	8	1
33.08208955	77	4433	4	1
33.65671642	375	4510	8	1
36.45522388	76	4885	4	1
37.02238806	434	4961	8	1
40.26119403	77	5395	4	1
40.8358209	405	5472	8	1
43.85820896	63	5877	4	1
44.32835821	392	5940	8	1
47.25373134	77	6332	4	1
47.82835821	406	6409	8	1
50.85820896	50	6815	4	1
51.23134328	375	6865	8	1
54.02985075	75	7240	4	1
54.58955224	339	7315	8	1
57.11940299	76	7654	4	1
57.68656716	430	7730	8	1
60.89552239	46	8160	4	1
61.23880597	418	8206	8	1
64.35820896	77	8624	4	1
64.93283582	431	8701	8	1
68.14925373	44	9132	4	1
68.47761194	330	9176	8	1
70.94029851	62	9506	4	1
71.40298507	400	9568	8	1
74.3880597	57	9968	4	1
74.81343284	417	10025	8	1
77.92537313	76	10442	4	1
78.49253731	347	10518	8	1
81.08208955	76	10865	4	1
81.64925373	397	10941	8	1
84.6119403	47	11338	4	1
84.96268657	277	11385	8	1
87.02985075	61	11662	4	1
87.48507463	435	11723	8	1
90.73134328	55	12158	4	1
91.14179104	364	12213	8	1
93.85820896	75	12577	4	1
94.41791045	400	12652	8	1
97.40298507	77	13052	4	1
97.97761194	433	13129	8	1
101.2089552	75	13562	4	1
101.7686567	373	13637	8	1
104.5522388	49	14010	4	1
104.9179104	368	14059	8	1
107.6641791	76	14427	4	1
108.2313433	404	14503	8	1
111.2462687	75	14907	4	1
111.8059701	400	14982	8	1
114.7910448	77	15382	4	1
115.3656716	431	15459	8	1
118.5820896	75	15890	4	1
119.141791	434	15965	8	1
122.380597	48	16399	4	1
122.738806	338	16447	8	1
125.261194	77	16785	4	1
125.8358209	347	16862	8	1
128.4253731	70	17209	4	1
128.9477612	394	17279	8	1
131.8880597	76	17673	4	1
132.4552239	435	17749	8	1
135.7014925	58	18184	4	1
136.1343284	431	18242	8	1
139.3507463	73	18673	4	1
139.8955224	391	18746	8	1
142.8134328	30	19137	4	1
143.0373134	434	19167	8	1
146.2761194	76	19601	4	1
146.8432836	397	19677	8	1
149.8059701	75	20074	4	1
150.3656716	434	20149	8	1
153.6044776	77	20583	4	1
154.1791045	380	20660	8	1
157.0149254	59	21040	4	1
157.4552239	375	21099	8	1
160.2537313	59	21474	4	1
160.6940299	398	21533	8	1
163.6641791	76	21931	4	1
164.2313433	434	22007	8	1
167.4701493	39	22441	4	1
167.761194	432	22480	8	1
170.9850746	60	22912	4	1
171.4328358	402	22972	8	1
174.4328358	30	23374	4	1
174.6567164	309	23404	8	1
176.9626866	61	23713	4	1
177.4179104	434	23774	8	1
180.6567164	67	24208	4	1
181.1567164	316	24275	8	1
183.5149254	55	24591	4	1
183.9253731	280	24646	8	1
186.0149254	70	24926	4	1
186.5373134	381	24996	8	1
189.380597	48	25377	4	1
189.738806	410	25425	8	1
192.7985075	62	25835	4	1
193.261194	349	25897	8	1
195.8656716	76	26246	4	1
196.4328358	409	26322	8	1
199.4850746	76	26731	4	1
200.0522388	433	26807	8	1
203.2835821	77	27240	4	1
203.858209	401	27317	8	1
206.8507463	63	27718	4	1
207.3208955	431	27781	8	1
210.5373134	76	28212	4	1
211.1044776	386	28288	8	1
213.9850746	76	28674	4	1
214.5522388	427	28750	8	1
217.738806	52	29177	4	1
218.1268657	679	29229	8	1
