name	type	x	y	z	template_x	template_y	template_z
Rx2	detector	51.54483661	45.9932106	112.0851865	n/a	n/a	n/a
Rx1	detector	29.24870171	61.9464998	105.047001	n/a	n/a	n/a
Rx4	detector	30.96232738	16.32015052	140.1168751	n/a	n/a	n/a
Rx3	detector	-1.181356959	41.28509775	134.9165629	n/a	n/a	n/a
Rx6	detector	-41.14937688	74.23106165	92.45261136	n/a	n/a	n/a
Rx5	detector	63.28737845	67.41366534	36.9658325	n/a	n/a	n/a
Rx8	detector	-51.53753873	45.95715412	119.1363839	n/a	n/a	n/a
Rx7	detector	41.79428105	72.55574372	67.83746875	n/a	n/a	n/a
Rx9	detector	70.24835356	-62.4057837	40.16469923	n/a	n/a	n/a
Rx11	detector	49.98188052	-68.03388234	69.80433832	n/a	n/a	n/a
Rx10	detector	-30.33430775	-79.33082204	81.31270077	n/a	n/a	n/a
Rx12	detector	-46.25509662	-57.05486133	114.0860897	n/a	n/a	n/a
Tx1a	source	59.14211871	46.72008995	106.2141057	n/a	n/a	n/a
Tx4	source	53.28627981	15.94478758	126.0702295	n/a	n/a	n/a
Tx1b	source	37.01129901	61.40282459	100.3889941	n/a	n/a	n/a
Tx3	source	27.36804313	46.80091175	126.6316443	n/a	n/a	n/a
Tx1c	source	30.74742303	5.456906327	140.3723055	n/a	n/a	n/a
Tx2	source	1.95873742	65.2070951	111.9242371	n/a	n/a	n/a
Tx5	source	5.245218213	10.14410533	144.6568967	n/a	n/a	n/a
Tx1d	source	-11.00552782	41.36569549	136.1034341	n/a	n/a	n/a
Tx6a	source	-35.15542161	77.99256591	83.623951	n/a	n/a	n/a
Tx9	source	-68.68141545	56.79273337	93.66838654	n/a	n/a	n/a
Tx6b	source	68.01123704	62.90041707	29.05989629	n/a	n/a	n/a
Tx8	source	29.87030327	79.14431065	40.50969363	n/a	n/a	n/a
Tx6c	source	-52.75854572	37.65653654	123.9541436	n/a	n/a	n/a
Tx7	source	71.76191101	59.4835632	64.85532468	n/a	n/a	n/a
Tx10	source	-28.9554919	61.10148505	118.365585	n/a	n/a	n/a
Tx6d	source	36.08373141	72.36566327	75.58180916	n/a	n/a	n/a
Tx12	source	46.52549122	-75.19877467	39.6344516	n/a	n/a	n/a
Tx13	source	78.31938886	-54.44410411	68.09432729	n/a	n/a	n/a
Tx14	source	-58.89603811	-67.72447113	88.19670544	n/a	n/a	n/a
Tx15	source	-16.26408753	-71.54697929	108.5254926	n/a	n/a	n/a
Tx11a	source	75.4839008	-57.59648359	31.68141215	n/a	n/a	n/a
Tx11b	source	-25.71341392	-81.23648818	75.45614256	n/a	n/a	n/a
Tx11c	source	42.82501809	-70.99002958	73.74831711	n/a	n/a	n/a
Tx11d	source	-48.61382432	-49.18339227	117.9976438	n/a	n/a	n/a
