onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
12.9799999999814	22.02	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
35	10.6892576999962	1	stimulus	n/a	n/a	OQCQQGGG	3	3	0	test trial
36.0100000000093	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
36.6499999999069	0	1	foot step	3	3	n/a	n/a	n/a	0	test trial
37.3500000000931	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
38.0300000000279	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
38.7399999999907	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
39.3400000000838	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
40.0700000000652	0	1	foot step	2	2	n/a	n/a	n/a	0	test trial
40.7700000000186	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
41.4599999999627	0	1	foot step	3	3	n/a	n/a	n/a	0	test trial
42.2099999999627	0	1	foot step	2	2	n/a	n/a	n/a	0	test trial
42.7900000000373	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
45.6999999999534	5	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
68.8600000001024	23.02	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
91.8704334001523	8.31065739993937	2	stimulus	n/a	n/a	GQQOOOCG	2	2	1	n/a
92.9204334001988	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
93.5604334000964	0	2	foot step	3	3	n/a	n/a	n/a	1	n/a
94.2604334000498	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
94.9404334002174	0	2	foot step	1	1	n/a	n/a	n/a	1	n/a
95.6204334001523	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
96.2904334000777	0	2	foot step	1	1	n/a	n/a	n/a	1	n/a
97.0204334000591	0	2	foot step	2	2	n/a	n/a	n/a	1	n/a
97.7304334002547	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
