name	type	units	sampling_frequency	source	detector	wavelength_nominal	wavelength_actual	short_channel
Rx2-Tx4 [757nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx4	Rx2	760	756	False
Rx2-Tx4 [855nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx4	Rx2	850	854	False
Rx2-Tx3 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx2	760	757	False
Rx2-Tx3 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx2	850	855	False
Rx2-Tx1a [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1a	Rx2	760	756	True
Rx2-Tx1a [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1a	Rx2	850	844	True
Rx1-Tx3 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx1	760	757	False
Rx1-Tx3 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx1	850	855	False
Rx1-Tx2 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx2	Rx1	760	756	False
Rx1-Tx2 [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx2	Rx1	850	853	False
Rx1-Tx1b [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1b	Rx1	760	756	True
Rx1-Tx1b [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1b	Rx1	850	844	True
Rx4-Tx4 [757nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx4	Rx4	760	756	False
Rx4-Tx4 [855nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx4	Rx4	850	854	False
Rx4-Tx3 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx4	760	757	False
Rx4-Tx3 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx4	850	855	False
Rx4-Tx5 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx5	Rx4	760	757	False
Rx4-Tx5 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx5	Rx4	850	853	False
Rx4-Tx1c [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1c	Rx4	760	756	True
Rx4-Tx1c [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1c	Rx4	850	844	True
Rx3-Tx3 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx3	760	757	False
Rx3-Tx3 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx3	Rx3	850	855	False
Rx3-Tx2 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx2	Rx3	760	756	False
Rx3-Tx2 [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx2	Rx3	850	853	False
Rx3-Tx5 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx5	Rx3	760	757	False
Rx3-Tx5 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx5	Rx3	850	853	False
Rx3-Tx1d [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1d	Rx3	760	756	True
Rx3-Tx1d [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx1d	Rx3	850	844	True
Rx6-Tx9 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx9	Rx6	760	757	False
Rx6-Tx9 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx9	Rx6	850	854	False
Rx6-Tx6a [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx6a	Rx6	760	756	True
Rx6-Tx6a [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx6a	Rx6	850	844	True
Rx5-Tx8 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx8	Rx5	760	757	False
Rx5-Tx8 [844nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx8	Rx5	850	853	False
Rx5-Tx7 [757nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx7	Rx5	760	757	False
Rx5-Tx7 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx7	Rx5	850	853	False
