onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
13	22	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
35	7.89723330002744	1	stimulus	n/a	n/a	QOGOCQQQ	1	1	0	test trial
36.2700000000186	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
36.9500000000116	0	1	foot step	3	3	n/a	n/a	n/a	0	test trial
37.5800000000163	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
38.2399999999907	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
38.8800000000047	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
39.5	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
40.1500000000233	0	1	foot step	2	2	n/a	n/a	n/a	0	test trial
40.820000000007	0	1	foot step	4	4	n/a	n/a	n/a	0	test trial
41.460000000021	0	1	foot step	3	3	n/a	n/a	n/a	0	test trial
42.140000000014	0	1	foot step	2	2	n/a	n/a	n/a	0	test trial
42.7700000000186	0	1	foot step	1	1	n/a	n/a	n/a	0	test trial
42.9000000000233	5	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
43.429999999993	0	1	foot step	2	2	n/a	n/a	n/a	0	test trial
55.539999999979	23	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
78.5390663000289	10.201671399991	2	stimulus	n/a	n/a	OGOOOCCG	2	2	1	n/a
79.6790663000429	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
80.3790663000545	0	2	foot step	3	3	n/a	n/a	n/a	1	n/a
81.0290663000196	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
81.6890663000522	0	2	foot step	1	1	n/a	n/a	n/a	1	n/a
82.3190663000569	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
82.9590663000126	0	2	foot step	1	1	n/a	n/a	n/a	1	n/a
83.5890663000173	0	2	foot step	2	2	n/a	n/a	n/a	1	n/a
84.2990663000382	0	2	foot step	4	4	n/a	n/a	n/a	1	n/a
84.9590663000126	0	2	foot step	3	3	n/a	n/a	n/a	1	n/a
85.649066300015	0	2	foot step	2	2	n/a	n/a	n/a	1	n/a
86.2990663000382	0	2	foot step	1	1	n/a	n/a	n/a	1	n/a
86.9190663000336	0	2	foot step	2	2	n/a	n/a	n/a	1	n/a
88.7600000000093	5	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
98.5599999999977	23	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
121.560163600021	10.9698594000074	3	stimulus	n/a	n/a	OQGCGCGG	4	4	1	n/a
123.07016360003	0	3	foot step	4	4	n/a	n/a	n/a	1	n/a
123.780163599993	0	3	foot step	3	3	n/a	n/a	n/a	1	n/a
124.470163599995	0	3	foot step	4	4	n/a	n/a	n/a	1	n/a
125.090163600049	0	3	foot step	1	1	n/a	n/a	n/a	1	n/a
125.790163600002	0	3	foot step	4	4	n/a	n/a	n/a	1	n/a
126.450163600035	0	3	foot step	1	1	n/a	n/a	n/a	1	n/a
127.170163600007	0	3	foot step	2	2	n/a	n/a	n/a	1	n/a
127.860163600009	0	3	foot step	4	4	n/a	n/a	n/a	1	n/a
128.670163600007	0	3	foot step	3	3	n/a	n/a	n/a	1	n/a
129.360163600009	0	3	foot step	2	2	n/a	n/a	n/a	1	n/a
130.010163600033	0	3	foot step	1	1	n/a	n/a	n/a	1	n/a
130.700163600035	0	3	foot step	2	2	n/a	n/a	n/a	1	n/a
132.539999999979	5	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
141.099999999977	22	4	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
163.097913799982	9.50686140003381	4	stimulus	n/a	n/a	GOOCGCOQ	2	2	1	n/a
164.15791379998	0	4	foot step	4	4	n/a	n/a	n/a	1	n/a
164.847913799982	0	4	foot step	3	3	n/a	n/a	n/a	1	n/a
165.557913800003	0	4	foot step	4	4	n/a	n/a	n/a	1	n/a
166.207913799968	0	4	foot step	1	1	n/a	n/a	n/a	1	n/a
166.887913799961	0	4	foot step	4	4	n/a	n/a	n/a	1	n/a
167.587913799973	0	4	foot step	1	1	n/a	n/a	n/a	1	n/a
168.267913799966	0	4	foot step	2	2	n/a	n/a	n/a	1	n/a
168.957913799968	0	4	foot step	4	4	n/a	n/a	n/a	1	n/a
169.667913799989	0	4	foot step	3	3	n/a	n/a	n/a	1	n/a
170.387913799961	0	4	foot step	2	2	n/a	n/a	n/a	1	n/a
171.087913799973	0	4	foot step	1	1	n/a	n/a	n/a	1	n/a
171.777913799975	0	4	foot step	2	2	n/a	n/a	n/a	1	n/a
172.619999999995	5	4	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
180.840000000026	24.02	5	stimulus	n/a	n/a	white X	n/a	n/a	0	erroneous trial
204.845596800034	9.33388699998613	5	stimulus	n/a	n/a	GGQGQGCC	5	4	0	erroneous trial
206.075596800016	0	5	foot step	4	4	n/a	n/a	n/a	0	erroneous trial
206.785596800037	0	5	foot step	3	3	n/a	n/a	n/a	0	erroneous trial
207.485596800048	0	5	foot step	4	4	n/a	n/a	n/a	0	erroneous trial
208.20559680002	0	5	foot step	3	1	n/a	n/a	n/a	0	erroneous trial
208.825596800016	0	5	foot step	1	4	n/a	n/a	n/a	0	erroneous trial
209.425596800051	0	5	foot step	4	1	n/a	n/a	n/a	0	erroneous trial
210.115596800053	0	5	foot step	1	2	n/a	n/a	n/a	0	erroneous trial
210.775596800027	0	5	foot step	2	4	n/a	n/a	n/a	0	erroneous trial
211.43559680006	0	5	foot step	4	3	n/a	n/a	n/a	0	erroneous trial
212.135596800013	0	5	foot step	1	2	n/a	n/a	n/a	0	erroneous trial
