onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
9.97999999999593	25.02	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
35	10.9087616999896	1	stimulus	n/a	n/a	LLALOAGO	1	1	0	test trial
35.9891554999922	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
36.6853282999946	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
37.3492661999917	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
37.9013672000001	0	1	finger press	3	3	n/a	n/a	n/a	0	test trial
38.5496185999946	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
39.1494215999992	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
39.7575708999939	0	1	finger press	3	3	n/a	n/a	n/a	0	test trial
40.3255494999903	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
41.125739199997	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
41.7736893999972	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
42.4616010999889	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
43.1254536999913	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
45.9400000000023	5	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
81.6000000000058	24	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
105.571610199986	8.68482330000552	2	stimulus	n/a	n/a	LLLOALLO	0	0	1	n/a
106.325471599994	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
107.037640099996	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
107.701547399993	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
108.413453099987	0	2	finger press	3	3	n/a	n/a	n/a	1	n/a
109.093433499991	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
109.749564399986	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
110.461435299992	0	2	finger press	3	3	n/a	n/a	n/a	1	n/a
111.101349599994	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
111.861314399997	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
112.501989699987	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
113.149328999993	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
113.78932679999	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
114.300000000003	5	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
130.440000000002	24.02	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
154.415318999992	9.96985470000072	3	stimulus	n/a	n/a	ALOGLAGG	3	3	1	n/a
155.181378699999	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
155.86987319999	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
156.509179699991	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
157.149351299988	0	3	finger press	3	3	n/a	n/a	n/a	1	n/a
157.789164499991	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
158.421461599995	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
159.069564899997	0	3	finger press	3	3	n/a	n/a	n/a	1	n/a
159.797371599998	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
160.461666499992	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
161.173373699989	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
161.861879499993	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
162.501413499995	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
164.419999999998	5	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
177.119999999995	22	4	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
199.0896641	10.3875079999998	4	stimulus	n/a	n/a	OOAAGLGO	2	2	1	n/a
199.965141599998	0	4	finger press	2	2	n/a	n/a	n/a	1	n/a
200.645059099988	0	4	finger press	1	1	n/a	n/a	n/a	1	n/a
201.261125899997	0	4	finger press	2	2	n/a	n/a	n/a	1	n/a
201.893328099992	0	4	finger press	3	3	n/a	n/a	n/a	1	n/a
202.56538	0	4	finger press	2	2	n/a	n/a	n/a	1	n/a
203.205107899994	0	4	finger press	1	1	n/a	n/a	n/a	1	n/a
203.909269099997	0	4	finger press	3	3	n/a	n/a	n/a	1	n/a
204.565222799996	0	4	finger press	2	2	n/a	n/a	n/a	1	n/a
205.261236099992	0	4	finger press	4	4	n/a	n/a	n/a	1	n/a
205.917328999989	0	4	finger press	2	2	n/a	n/a	n/a	1	n/a
206.557295299994	0	4	finger press	4	4	n/a	n/a	n/a	1	n/a
207.221494999991	0	4	finger press	1	1	n/a	n/a	n/a	1	n/a
209.520000000004	5	4	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
219.600000000006	21.02	5	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
240.575659799986	10.2312023000122	5	stimulus	n/a	n/a	AGLGLALG	3	3	1	n/a
241.253061699987	0	5	finger press	2	2	n/a	n/a	n/a	1	n/a
