onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
9.98000000001048	25.02	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
35	8.81027539999923	1	stimulus	n/a	n/a	CCGOOGQO	2	2	0	test trial
35.7031469000212	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
36.3112370000163	0	1	finger press	3	3	n/a	n/a	n/a	0	test trial
36.9431557000207	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
37.5431603000034	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
38.1831149000209	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
38.846814700024	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
39.4311753000075	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
40.2151592000155	0	1	finger press	4	4	n/a	n/a	n/a	0	test trial
40.9349215000111	0	1	finger press	3	3	n/a	n/a	n/a	0	test trial
41.5990981000068	0	1	finger press	2	2	n/a	n/a	n/a	0	test trial
42.1988598000025	0	1	finger press	1	1	n/a	n/a	n/a	0	test trial
42.8710794000071	0	1	finger press	4	2	n/a	n/a	n/a	0	test trial
43.820000000007	5	1	stimulus	n/a	n/a	white X	n/a	n/a	0	test trial
55.5400000000081	24.02	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
79.5657936000207	9.50865559998783	2	stimulus	n/a	n/a	CGGOGQOQ	2	3	1	n/a
80.0069990000047	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
80.6550972000114	0	2	finger press	3	3	n/a	n/a	n/a	1	n/a
81.2394745000056	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
82.095787600003	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
82.8549664000166	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
83.4715242000239	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
84.1431237000215	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
84.9831623000209	0	2	finger press	4	4	n/a	n/a	n/a	1	n/a
85.5751369000063	0	2	finger press	3	3	n/a	n/a	n/a	1	n/a
86.2630852000148	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
87.0231195000233	0	2	finger press	1	1	n/a	n/a	n/a	1	n/a
87.5751370000071	0	2	finger press	2	2	n/a	n/a	n/a	1	n/a
89.0799999999872	5	2	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
100.079999999987	22.04	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
122.110310100019	9.80468729999848	3	stimulus	n/a	n/a	COQGQOCO	1	1	1	n/a
122.631047600007	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
123.279188000015	0	3	finger press	3	3	n/a	n/a	n/a	1	n/a
123.903188800003	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
124.550992300006	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
125.295046200015	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
125.975091800006	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
126.639204100007	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
127.303240400011	0	3	finger press	4	4	n/a	n/a	n/a	1	n/a
128.543065400008	0	3	finger press	3	3	n/a	n/a	n/a	1	n/a
129.183360700001	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
130.015148300008	0	3	finger press	1	1	n/a	n/a	n/a	1	n/a
130.742813900026	0	3	finger press	2	2	n/a	n/a	n/a	1	n/a
131.920000000013	5	3	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
145.959999999992	21.04	4	stimulus	n/a	n/a	white X	n/a	n/a	0	erroneous trial
166.990922800003	9.15358250000281	4	stimulus	n/a	n/a	GCCOGCGO	2	3	0	erroneous trial
167.535168000002	0	4	finger press	4	4	n/a	n/a	n/a	0	erroneous trial
168.135144500004	0	4	finger press	3	3	n/a	n/a	n/a	0	erroneous trial
168.758890500001	0	4	finger press	4	4	n/a	n/a	n/a	0	erroneous trial
169.455058799998	0	4	finger press	1	1	n/a	n/a	n/a	0	erroneous trial
170.199003200018	0	4	finger press	2	4	n/a	n/a	n/a	0	erroneous trial
171.439075500006	0	4	finger press	4	1	n/a	n/a	n/a	0	erroneous trial
172.694977200008	0	4	finger press	1	2	n/a	n/a	n/a	0	erroneous trial
173.591139200027	0	4	finger press	3	4	n/a	n/a	n/a	0	erroneous trial
174.3114451	0	4	finger press	2	3	n/a	n/a	n/a	0	erroneous trial
174.911010300013	0	4	finger press	1	2	n/a	n/a	n/a	0	erroneous trial
176.140000000014	5	4	stimulus	n/a	n/a	white X	n/a	n/a	0	erroneous trial
187.239999999991	25.04	5	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
212.270813500014	9.10693310000352	5	stimulus	n/a	n/a	OOOGOOOO	1	1	1	n/a
212.847210100008	0	5	finger press	4	4	n/a	n/a	n/a	1	n/a
213.503035900008	0	5	finger press	3	3	n/a	n/a	n/a	1	n/a
214.199073399999	0	5	finger press	4	4	n/a	n/a	n/a	1	n/a
215.687107200007	0	5	finger press	1	1	n/a	n/a	n/a	1	n/a
216.375007100025	0	5	finger press	4	4	n/a	n/a	n/a	1	n/a
217.199052800017	0	5	finger press	1	1	n/a	n/a	n/a	1	n/a
