name	type	x	y	z	template_x	template_y	template_z
S1	source	n/a	n/a	n/a	-0.041613205	0.026799775	0.129904394
S2	source	n/a	n/a	n/a	-0.064766865	0.05814257	0.090842577
S3	source	n/a	n/a	n/a	-0.071205546	-0.012874273	0.107878609
S4	source	n/a	n/a	n/a	-0.085904365	0.018971698	0.065097624
S5	source	n/a	n/a	n/a	0.036941716	0.027483805	0.130221297
S6	source	n/a	n/a	n/a	0.060651337	0.058824146	0.09117718
S7	source	n/a	n/a	n/a	0.067127714	-0.012199232	0.108572549
S8	source	n/a	n/a	n/a	0.081886856	0.020427932	0.065713251
D1	detector	n/a	n/a	n/a	-0.037619589	0.063228516	0.115728028
D2	detector	n/a	n/a	n/a	-0.041344451	-0.011779611	0.134950029
D3	detector	n/a	n/a	n/a	-0.072424247	0.023472932	0.10322219
D4	detector	n/a	n/a	n/a	-0.079125927	0.051409291	0.057370046
D5	detector	n/a	n/a	n/a	0.033527173	0.063599683	0.115838813
D6	detector	n/a	n/a	n/a	0.036866395	-0.011397165	0.135367241
D7	detector	n/a	n/a	n/a	0.067915927	0.024682545	0.103666052
D8	detector	n/a	n/a	n/a	0.075310088	0.052268845	0.057876984
D9	detector	n/a	n/a	n/a	-0.037738954	0.034082658	0.129491979
D10	detector	n/a	n/a	n/a	-0.061454308	0.064438002	0.090610042
D11	detector	n/a	n/a	n/a	-0.07282879	-0.005278705	0.107430548
D12	detector	n/a	n/a	n/a	-0.084396106	0.027061234	0.065595107
D13	detector	n/a	n/a	n/a	0.040013338	0.020439746	0.130637675
D14	detector	n/a	n/a	n/a	0.064280202	0.051621257	0.091336329
D15	detector	n/a	n/a	n/a	0.065213931	-0.019260368	0.108809282
D16	detector	n/a	n/a	n/a	0.08272091	0.012990608	0.066584023
