onset	duration	trial_type	value	sample
39.68	5.0	Tapping/Left	2	310
61.056	5.0	Tapping/Left	2	477
85.76	5.0	Tapping/Right	3	670
116.608	5.0	Control	1	911
148.864	5.0	Control	1	1163
177.152	5.0	Tapping/Right	3	1384
196.864	5.0	Tapping/Left	2	1538
228.992	5.0	Tapping/Right	3	1789
256.384	5.0	Tapping/Left	2	2003
278.784	5.0	Tapping/Right	3	2178
299.136	5.0	Tapping/Right	3	2337
319.104	5.0	Tapping/Right	3	2493
343.68	5.0	Tapping/Right	3	2685
362.88	5.0	Control	1	2835
393.856	5.0	Control	1	3077
419.84	5.0	Tapping/Right	3	3280
441.472	5.0	Tapping/Left	2	3449
465.28	5.0	Tapping/Left	2	3635
496.0	5.0	Control	1	3875
519.808	5.0	Control	1	4061
538.88	5.0	Tapping/Right	3	4210
568.192	5.0	Tapping/Left	2	4439
591.104	5.0	Tapping/Right	3	4618
621.696	5.0	Control	1	4857
640.768	5.0	Tapping/Left	2	5006
666.368	5.0	Control	1	5206
687.744	5.0	Tapping/Left	2	5373
718.08	5.0	Control	1	5610
750.592	5.0	Tapping/Right	3	5864
769.792	5.0	Tapping/Left	2	6014
795.136	5.0	Control	1	6212
819.712	5.0	Tapping/Right	3	6404
839.68	5.0	Tapping/Right	3	6560
872.704	5.0	Tapping/Right	3	6818
899.584	5.0	Tapping/Right	3	7028
924.288	5.0	Tapping/Right	3	7221
948.736	5.0	Tapping/Left	2	7412
978.304	5.0	Tapping/Left	2	7643
1006.592	5.0	Tapping/Right	3	7864
1032.064	5.0	Tapping/Left	2	8063
1057.536	5.0	Tapping/Left	2	8262
1086.08	5.0	Tapping/Right	3	8485
1115.52	5.0	Tapping/Left	2	8715
1140.352	5.0	Control	1	8909
1167.872	5.0	Control	1	9124
1193.216	5.0	Tapping/Left	2	9322
1218.56	5.0	Tapping/Left	2	9520
1237.888	5.0	Tapping/Left	2	9671
1269.376	5.0	Control	1	9917
1289.216	5.0	Control	1	10072
1320.064	5.0	Control	1	10313
1347.456	5.0	Control	1	10527
1375.488	5.0	Tapping/Right	3	10746
1401.472	5.0	Tapping/Left	2	10949
1424.256	5.0	Tapping/Left	2	11127
1452.544	5.0	Tapping/Right	3	11348
1483.136	5.0	Tapping/Right	3	11587
1503.616	5.0	Tapping/Right	3	11747
1531.648	5.0	Tapping/Left	2	11966
1559.04	5.0	Tapping/Left	2	12180
1579.52	5.0	Control	1	12340
1611.264	5.0	Control	1	12588
1637.248	5.0	Control	1	12791
1668.864	5.0	Control	1	13038
1690.368	5.0	Tapping/Right	3	13206
1723.264	5.0	Tapping/Left	2	13463
1744.512	5.0	Tapping/Left	2	13629
1775.744	5.0	Tapping/Left	2	13873
1799.808	5.0	Control	1	14061
1826.176	5.0	Control	1	14267
1858.816	5.0	Tapping/Right	3	14522
1880.32	5.0	Tapping/Right	3	14690
1912.064	5.0	Tapping/Right	3	14938
1944.704	5.0	Control	1	15193
1975.552	5.0	Control	1	15434
2002.176	5.0	Control	1	15642
2026.752	5.0	Tapping/Right	3	15834
2059.264	5.0	Tapping/Right	3	16088
2087.936	5.0	Tapping/Left	2	16312
2112.512	5.0	Tapping/Left	2	16504
2145.28	5.0	Tapping/Right	3	16760
2176.0	5.0	Control	1	17000
2201.728	5.0	Control	1	17201
2221.056	5.0	Control	1	17352
2254.848	5.0	Tapping/Left	2	17616
2279.552	5.0	Tapping/Left	2	17809
2306.432	5.0	Control	1	18019
2330.112	5.0	Tapping/Left	2	18204
2359.808	5.0	Control	1	18436
2379.648	5.0	Tapping/Right	3	18591
