name	x	y	z	size	hemisphere	group	type	manufacturer
v'1	-1.224935	-30.186168	28.827099	5	L	v'	depth	DIXI
v'2	-4.723552	-30.256567	28.895778	5	L	v'	depth	DIXI
v'3	-8.222170	-30.326966	28.964457	5	L	v'	depth	DIXI
v'4	-11.720788	-30.397365	29.033136	5	L	v'	depth	DIXI
v'12	-39.709731	-30.960556	29.582568	5	L	v'	depth	DIXI
v'13	-43.208349	-31.030955	29.651247	5	L	v'	depth	DIXI
v'14	-46.706967	-31.101354	29.719926	5	L	v'	depth	DIXI
v'15	-50.205585	-31.171753	29.788605	5	L	v'	depth	DIXI
y'1	-29.245744	12.622002	9.428864	5	L	y'	depth	DIXI
y'2	-28.983495	9.752645	11.415826	5	L	y'	depth	DIXI
y'3	-28.721246	6.883289	13.402789	5	L	y'	depth	DIXI
y'4	-28.458996	4.013933	15.389752	5	L	y'	depth	DIXI
y'5	-28.196747	1.144577	17.376715	5	L	y'	depth	DIXI
y'6	-27.934498	-1.724779	19.363677	5	L	y'	depth	DIXI
y'7	-27.672249	-4.594135	21.350640	5	L	y'	depth	DIXI
y'8	-27.410000	-7.463491	23.337603	5	L	y'	depth	DIXI
y'9	-27.147751	-10.332847	25.324566	5	L	y'	depth	DIXI
y'16	-25.312008	-30.418340	39.233305	5	L	y'	depth	DIXI
y'17	-25.049759	-33.287696	41.220268	5	L	y'	depth	DIXI
y'18	-24.787510	-36.157052	43.207231	5	L	y'	depth	DIXI
t'1	-32.523819	1.759421	7.926010	5	L	t'	depth	DIXI
t'2	-36.022976	1.836175	7.922439	5	L	t'	depth	DIXI
t'3	-39.522132	1.912930	7.918867	5	L	t'	depth	DIXI
t'4	-43.021289	1.989684	7.915296	5	L	t'	depth	DIXI
t'5	-46.520445	2.066438	7.911724	5	L	t'	depth	DIXI
t'6	-50.019602	2.143192	7.908153	5	L	t'	depth	DIXI
t'7	-53.518758	2.219946	7.904581	5	L	t'	depth	DIXI
t'8	-57.017914	2.296700	7.901010	5	L	t'	depth	DIXI
u'1	-30.480649	-11.721653	15.073436	5	L	u'	depth	DIXI
u'2	-33.980623	-11.729810	15.062957	5	L	u'	depth	DIXI
u'3	-37.480598	-11.737967	15.052479	5	L	u'	depth	DIXI
u'5	-44.480548	-11.754281	15.031521	5	L	u'	depth	DIXI
u'6	-47.980523	-11.762439	15.021043	5	L	u'	depth	DIXI
u'7	-51.480498	-11.770596	15.010564	5	L	u'	depth	DIXI
u'8	-54.980472	-11.778753	15.000086	5	L	u'	depth	DIXI
et'1	-18.232080	8.624008	-12.313088	5	L	et'	depth	DIXI
et'2	-21.731193	8.699201	-12.289574	5	L	et'	depth	DIXI
et'3	-25.230306	8.774394	-12.266059	5	L	et'	depth	DIXI
et'6	-35.727646	8.999972	-12.195515	5	L	et'	depth	DIXI
et'7	-39.226759	9.075165	-12.172001	5	L	et'	depth	DIXI
et'8	-42.725872	9.150358	-12.148486	5	L	et'	depth	DIXI
et'9	-46.224986	9.225551	-12.124972	5	L	et'	depth	DIXI
b'1	-18.145589	-4.876597	-4.083527	5	L	b'	depth	DIXI
b'2	-21.632167	-4.614978	-3.924383	5	L	b'	depth	DIXI
b'3	-25.118746	-4.353359	-3.765239	5	L	b'	depth	DIXI
b'4	-28.605324	-4.091740	-3.606094	5	L	b'	depth	DIXI
b'5	-32.091903	-3.830121	-3.446950	5	L	b'	depth	DIXI
b'10	-49.524794	-2.522025	-2.651229	5	L	b'	depth	DIXI
b'11	-53.011373	-2.260406	-2.492084	5	L	b'	depth	DIXI
b'12	-56.497951	-1.998787	-2.332940	5	L	b'	depth	DIXI
c'1	-21.184330	-22.253033	3.045646	5	L	c'	depth	DIXI
c'2	-24.681022	-22.403486	3.068200	5	L	c'	depth	DIXI
c'3	-28.177714	-22.553940	3.090754	5	L	c'	depth	DIXI
c'9	-49.157866	-23.456659	3.226079	5	L	c'	depth	DIXI
c'10	-52.654558	-23.607112	3.248633	5	L	c'	depth	DIXI
c'11	-56.151250	-23.757565	3.271187	5	L	c'	depth	DIXI
c'12	-59.647942	-23.908019	3.293741	5	L	c'	depth	DIXI
d'7	-47.234690	-33.709259	7.460306	5	L	d'	depth	DIXI
d'8	-50.731391	-33.766040	7.601239	5	L	d'	depth	DIXI
d'9	-54.228091	-33.822821	7.742172	5	L	d'	depth	DIXI
d'10	-57.724791	-33.879602	7.883106	5	L	d'	depth	DIXI
d'11	-61.221492	-33.936383	8.024039	5	L	d'	depth	DIXI
x'1	-0.791205	-54.101792	26.407426	5	L	x'	depth	DIXI
x'2	-4.290415	-54.099629	26.481761	5	L	x'	depth	DIXI
x'3	-7.789625	-54.097466	26.556096	5	L	x'	depth	DIXI
x'6	-18.287254	-54.090978	26.779099	5	L	x'	depth	DIXI
x'7	-21.786464	-54.088815	26.853434	5	L	x'	depth	DIXI
x'8	-25.285674	-54.086652	26.927769	5	L	x'	depth	DIXI
x'9	-28.784884	-54.084489	27.002103	5	L	x'	depth	DIXI
x'12	-39.282514	-54.078001	27.225107	5	L	x'	depth	DIXI
x'13	-42.781724	-54.075838	27.299442	5	L	x'	depth	DIXI
x'14	-46.280933	-54.073675	27.373776	5	L	x'	depth	DIXI
e'1	-19.406521	-16.834468	-4.731123	5	L	e'	depth	DIXI
e'2	-22.905339	-16.852237	-4.641904	5	L	e'	depth	DIXI
e'3	-26.404156	-16.870007	-4.552686	5	L	e'	depth	DIXI
e'4	-29.902974	-16.887776	-4.463467	5	L	e'	depth	DIXI
e'5	-33.401792	-16.905545	-4.374248	5	L	e'	depth	DIXI
e'8	-43.898244	-16.958854	-4.106592	5	L	e'	depth	DIXI
e'9	-47.397062	-16.976623	-4.017373	5	L	e'	depth	DIXI
e'10	-50.895879	-16.994393	-3.928155	5	L	e'	depth	DIXI
e'11	-54.394697	-17.012162	-3.838936	5	L	e'	depth	DIXI
l'1	-18.943396	-33.588271	-9.740662	5	L	l'	depth	DIXI
l'2	-22.440370	-33.617352	-9.598097	5	L	l'	depth	DIXI
l'3	-25.937345	-33.646433	-9.455532	5	L	l'	depth	DIXI
l'4	-29.434319	-33.675513	-9.312966	5	L	l'	depth	DIXI
l'5	-32.931293	-33.704594	-9.170401	5	L	l'	depth	DIXI
l'6	-36.428268	-33.733675	-9.027836	5	L	l'	depth	DIXI
l'7	-39.925242	-33.762756	-8.885270	5	L	l'	depth	DIXI
l'8	-43.422216	-33.791837	-8.742705	5	L	l'	depth	DIXI
l'9	-46.919191	-33.820917	-8.600140	5	L	l'	depth	DIXI
f'1	-12.897007	-40.983285	-5.409982	5	L	f'	depth	DIXI
f'2	-16.383295	-40.704604	-5.275322	5	L	f'	depth	DIXI
f'3	-19.869583	-40.425922	-5.140661	5	L	f'	depth	DIXI
f'4	-23.355871	-40.147241	-5.006001	5	L	f'	depth	DIXI
f'8	-37.301022	-39.032517	-4.467360	5	L	f'	depth	DIXI
f'9	-40.787310	-38.753836	-4.332700	5	L	f'	depth	DIXI
f'10	-44.273598	-38.475155	-4.198040	5	L	f'	depth	DIXI
f'11	-47.759886	-38.196473	-4.063380	5	L	f'	depth	DIXI
f'12	-51.246174	-37.917792	-3.928719	5	L	f'	depth	DIXI
g'1	-14.257032	-49.713406	-9.874869	5	L	g'	depth	DIXI
g'2	-17.755847	-49.639966	-9.821031	5	L	g'	depth	DIXI
g'3	-21.254662	-49.566527	-9.767193	5	L	g'	depth	DIXI
g'4	-24.753478	-49.493087	-9.713356	5	L	g'	depth	DIXI
g'5	-28.252293	-49.419647	-9.659518	5	L	g'	depth	DIXI
g'6	-31.751108	-49.346208	-9.605681	5	L	g'	depth	DIXI
g'7	-35.249923	-49.272768	-9.551843	5	L	g'	depth	DIXI
g'8	-38.748739	-49.199329	-9.498005	5	L	g'	depth	DIXI
g'9	-42.247554	-49.125889	-9.444168	5	L	g'	depth	DIXI
g'10	-45.746369	-49.052449	-9.390330	5	L	g'	depth	DIXI
g'11	-49.245184	-48.979010	-9.336493	5	L	g'	depth	DIXI
g'12	-52.744000	-48.905570	-9.282655	5	L	g'	depth	DIXI
o'1	-4.031074	-58.475965	-0.783845	5	L	o'	depth	DIXI
o'2	-7.529644	-58.403395	-0.714995	5	L	o'	depth	DIXI
o'5	-18.025354	-58.185687	-0.508445	5	L	o'	depth	DIXI
o'6	-21.523925	-58.113118	-0.439595	5	L	o'	depth	DIXI
o'10	-35.518205	-57.822840	-0.164194	5	L	o'	depth	DIXI
o'11	-39.016775	-57.750270	-0.095344	5	L	o'	depth	DIXI
o'12	-42.515346	-57.677701	-0.026493	5	L	o'	depth	DIXI
s'1	-3.551556	-54.010644	8.480628	5	L	s'	depth	DIXI
s'2	-7.048585	-54.025869	8.624006	5	L	s'	depth	DIXI
s'3	-10.545614	-54.041094	8.767384	5	L	s'	depth	DIXI
s'10	-35.024816	-54.147670	9.771032	5	L	s'	depth	DIXI
s'11	-38.521845	-54.162895	9.914410	5	L	s'	depth	DIXI
s'12	-42.018873	-54.178120	10.057788	5	L	s'	depth	DIXI
