name	x	y	z	size	hemisphere	group	type	manufacturer
v'1	-0.5	-30	30	5	L	v'	depth	DIXI
v'2	-4	-30	30	5	L	v'	depth	DIXI
v'3	-7.4	-30	30	5	L	v'	depth	DIXI
v'4	-11	-30	30	5	L	v'	depth	DIXI
v'12	-39	-31	30	5	L	v'	depth	DIXI
v'13	-42	-31	30	5	L	v'	depth	DIXI
v'14	-46	-31	30	5	L	v'	depth	DIXI
v'15	-49	-31	30	5	L	v'	depth	DIXI
y'1	-30	13	10	5	L	y'	depth	DIXI
y'2	-30	10	12	5	L	y'	depth	DIXI
y'3	-29	7.4	14	5	L	y'	depth	DIXI
y'4	-29	4.3	16	5	L	y'	depth	DIXI
y'5	-29	2	18	5	L	y'	depth	DIXI
y'6	-29	-1	20	5	L	y'	depth	DIXI
y'7	-28	-4.1	22	5	L	y'	depth	DIXI
y'8	-28	-7.1	24	5	L	y'	depth	DIXI
y'9	-28	-9.4	26	5	L	y'	depth	DIXI
y'16	-26	-29	40	5	L	y'	depth	DIXI
y'17	-26	-32	42	5	L	y'	depth	DIXI
y'18	-26	-35	44	5	L	y'	depth	DIXI
t'1	-32	2	7.6	5	L	t'	depth	DIXI
t'2	-35	2.1	7.6	5	L	t'	depth	DIXI
t'3	-39	2.1	7.6	5	L	t'	depth	DIXI
t'4	-42	2.2	7.6	5	L	t'	depth	DIXI
t'5	-46	2.3	7.6	5	L	t'	depth	DIXI
t'6	-49	2.3	7.6	5	L	t'	depth	DIXI
t'7	-52	2.4	7.6	5	L	t'	depth	DIXI
t'8	-56	2.5	7.6	5	L	t'	depth	DIXI
u'1	-31	-11	15	5	L	u'	depth	DIXI
u'2	-34	-11	15	5	L	u'	depth	DIXI
u'3	-37	-11	15	5	L	u'	depth	DIXI
u'5	-44	-11	15	5	L	u'	depth	DIXI
u'6	-48	-11	15	5	L	u'	depth	DIXI
u'7	-52	-12	15	5	L	u'	depth	DIXI
u'8	-55	-12	15	5	L	u'	depth	DIXI
et'1	-17	7.7	-12	5	L	et'	depth	DIXI
et'2	-20	7.7	-12	5	L	et'	depth	DIXI
et'3	-24	7.7	-12	5	L	et'	depth	DIXI
et'6	-34	7.7	-12	5	L	et'	depth	DIXI
et'7	-37	7.7	-12	5	L	et'	depth	DIXI
et'8	-41	7.7	-12	5	L	et'	depth	DIXI
et'9	-45	7.7	-12	5	L	et'	depth	DIXI
b'1	-18	-4.6	-3.1	5	L	b'	depth	DIXI
b'2	-21	-4.4	-3.1	5	L	b'	depth	DIXI
b'3	-24	-4.2	-3.1	5	L	b'	depth	DIXI
b'4	-28	-3.9	-3.1	5	L	b'	depth	DIXI
b'5	-32	-3.7	-3.1	5	L	b'	depth	DIXI
b'10	-49	-2.6	-3.1	5	L	b'	depth	DIXI
b'11	-52	-2.4	-3.1	5	L	b'	depth	DIXI
b'12	-56	-2.2	-3.1	5	L	b'	depth	DIXI
c'1	-22	-23	1.9	5	L	c'	depth	DIXI
c'2	-25	-23	1.9	5	L	c'	depth	DIXI
c'3	-28	-23	1.9	5	L	c'	depth	DIXI
c'9	-49	-23	1.9	5	L	c'	depth	DIXI
c'10	-53	-23	1.9	5	L	c'	depth	DIXI
c'11	-56	-23	1.9	5	L	c'	depth	DIXI
c'12	-60	-23	1.9	5	L	c'	depth	DIXI
d'7	-46	-33	6.8	5	L	d'	depth	DIXI
d'8	-49	-33	6.8	5	L	d'	depth	DIXI
d'9	-53	-33	6.8	5	L	d'	depth	DIXI
d'10	-56	-34	6.8	5	L	d'	depth	DIXI
d'11	-60	-34	6.8	5	L	d'	depth	DIXI
x'1	-0.5	-55	26	5	L	x'	depth	DIXI
x'2	-3.6	-55	26	5	L	x'	depth	DIXI
x'3	-7.4	-55	26	5	L	x'	depth	DIXI
x'6	-18	-55	26	5	L	x'	depth	DIXI
x'7	-21	-55	26	5	L	x'	depth	DIXI
x'8	-24	-55	26	5	L	x'	depth	DIXI
x'9	-28	-55	26	5	L	x'	depth	DIXI
x'12	-39	-55	26	5	L	x'	depth	DIXI
x'13	-42	-55	26	5	L	x'	depth	DIXI
x'14	-46	-55	26	5	L	x'	depth	DIXI
e'1	-18	-17	-3.9	5	L	e'	depth	DIXI
e'2	-21	-17	-3.9	5	L	e'	depth	DIXI
e'3	-24	-17	-3.9	5	L	e'	depth	DIXI
e'4	-28	-17	-3.9	5	L	e'	depth	DIXI
e'5	-31	-17	-3.9	5	L	e'	depth	DIXI
e'8	-42	-17	-3.9	5	L	e'	depth	DIXI
e'9	-45	-17	-3.9	5	L	e'	depth	DIXI
e'10	-49	-17	-3.9	5	L	e'	depth	DIXI
e'11	-52	-17	-3.9	5	L	e'	depth	DIXI
l'1	-18	-33	-8	5	L	l'	depth	DIXI
l'2	-21	-33	-8.1	5	L	l'	depth	DIXI
l'3	-24	-34	-8.2	5	L	l'	depth	DIXI
l'4	-28	-34	-8.3	5	L	l'	depth	DIXI
l'5	-31	-34	-8.4	5	L	l'	depth	DIXI
l'6	-35	-34	-8.5	5	L	l'	depth	DIXI
l'7	-38	-34	-8.7	5	L	l'	depth	DIXI
l'8	-42	-34	-8.8	5	L	l'	depth	DIXI
l'9	-46	-34	-8.9	5	L	l'	depth	DIXI
f'1	-14	-41	-3.9	5	L	f'	depth	DIXI
f'2	-17	-40	-3.9	5	L	f'	depth	DIXI
f'3	-20	-40	-3.9	5	L	f'	depth	DIXI
f'4	-24	-40	-3.9	5	L	f'	depth	DIXI
f'8	-38	-39	-3.9	5	L	f'	depth	DIXI
f'9	-41	-39	-3.9	5	L	f'	depth	DIXI
f'10	-45	-38	-3.9	5	L	f'	depth	DIXI
f'11	-48	-38	-3.9	5	L	f'	depth	DIXI
f'12	-52	-38	-3.9	5	L	f'	depth	DIXI
g'1	-14	-50	-9.6	5	L	g'	depth	DIXI
g'2	-17	-50	-9.6	5	L	g'	depth	DIXI
g'3	-20	-50	-9.6	5	L	g'	depth	DIXI
g'4	-24	-50	-9.6	5	L	g'	depth	DIXI
g'5	-28	-50	-9.6	5	L	g'	depth	DIXI
g'6	-31	-50	-9.6	5	L	g'	depth	DIXI
g'7	-34	-50	-9.6	5	L	g'	depth	DIXI
g'8	-38	-50	-9.6	5	L	g'	depth	DIXI
g'9	-42	-50	-9.6	5	L	g'	depth	DIXI
g'10	-45	-50	-9.6	5	L	g'	depth	DIXI
g'11	-48	-50	-9.6	5	L	g'	depth	DIXI
g'12	-52	-50	-9.6	5	L	g'	depth	DIXI
o'1	-2.9	-59	-1.4	5	L	o'	depth	DIXI
o'2	-5.8	-59	-1.4	5	L	o'	depth	DIXI
o'5	-16	-59	-1.2	5	L	o'	depth	DIXI
o'6	-20	-59	-1.2	5	L	o'	depth	DIXI
o'10	-34	-59	-0.98	5	L	o'	depth	DIXI
o'11	-38	-59	-0.93	5	L	o'	depth	DIXI
o'12	-41	-59	-0.88	5	L	o'	depth	DIXI
s'1	-2.9	-55	8.4	5	L	s'	depth	DIXI
s'2	-6.1	-55	8.5	5	L	s'	depth	DIXI
s'3	-9.8	-55	8.6	5	L	s'	depth	DIXI
s'10	-34	-55	9.2	5	L	s'	depth	DIXI
s'11	-38	-55	9.3	5	L	s'	depth	DIXI
s'12	-41	-55	9.4	5	L	s'	depth	DIXI
