name	x	y	z	size	group	type
G_A1	-61.107463	-43.638211	21.881253	n/a	G	grid
G_A2	-62.752169	-34.628989	19.394581	n/a	G	grid
G_A3	-63.215945	-24.767016	16.551959	n/a	G	grid
G_A4	-62.626851	-14.626127	13.538576	n/a	G	grid
G_A5	-61.667190	-4.552371	10.513849	n/a	G	grid
G_A6	-59.785906	5.016535	7.567805	n/a	G	grid
G_A7	-56.906069	13.555313	4.853174	n/a	G	grid
G_A8	-54.237775	21.470704	2.351710	n/a	G	grid
G_B1	-58.627372	-44.518966	30.884995	n/a	G	grid
G_B2	-60.299896	-34.581528	28.458904	n/a	G	grid
G_B3	-61.465732	-23.751189	25.647887	n/a	G	grid
G_B4	-60.843887	-12.489307	22.294644	n/a	G	grid
G_B5	-60.121660	-1.233970	18.917921	n/a	G	grid
G_B6	-57.815727	9.179052	15.418453	n/a	G	grid
G_B7	-54.807533	18.450733	12.089279	n/a	G	grid
G_B8	-51.946782	26.918361	9.036343	n/a	G	grid
G_C1	-54.595892	-45.020275	40.988889	n/a	G	grid
G_C2	-56.731413	-34.333197	38.979223	n/a	G	grid
G_C3	-57.881488	-22.449180	36.204503	n/a	G	grid
G_C4	-57.502622	-10.074231	32.630216	n/a	G	grid
G_C5	-56.272483	2.092004	28.745062	n/a	G	grid
G_C6	-53.689484	13.165415	24.580421	n/a	G	grid
G_C7	-50.452290	22.812599	20.532728	n/a	G	grid
G_C8	-47.064362	31.096923	16.805860	n/a	G	grid
G_D1	-48.944274	-45.095939	51.904552	n/a	G	grid
G_D2	-51.365806	-33.745537	50.623813	n/a	G	grid
G_D3	-51.994421	-20.893672	47.681042	n/a	G	grid
G_D4	-51.434887	-7.686249	43.805935	n/a	G	grid
G_D5	-50.504596	5.400420	39.700979	n/a	G	grid
G_D6	-48.027139	17.147249	34.861657	n/a	G	grid
G_D7	-44.619853	26.932781	29.887774	n/a	G	grid
G_D8	-41.319140	35.322457	25.361399	n/a	G	grid
G_E1	-40.578320	-44.075757	61.762314	n/a	G	grid
G_E2	-43.095420	-32.529486	61.659624	n/a	G	grid
G_E3	-43.219398	-19.215979	58.499764	n/a	G	grid
G_E4	-43.280531	-5.442644	55.161207	n/a	G	grid
G_E5	-41.930264	7.839382	50.395937	n/a	G	grid
G_E6	-40.157791	20.250733	45.381191	n/a	G	grid
G_E7	-37.049901	30.098944	39.530438	n/a	G	grid
G_E8	-34.200960	38.649441	34.278184	n/a	G	grid
G_F1	-30.733508	-42.236807	69.689119	n/a	G	grid
G_F2	-32.078111	-30.612981	69.352589	n/a	G	grid
G_F3	-32.200435	-17.671402	66.653807	n/a	G	grid
G_F4	-32.152566	-4.251907	63.573687	n/a	G	grid
G_F5	-31.552639	9.118176	59.561609	n/a	G	grid
G_F6	-30.160752	21.414547	54.422792	n/a	G	grid
G_F7	-27.566543	30.799842	47.851155	n/a	G	grid
G_F8	-25.302898	39.036613	42.073782	n/a	G	grid
G_G1	-20.445775	-39.791095	74.809697	n/a	G	grid
G_G2	-20.982865	-28.575624	74.129757	n/a	G	grid
G_G3	-21.129490	-16.397179	72.256551	n/a	G	grid
G_G4	-20.792344	-3.875557	68.995480	n/a	G	grid
G_G5	-19.944777	8.149050	64.391423	n/a	G	grid
G_G6	-19.369406	20.321530	60.518022	n/a	G	grid
G_G7	-18.095663	30.490580	54.981259	n/a	G	grid
G_G8	-16.556393	38.592311	48.982379	n/a	G	grid
G_H1	-10.986398	-37.352650	78.046021	n/a	G	grid
G_H2	-11.154540	-26.774625	77.480900	n/a	G	grid
G_H3	-11.138422	-15.393246	76.103725	n/a	G	grid
G_H4	-10.684525	-3.906899	72.456803	n/a	G	grid
G_H5	-10.130108	7.272837	68.332510	n/a	G	grid
G_H6	-9.625857	18.342014	64.450863	n/a	G	grid
G_H7	-9.003910	28.523401	59.870021	n/a	G	grid
G_H8	-8.114272	36.135552	53.809952	n/a	G	grid
IHA1	5.103587	-11.249771	44.095874	n/a	IHA	strip
IHA2	4.284848	-9.621221	55.419359	n/a	IHA	strip
IHA3	2.863862	-9.426774	63.778384	n/a	IHA	strip
IHA4	-0.440913	-6.374358	71.224502	n/a	IHA	strip
IHB1	3.964921	-9.013502	48.313949	n/a	IHB	strip
IHB2	5.664471	0.507085	53.893035	n/a	IHB	strip
IHB3	4.282811	8.856365	58.424827	n/a	IHB	strip
IHB4	0.007988	18.092592	62.232017	n/a	IHB	strip
IHC1	2.909902	33.444800	26.147621	n/a	IHC	strip
IHC2	2.608558	37.420896	35.772739	n/a	IHC	strip
IHC3	-0.494503	38.972912	45.618041	n/a	IHC	strip
IHC4	-2.675856	39.884339	53.295336	n/a	IHC	strip
TA_1	-27.887096	30.669808	-6.268377	n/a	TA	depth
TA_2	-26.589796	21.402245	-1.196485	n/a	TA	depth
TA_3	-25.085002	13.010575	3.740136	n/a	TA	depth
TA_4	-23.546040	3.218024	9.632669	n/a	TA	depth
TA_5	-22.722398	-5.533127	14.597669	n/a	TA	depth
TA_6	-22.356709	-13.468080	19.745203	n/a	TA	depth
TA_7	-21.234580	-22.674399	25.573125	n/a	TA	depth
TA_8	-20.086676	-32.021740	32.228756	n/a	TA	depth
TA_9	-19.747215	-40.086290	39.197362	n/a	TA	depth
TA10	-19.493607	-48.246974	45.722003	n/a	TA	depth
TB_1	-36.086159	18.026545	-9.540304	n/a	TB	depth
TB_2	-33.931573	10.262094	-4.096449	n/a	TB	depth
TB_3	-31.790381	1.534295	2.311544	n/a	TB	depth
TB_4	-30.567320	-6.194942	8.893887	n/a	TB	depth
TB_5	-28.998457	-13.913315	15.479274	n/a	TB	depth
TB_6	-28.096432	-22.643799	22.520931	n/a	TB	depth
TB_7	-27.050171	-30.328080	29.999981	n/a	TB	depth
TB_8	-26.344254	-38.093767	36.218465	n/a	TB	depth
TB_9	-24.932291	-46.594308	45.517238	n/a	TB	depth
TB10	-25.737640	-53.282866	54.299839	n/a	TB	depth
