name	x	y	z	size	hemisphere	group	type	manufacturer
G_A1	-62.090854	-43.165176	24.148453	4	L	G	ecog	AdTech
G_A2	-63.615735	-33.989039	21.643004	4	L	G	ecog	AdTech
G_A3	-64.226758	-24.011484	18.780855	4	L	G	ecog	AdTech
G_A4	-63.610506	-13.731257	15.681448	4	L	G	ecog	AdTech
G_A5	-62.141051	-3.657801	12.543335	4	L	G	ecog	AdTech
G_A6	-60.244460	5.958045	9.493998	4	L	G	ecog	AdTech
G_A7	-57.824472	14.822807	6.614457	4	L	G	ecog	AdTech
G_A8	-55.266813	22.954185	3.951334	4	L	G	ecog	AdTech
G_B1	-59.552300	-43.835870	33.374463	4	L	G	ecog	AdTech
G_B2	-61.511583	-33.792050	31.050681	4	L	G	ecog	AdTech
G_B3	-62.440662	-22.735058	28.141847	4	L	G	ecog	AdTech
G_B4	-61.645275	-11.337310	24.658971	4	L	G	ecog	AdTech
G_B5	-60.390019	-0.125882	21.102160	4	L	G	ecog	AdTech
G_B6	-58.262838	10.403199	17.506400	4	L	G	ecog	AdTech
G_B7	-55.501326	19.901370	14.041186	4	L	G	ecog	AdTech
G_B8	-52.442336	28.284983	10.828681	4	L	G	ecog	AdTech
G_C1	-55.127464	-43.974753	43.504132	4	L	G	ecog	AdTech
G_C2	-57.309941	-33.164114	41.575290	4	L	G	ecog	AdTech
G_C3	-58.280117	-21.141881	38.719871	4	L	G	ecog	AdTech
G_C4	-58.196203	-8.621468	35.216155	4	L	G	ecog	AdTech
G_C5	-56.851774	3.633984	31.180784	4	L	G	ecog	AdTech
G_C6	-54.505807	14.953384	26.927223	4	L	G	ecog	AdTech
G_C7	-51.344679	24.800718	22.696888	4	L	G	ecog	AdTech
G_C8	-47.918653	33.192143	18.753445	4	L	G	ecog	AdTech
G_D1	-48.518863	-43.399184	53.765204	4	L	G	ecog	AdTech
G_D2	-50.860147	-32.079700	52.568574	4	L	G	ecog	AdTech
G_D3	-51.775663	-19.319753	49.902580	4	L	G	ecog	AdTech
G_D4	-51.788192	-5.999120	46.399106	4	L	G	ecog	AdTech
G_D5	-50.976177	7.248311	42.286938	4	L	G	ecog	AdTech
G_D6	-48.274645	18.897472	37.160173	4	L	G	ecog	AdTech
G_D7	-45.138219	28.975105	32.119842	4	L	G	ecog	AdTech
G_D8	-42.018979	37.688800	27.457224	4	L	G	ecog	AdTech
G_E1	-40.104143	-42.126836	63.310401	4	L	G	ecog	AdTech
G_E2	-42.185355	-30.537832	62.879860	4	L	G	ecog	AdTech
G_E3	-42.792210	-17.438260	60.361236	4	L	G	ecog	AdTech
G_E4	-43.021967	-3.693085	57.246971	4	L	G	ecog	AdTech
G_E5	-42.657239	10.214900	53.398975	4	L	G	ecog	AdTech
G_E6	-39.917161	21.824819	47.338314	4	L	G	ecog	AdTech
G_E7	-36.940355	31.688827	41.426700	4	L	G	ecog	AdTech
G_E8	-34.278371	40.451168	36.147231	4	L	G	ecog	AdTech
G_F1	-30.187589	-40.051244	70.616725	4	L	G	ecog	AdTech
G_F2	-31.811315	-28.631438	70.996386	4	L	G	ecog	AdTech
G_F3	-31.986474	-15.754297	68.460445	4	L	G	ecog	AdTech
G_F4	-31.929954	-2.379105	65.413094	4	L	G	ecog	AdTech
G_F5	-31.406750	11.010696	61.521875	4	L	G	ecog	AdTech
G_F6	-29.829236	22.970053	56.027204	4	L	G	ecog	AdTech
G_F7	-27.387478	32.395294	49.505077	4	L	G	ecog	AdTech
G_F8	-25.161135	40.550317	43.621742	4	L	G	ecog	AdTech
G_G1	-20.223680	-37.682845	75.818478	4	L	G	ecog	AdTech
G_G2	-20.880843	-26.579765	75.671422	4	L	G	ecog	AdTech
G_G3	-20.847253	-14.470068	73.378770	4	L	G	ecog	AdTech
G_G4	-20.710024	-1.897393	70.745734	4	L	G	ecog	AdTech
