name	x	y	z	size	hemisphere	group	type	manufacturer
G_A1	-56.312639	-18.186422	45.013806	4	L	G	ecog	AdTech
G_A2	-58.195246	-9.210862	43.380529	4	L	G	ecog	AdTech
G_A3	-59.269117	0.592166	41.459139	4	L	G	ecog	AdTech
G_A4	-59.217385	10.743795	39.318532	4	L	G	ecog	AdTech
G_A5	-58.361914	20.726676	37.112266	4	L	G	ecog	AdTech
G_A6	-57.086041	30.276107	34.947653	4	L	G	ecog	AdTech
G_A7	-55.285270	39.106684	32.876703	4	L	G	ecog	AdTech
G_A8	-53.318988	47.219747	30.950382	4	L	G	ecog	AdTech
G_B1	-53.732584	-19.161253	53.149032	4	L	G	ecog	AdTech
G_B2	-56.055361	-9.366104	51.740986	4	L	G	ecog	AdTech
G_B3	-57.475003	1.476693	49.851739	4	L	G	ecog	AdTech
G_B4	-57.314049	12.737955	47.434504	4	L	G	ecog	AdTech
G_B5	-56.717589	23.837880	44.929884	4	L	G	ecog	AdTech
G_B6	-55.278623	34.307555	42.329479	4	L	G	ecog	AdTech
G_B7	-53.199600	43.792153	39.767979	4	L	G	ecog	AdTech
G_B8	-50.788303	52.192877	37.356409	4	L	G	ecog	AdTech
G_C1	-49.400220	-19.592420	62.083032	4	L	G	ecog	AdTech
G_C2	-51.957535	-9.077728	61.079709	4	L	G	ecog	AdTech
G_C3	-53.457691	2.699259	59.298888	4	L	G	ecog	AdTech
G_C4	-54.010623	15.027096	56.947974	4	L	G	ecog	AdTech
G_C5	-53.387391	27.166278	54.079256	4	L	G	ecog	AdTech
G_C6	-51.793044	38.441316	50.936317	4	L	G	ecog	AdTech
G_C7	-49.372457	48.313815	47.705284	4	L	G	ecog	AdTech
G_C8	-46.633978	56.768009	44.634198	4	L	G	ecog	AdTech
G_D1	-43.061858	-19.257182	71.131767	4	L	G	ecog	AdTech
G_D2	-45.775408	-8.286478	70.816687	4	L	G	ecog	AdTech
G_D3	-47.253916	4.200901	69.249467	4	L	G	ecog	AdTech
G_D4	-47.932608	17.302964	66.950487	4	L	G	ecog	AdTech
G_D5	-47.851623	30.390618	64.086217	4	L	G	ecog	AdTech
G_D6	-45.958056	42.037975	60.177057	4	L	G	ecog	AdTech
G_D7	-43.586961	52.169722	56.238180	4	L	G	ecog	AdTech
G_D8	-41.163209	60.958400	52.552033	4	L	G	ecog	AdTech
G_E1	-35.085580	-18.148209	79.546312	4	L	G	ecog	AdTech
G_E2	-37.553540	-6.940640	79.925868	4	L	G	ecog	AdTech
G_E3	-38.756644	5.881211	78.504583	4	L	G	ecog	AdTech
G_E4	-39.649083	19.370651	76.583846	4	L	G	ecog	AdTech
G_E5	-40.009348	33.072438	74.005843	4	L	G	ecog	AdTech
G_E6	-38.096707	44.724907	69.260216	4	L	G	ecog	AdTech
G_E7	-35.882177	54.682413	64.534164	4	L	G	ecog	AdTech
G_E8	-33.899094	63.529698	60.310499	4	L	G	ecog	AdTech
G_F1	-25.790131	-16.104613	85.981007	4	L	G	ecog	AdTech
G_F2	-27.807950	-5.081469	87.063103	4	L	G	ecog	AdTech
G_F3	-28.599058	7.540407	85.603308	4	L	G	ecog	AdTech
G_F4	-29.206748	20.677506	83.713177	4	L	G	ecog	AdTech
G_F5	-29.396933	33.883301	81.061060	4	L	G	ecog	AdTech
G_F6	-28.572262	45.808480	76.867012	4	L	G	ecog	AdTech
G_F7	-26.848930	55.347848	71.580521	4	L	G	ecog	AdTech
G_F8	-25.256701	63.616444	66.789758	4	L	G	ecog	AdTech
G_G1	-16.505618	-13.680404	90.555194	4	L	G	ecog	AdTech
G_G2	-17.618837	-2.906939	91.126983	4	L	G	ecog	AdTech
G_G3	-18.176122	8.965654	89.832154	4	L	G	ecog	AdTech
