name	x	y	z	size	type
TG01	297.556452	477.883427	n/a	4	surface
TG02	289.96572599999996	432.391854	n/a	4	surface
TG03	282.375	392.448034	n/a	4	surface
TG04	272.507056	346.956461	n/a	4	surface
TG05	267.952621	311.450843	n/a	4	surface
TG06	259.602823	267.06882	n/a	4	surface
TG07	252.012097	223.796348	n/a	4	surface
TG08	242.903226	180.523876	n/a	4	surface
TG09	342.341734	469.00702199999995	n/a	4	surface
TG10	334.751008	424.625	n/a	4	surface
TG11	326.40121	383.57162900000003	n/a	4	surface
TG12	318.810484	339.18960699999997	n/a	4	surface
TG13	311.219758	303.683989	n/a	4	surface
TG14	302.86996	259.301966	n/a	4	surface
TG15	296.797379	216.029494	n/a	4	surface
TG16	287.688508	171.647472	n/a	4	surface
TG17	384.849798	459.021067	n/a	4	surface
TG18	376.5	417.96769700000004	n/a	4	surface
TG19	369.66834700000004	374.695225	n/a	4	surface
TG20	361.318548	331.422753	n/a	4	surface
TG21	355.245968	295.91713500000003	n/a	4	surface
TG22	346.896169	250.425562	n/a	4	surface
TG23	339.305444	208.26264	n/a	4	surface
TG24	332.47379	164.99016899999998	n/a	4	surface
TG25	425.080645	453.473315	n/a	4	surface
TG26	416.73084700000004	409.091292	n/a	4	surface
TG27	409.140121	368.037921	n/a	4	surface
TG28	402.308468	322.546348	n/a	4	surface
TG29	394.717742	288.150281	n/a	4	surface
TG30	387.127016	244.87780899999998	n/a	4	surface
TG31	378.777218	201.60533700000002	n/a	4	surface
TG32	371.186492	156.113764	n/a	4	surface
TG33	460.757056	447.925562	n/a	4	surface
TG34	451.64818499999996	402.433989	n/a	4	surface
TG35	444.81653200000005	362.490169	n/a	4	surface
TG36	435.70766100000003	316.998596	n/a	4	surface
TG37	429.63508099999996	280.383427	n/a	4	surface
TG38	421.28528200000005	234.891854	n/a	4	surface
TG39	414.453629	194.948034	n/a	4	surface
TG40	405.344758	150.566011	n/a	4	surface
TG41	501.74697599999996	441.268258	n/a	4	surface
TG42	492.638105	396.886236	n/a	4	surface
TG43	485.047379	354.723315	n/a	4	surface
TG44	477.456653	311.450843	n/a	4	surface
TG45	469.106855	273.726124	n/a	4	surface
TG46	461.516129	229.34410099999997	n/a	4	surface
TG47	454.68447599999996	187.18118	n/a	4	surface
TG48	447.85282300000006	142.799157	n/a	4	surface
TG49	534.3870969999999	436.83005599999996	n/a	4	surface
TG50	531.3508059999999	392.448034	n/a	4	surface
TG51	529.832661	349.175562	n/a	4	surface
TG52	525.278226	303.683989	n/a	4	surface
TG53	525.278226	264.849719	n/a	4	surface
TG54	523.001008	221.57724700000003	n/a	4	surface
TG55	519.964718	179.414326	n/a	4	surface
TG56	516.9284269999999	135.032303	n/a	4	surface
TG57	577.654234	433.501404	n/a	4	surface
TG58	573.0997980000001	389.119382	n/a	4	surface
TG59	570.063508	348.066011	n/a	4	surface
TG60	568.545363	301.464888	n/a	4	surface
TG61	566.268145	263.740169	n/a	4	surface
TG62	563.9909269999999	219.358146	n/a	4	surface
TG63	560.954637	177.195225	n/a	4	surface
TG64	559.436492	131.703652	n/a	4	surface
