name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
LT01	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
LT02	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
LT03	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
LT04	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
LT05	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT06	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT07	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT08	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT09	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
LT10	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT11	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT12	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT13	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT14	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT15	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT16	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT17	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT18	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT19	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT20	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT21	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
LT22	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT23	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT24	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT25	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
LT26	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
LT27	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT28	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT29	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
LT30	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
LT31	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
LT32	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
ABT1	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	4.0
ABT2	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	4.0
ABT3	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	4.0
ABT4	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	4.0
PBT1	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	5.0
PBT2	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	5.0
PBT3	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	5.0
PBT4	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	5.0
PS1	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	6.0
PS2	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	6.0
PS3	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	6.0
PS4	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	6.0
PS5	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	6.0
PS6	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	6.0
FS1	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	7.0
FS2	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	7.0
FS3	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	7.0
FS4	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	7.0
FS5	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	7.0
FS6	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	7.0
