name	x	y	z	size	type
LT01	301.0	128.0	n/a	4	surface
LT02	277.0	142.0	n/a	4	surface
LT03	255.0	157.0	n/a	4	surface
LT04	230.0	170.0	n/a	4	surface
LT05	206.0	186.0	n/a	4	surface
LT06	184.0	200.0	n/a	4	surface
LT07	165.0	214.0	n/a	4	surface
LT08	147.0	223.0	n/a	4	surface
LT09	315.0	153.0	n/a	4	surface
LT10	290.0	168.0	n/a	4	surface
LT11	267.0	181.0	n/a	4	surface
LT12	244.0	196.0	n/a	4	surface
LT13	220.0	209.0	n/a	4	surface
LT14	200.0	224.0	n/a	4	surface
LT15	179.0	238.0	n/a	4	surface
LT16	163.0	247.0	n/a	4	surface
LT17	329.0	178.0	n/a	4	surface
LT18	305.0	192.0	n/a	4	surface
LT19	281.0	205.0	n/a	4	surface
LT20	257.0	220.0	n/a	4	surface
LT21	234.0	234.0	n/a	4	surface
LT22	213.0	245.0	n/a	4	surface
LT23	192.0	257.0	n/a	4	surface
LT24	175.0	267.0	n/a	4	surface
LT25	341.0	202.0	n/a	4	surface
LT26	318.0	215.0	n/a	4	surface
LT27	295.0	229.0	n/a	4	surface
LT28	271.0	243.0	n/a	4	surface
LT29	249.0	257.0	n/a	4	surface
LT30	227.0	268.0	n/a	4	surface
LT31	208.0	279.0	n/a	4	surface
LT32	188.0	290.0	n/a	4	surface
ABT1	188.0	338.0	n/a	4	surface
ABT2	197.0	338.0	n/a	4	surface
ABT3	206.0	338.0	n/a	4	surface
ABT4	204.0	322.0	n/a	4	surface
PBT1	327.0	292.0	n/a	4	surface
PBT2	317.0	296.0	n/a	4	surface
PBT3	291.0	297.0	n/a	4	surface
PBT4	266.0	288.0	n/a	4	surface
PS1	349.0	67.0	n/a	4	surface
PS2	331.0	79.0	n/a	4	surface
PS3	312.0	92.0	n/a	4	surface
PS4	292.0	106.0	n/a	4	surface
PS5	273.0	126.0	n/a	4	surface
PS6	250.0	145.0	n/a	4	surface
FS1	8.0	199.0	n/a	4	surface
FS2	13.0	207.0	n/a	4	surface
FS3	22.0	214.0	n/a	4	surface
FS4	37.0	218.0	n/a	4	surface
FS5	55.0	218.0	n/a	4	surface
FS6	79.0	212.0	n/a	4	surface
