onset	duration	trial_type	trial_phase	trial_num	filt_type	noise_stim	stim_file
3.404	1.8314000000000004	trial	bef	1	freq	mid	ir08_audio.wav
7.8894	2.778599999999999	trial	mid	1	norm	mid	ir08_audio.wav
13.1292	1.8299999999999983	trial	aft	1	freq	mid	ir08_audio.wav
18.0524	3.1264000000000003	trial	bef	2	freq	none	ir08_audio.wav
23.2264	3.1073999999999984	trial	mid	2	norm	none	ir08_audio.wav
28.165	3.1234	trial	aft	2	freq	none	ir08_audio.wav
33.2078	1.9600000000000009	trial	bef	3	temp	none	ir08_audio.wav
38.4928	1.9713999999999956	trial	mid	3	norm	none	ir08_audio.wav
43.3834	1.9602000000000004	trial	aft	3	temp	none	ir08_audio.wav
48.3172	2.4213999999999984	trial	bef	4	temp	none	ir08_audio.wav
52.7348	2.5356000000000023	trial	mid	4	norm	none	ir08_audio.wav
57.6558	2.421599999999998	trial	aft	4	temp	none	ir08_audio.wav
62.1402	1.6899999999999977	trial	bef	5	freq	mid	ir08_audio.wav
67.07600000000001	2.7785999999999973	trial	mid	5	norm	mid	ir08_audio.wav
71.994	1.6891999999999996	trial	aft	5	freq	mid	ir08_audio.wav
101.054	1.6345999999999918	trial	bef	6	temp	mid	ir08_audio.wav
105.7826	2.7781999999999982	trial	mid	6	norm	mid	ir08_audio.wav
111.1004	1.634200000000007	trial	aft	6	temp	mid	ir08_audio.wav
116.4186	1.731800000000007	trial	bef	7	freq	mid	ir08_audio.wav
121.6256	2.7783999999999907	trial	mid	7	norm	mid	ir08_audio.wav
127.0454	1.7332000000000107	trial	aft	7	freq	mid	ir08_audio.wav
132.467	2.620999999999981	trial	bef	8	freq	mid	ir08_audio.wav
136.8892	2.778400000000005	trial	mid	8	norm	mid	ir08_audio.wav
142.0638	2.6200000000000045	trial	aft	8	freq	mid	ir08_audio.wav
147.2626	2.642799999999994	trial	bef	9	temp	mid	ir08_audio.wav
152.1528	2.7783999999999764	trial	mid	9	norm	mid	ir08_audio.wav
157.82399999999998	2.643400000000014	trial	aft	9	temp	mid	ir08_audio.wav
162.143	2.561399999999992	trial	bef	10	freq	none	ir08_audio.wav
167.62599999999998	2.4956000000000245	trial	mid	10	norm	none	ir08_audio.wav
172.7046	2.562000000000012	trial	aft	10	freq	none	ir08_audio.wav
188.9696	2.383999999999986	trial	bef	11	temp	none	ir08_audio.wav
194.2962	2.647199999999998	trial	mid	11	norm	none	ir08_audio.wav
199.4032	2.383800000000008	trial	aft	11	temp	none	ir08_audio.wav
204.0932	1.6800000000000068	trial	bef	12	freq	none	ir08_audio.wav
209.4574	1.6602000000000032	trial	mid	12	norm	none	ir08_audio.wav
214.1412	1.6795999999999935	trial	aft	12	freq	none	ir08_audio.wav
219.456	2.377600000000001	trial	bef	13	temp	mid	ir08_audio.wav
224.4776	2.7786000000000115	trial	mid	13	norm	mid	ir08_audio.wav
229.3092	2.4099999999999966	trial	aft	13	temp	mid	ir08_audio.wav
234.8748	1.5508000000000095	trial	bef	14	temp	mid	ir08_audio.wav
239.4194	2.7781999999999982	trial	mid	14	norm	mid	ir08_audio.wav
244.8578	1.5503999999999962	trial	aft	14	temp	mid	ir08_audio.wav
249.3692	2.477000000000004	trial	bef	15	temp	none	ir08_audio.wav
254.6726	2.589400000000012	trial	mid	15	norm	none	ir08_audio.wav
259.6736	2.477199999999982	trial	aft	15	temp	none	ir08_audio.wav
276.0054	2.4986000000000104	trial	bef	16	freq	mid	ir08_audio.wav
280.9594	2.778599999999983	trial	mid	16	norm	mid	ir08_audio.wav
285.7946	2.497799999999984	trial	aft	16	freq	mid	ir08_audio.wav
290.3832	2.4630000000000223	trial	bef	17	freq	none	ir08_audio.wav
295.5382	2.453399999999988	trial	mid	17	norm	none	ir08_audio.wav
300.6228	2.4634000000000356	trial	aft	17	freq	none	ir08_audio.wav
305.9552	2.841600000000028	trial	bef	18	freq	none	ir08_audio.wav
310.4628	2.6271999999999593	trial	mid	18	norm	none	ir08_audio.wav
315.1	2.8415999999999713	trial	aft	18	freq	none	ir08_audio.wav
320.5982	2.450800000000015	trial	bef	19	temp	mid	ir08_audio.wav
