name	x	y	z	size	type
TG01	236.0	108.0	n/a	4	surface
TG02	282.0	113.0	n/a	4	surface
TG03	325.0	116.0	n/a	4	surface
TG04	368.0	121.0	n/a	4	surface
TG05	413.0	128.0	n/a	4	surface
TG06	456.0	140.0	n/a	4	surface
TG07	499.0	153.0	n/a	4	surface
TG08	539.0	170.0	n/a	4	surface
TG09	228.0	144.0	n/a	4	surface
TG10	274.0	149.0	n/a	4	surface
TG11	317.0	153.0	n/a	4	surface
TG12	360.0	158.0	n/a	4	surface
TG13	404.0	164.0	n/a	4	surface
TG14	445.0	175.0	n/a	4	surface
TG15	487.0	192.0	n/a	4	surface
TG16	526.0	208.0	n/a	4	surface
TG17	221.0	196.0	n/a	4	surface
TG18	264.0	197.0	n/a	4	surface
TG19	307.0	202.0	n/a	4	surface
TG20	352.0	200.0	n/a	4	surface
TG21	395.0	204.0	n/a	4	surface
TG22	440.0	206.0	n/a	4	surface
TG23	482.0	209.0	n/a	4	surface
TG24	526.0	215.0	n/a	4	surface
TG25	218.0	238.0	n/a	4	surface
TG26	260.0	241.0	n/a	4	surface
TG27	306.0	246.0	n/a	4	surface
TG28	349.0	245.0	n/a	4	surface
TG29	394.0	248.0	n/a	4	surface
TG30	438.0	251.0	n/a	4	surface
TG31	479.0	256.0	n/a	4	surface
TG32	523.0	260.0	n/a	4	surface
TG33	215.0	300.0	n/a	4	surface
TG34	259.0	298.0	n/a	4	surface
TG35	304.0	294.0	n/a	4	surface
TG36	348.0	296.0	n/a	4	surface
TG37	393.0	293.0	n/a	4	surface
TG38	437.0	294.0	n/a	4	surface
TG39	478.0	296.0	n/a	4	surface
TG40	521.0	298.0	n/a	4	surface
TG41	221.0	343.0	n/a	4	surface
TG42	264.0	343.0	n/a	4	surface
TG43	306.0	340.0	n/a	4	surface
TG44	348.0	340.0	n/a	4	surface
TG45	391.0	338.0	n/a	4	surface
TG46	435.0	339.0	n/a	4	surface
TG47	475.0	339.0	n/a	4	surface
TG48	516.0	326.0	n/a	4	surface
TG49	228.0	389.0	n/a	4	surface
TG50	271.0	389.0	n/a	4	surface
TG51	313.0	388.0	n/a	4	surface
TG52	351.0	388.0	n/a	4	surface
TG53	396.0	379.0	n/a	4	surface
TG54	435.0	365.0	n/a	4	surface
TG55	476.0	348.0	n/a	4	surface
TG56	517.0	347.0	n/a	4	surface
TG57	230.0	430.0	n/a	4	surface
TG58	272.0	433.0	n/a	4	surface
TG59	317.0	432.0	n/a	4	surface
TG60	361.0	424.0	n/a	4	surface
TG61	406.0	415.0	n/a	4	surface
TG62	448.0	403.0	n/a	4	surface
TG63	490.0	387.0	n/a	4	surface
TG64	528.0	369.0	n/a	4	surface
