name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
TG01	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	bad	1.0
TG02	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	bad	1.0
TG03	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-inferior	good	1.0
TG04	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	bad	1.0
TG05	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
TG06	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
TG07	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
TG08	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
TG09	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
TG10	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
TG11	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-inferior	good	1.0
TG12	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
TG13	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
TG14	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
TG15	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
TG16	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	bad	1.0
TG17	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	bad	1.0
TG18	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	bad	1.0
TG19	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG20	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG21	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG22	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG23	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG24	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG25	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG26	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG27	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG28	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG29	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG30	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG31	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG32	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG33	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
TG34	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
TG35	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG36	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG37	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG38	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG39	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG40	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG41	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG42	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG43	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG44	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG45	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG46	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG47	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG48	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
